1745420226.2986953 N:   42, t: 36551500, dt: 20653, ENC_DEG: 31.38, REF:  0.00, VEL_RAW: -1.06, VEL_AVG: -0.11, I: -5.81, D: -0.04, VEL_OUT: -13.03, MS_MPC: 27316.77, ax:  0.03, ay:  0.01, az:  1.00, gx:  0.18, gy: -0.34, gz: -0.31, OX: -0.02
1745420226.3046794 N:   43, t: 36571720, dt: 20220, ENC_DEG: 31.42, REF:  0.00, VEL_RAW:  2.17, VEL_AVG:  0.16, I: -5.97, D: -0.06, VEL_OUT: -14.14, MS_MPC: 27323.52, ax:  0.03, ay:  0.01, az:  1.00, gx:  0.00, gy: -0.21, gz: -0.43, OX:  0.01
1745420226.359532  N:   44, t: 36594970, dt: 23250, ENC_DEG: 31.36, REF:  0.00, VEL_RAW: -2.84, VEL_AVG: -0.17, I: -6.14, D: -0.00, VEL_OUT: -13.99, MS_MPC: 27313.40, ax:  0.03, ay:  0.01, az:  0.99, gx: -0.24, gy: -0.27, gz: -0.24, OX: -0.00
1745420226.3645172 N:   45, t: 36612233, dt: 17263, ENC_DEG: 31.44, REF:  0.00, VEL_RAW:  5.09, VEL_AVG:  0.35, I: -6.49, D: -0.18, VEL_OUT: -18.27, MS_MPC: 27326.89, ax:  0.03, ay:  0.01, az:  0.99, gx: -0.18, gy:  0.03, gz: -0.24, OX: -0.01
1745420226.3710563 N:   46, t: 36632457, dt: 20224, ENC_DEG: 31.40, REF:  0.00, VEL_RAW: -2.17, VEL_AVG:  0.27, I: -6.76, D:  0.08, VEL_OUT: -15.39, MS_MPC: 27320.15, ax:  0.03, ay:  0.02, az:  0.99, gx: -0.18, gy: -0.03, gz: -0.12, OX:  0.02
1745420226.3770258 N:   47, t: 36651962, dt: 19505, ENC_DEG: 31.42, REF:  0.00, VEL_RAW:  1.13, VEL_AVG:  0.29, I: -7.04, D: -0.02, VEL_OUT: -17.11, MS_MPC: 27323.52, ax:  0.03, ay:  0.02, az:  0.99, gx:  0.00, gy: -0.15, gz: -0.18, OX:  0.04
1745420226.419912  N:   48, t: 36672152, dt: 20190, ENC_DEG: 31.38, REF:  0.00, VEL_RAW: -2.18, VEL_AVG:  0.10, I: -7.15, D:  0.18, VEL_OUT: -13.52, MS_MPC: 27316.77, ax:  0.03, ay:  0.02, az:  0.99, gx:  0.06, gy: -0.34, gz: -0.37, OX:  0.01
1745420226.4787543 N:   49, t: 36692281, dt: 20129, ENC_DEG: 31.36, REF:  0.00, VEL_RAW: -1.09, VEL_AVG: -0.17, I: -7.31, D: -0.06, VEL_OUT: -16.96, MS_MPC: 27313.40, ax:  0.03, ay: -0.01, az:  0.99, gx:  0.49, gy: -0.34, gz: -0.18, OX: -0.78
1745420226.484738  N:   50, t: 36712697, dt: 20416, ENC_DEG: 31.47, REF:  0.00, VEL_RAW:  5.38, VEL_AVG:  0.28, I: -7.59, D: -0.11, VEL_OUT: -19.09, MS_MPC: 27330.26, ax:  0.03, ay:  0.01, az:  0.99, gx:  0.37, gy: -0.46, gz: -0.55, OX: -0.01
1745420226.4897573 N:   51, t: 36730950, dt: 18253, ENC_DEG: 31.40, REF:  0.00, VEL_RAW: -3.61, VEL_AVG:  0.06, I: -7.66, D:  0.21, VEL_OUT: -13.82, MS_MPC: 27320.15, ax:  0.03, ay:  0.01, az:  0.99, gx:  0.43, gy: -0.76, gz: -0.31, OX: -0.02
1745420226.496706  N:   52, t: 36751214, dt: 20264, ENC_DEG: 31.36, REF:  0.00, VEL_RAW: -2.17, VEL_AVG: -0.02, I: -7.68, D:  0.05, VEL_OUT: -15.07, MS_MPC: 27313.40, ax:  0.03, ay:  0.01, az:  0.99, gx:  0.43, gy: -0.52, gz:  0.06, OX: -0.01
1745420226.5026915 N:   53, t: 36774953, dt: 23739, ENC_DEG: 31.42, REF:  0.00, VEL_RAW:  2.78, VEL_AVG:  0.12, I: -7.80, D: -0.10, VEL_OUT: -17.79, MS_MPC: 27323.52, ax:  0.03, ay:  0.01, az:  0.99, gx:  0.18, gy: -0.64, gz: -0.12, OX: -0.00
