1745420132.4872615 N:   33, t: 27526311, dt: 22416, ENC_DEG:  4.48, REF:  0.00, VEL_RAW: -3.92, VEL_AVG: -0.13, I: -4.72, D: -0.01, VEL_OUT: -10.83, MS_MPC: 22014.50, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.12, gy:  0.73, gz:  0.43, OX: -0.02
1745420132.5720353 N:   34, t: 27546308, dt: 19997, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  4.40, VEL_AVG:  0.01, I: -4.74, D:  0.12, VEL_OUT: -8.39, MS_MPC: 22035.04, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.12, gy:  0.67, gz:  0.24, OX: -0.01
1745420132.6366186 N:   35, t: 27564699, dt: 18391, ENC_DEG:  4.55, REF:  0.00, VEL_RAW: -1.19, VEL_AVG:  0.01, I: -4.75, D:  0.00, VEL_OUT: -9.60, MS_MPC: 22029.90, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.06, gy:  0.55, gz:  0.12, OX: -0.01
1745420132.7533066 N:   36, t: 27586024, dt: 21325, ENC_DEG:  4.55, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.08, I: -4.82, D: -0.06, VEL_OUT: -11.04, MS_MPC: 22029.90, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.06, gy:  0.43, gz:  0.24, OX: -0.01
1745420132.759291  N:   37, t: 27604016, dt: 17992, ENC_DEG:  4.55, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.18, I: -5.00, D: -0.10, VEL_OUT: -12.79, MS_MPC: 22029.90, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.06, gy:  0.31, gz:  0.49, OX:  0.01
1745420132.8161373 N:   38, t: 27624139, dt: 20123, ENC_DEG:  4.53, REF:  0.00, VEL_RAW: -1.09, VEL_AVG: -0.06, I: -5.06, D:  0.12, VEL_OUT: -9.47, MS_MPC: 22024.77, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.12, gy:  0.55, gz:  0.43, OX:  0.00
1745420132.8231268 N:   41, t: 27683361, dt: 17127, ENC_DEG:  4.53, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.16, I: -5.45, D: -0.09, VEL_OUT: -13.39, MS_MPC: 22024.77, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.67, gy: -0.24, gz:  0.18, OX:  0.00
1745420132.9926753 N:   44, t: 27745080, dt: 15083, ENC_DEG:  4.55, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.04, I: -5.74, D:  0.00, VEL_OUT: -11.91, MS_MPC: 22029.90, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.24, gy: -0.37, gz:  0.06, OX: -0.01
1745420133.0545013 N:   45, t: 27829733, dt: 84653, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  0.26, VEL_AVG:  0.30, I: -6.05, D: -0.26, VEL_OUT: -17.73, MS_MPC: 22035.04, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.31, gy: -0.31, gz:  0.18, OX: -0.04
1745420133.0604851 N:   47, t: 27870229, dt: 24197, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  1.82, VEL_AVG: -0.04, I: -6.37, D:  0.25, VEL_OUT: -10.59, MS_MPC: 22035.04, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.00, gy:  0.06, gz:  0.73, OX:  0.01
1745420133.06647   N:   48, t: 27884426, dt: 14197, ENC_DEG:  4.48, REF:  0.00, VEL_RAW: -6.19, VEL_AVG: -0.55, I: -6.92, D: -0.52, VEL_OUT: -24.52, MS_MPC: 22014.50, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.06, gy: -0.06, gz:  0.61, OX:  0.03
