1746087625.9798677 N:   29, t: 33767398, dt: 19248, ENC_DEG:  4.66, REF:  0.00, VEL_RAW: -2.28, VEL_AVG: -0.18, I: -4.40, D: -0.04, VEL_OUT: -11.02, MS_MPC: 22055.56, ax:  0.01, ay:  0.00, az:  0.99, gx:  0.24, gy: -0.82, gz: -1.16, OX: -0.01
1746087625.9858348 N:   30, t: 33787677, dt: 20279, ENC_DEG:  4.70, REF:  0.00, VEL_RAW:  2.17, VEL_AVG:  0.00, I: -4.41, D:  0.17, VEL_OUT: -7.11, MS_MPC: 22065.81, ax:  0.01, ay: -0.00, az:  0.99, gx:  0.49, gy: -0.70, gz: -1.53, OX: -0.04
1746087625.992602  N:   32, t: 33832424, dt: 25417, ENC_DEG:  4.73, REF:  0.00, VEL_RAW:  0.86, VEL_AVG:  0.08, I: -4.49, D: -0.07, VEL_OUT: -10.45, MS_MPC: 22070.94, ax:  0.01, ay: -0.01, az:  1.01, gx:  0.49, gy: -0.40, gz: -0.61, OX:  0.01
1746087625.998795  N:   33, t: 33847165, dt: 14741, ENC_DEG:  4.70, REF:  0.00, VEL_RAW: -1.49, VEL_AVG:  0.14, I: -4.63, D: -0.06, VEL_OUT: -11.29, MS_MPC: 22065.81, ax:  0.01, ay: -0.01, az:  1.01, gx:  0.24, gy: -0.27, gz: -0.43, OX: -0.01
1746087626.0290582 N:   34, t: 33870042, dt: 22877, ENC_DEG:  4.70, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.15, I: -4.77, D: -0.01, VEL_OUT: -11.08, MS_MPC: 22065.81, ax:  0.02, ay: -0.01, az:  1.00, gx:  0.00, gy: -0.09, gz: -0.37, OX: -0.04
1746087626.143339  N:   35, t: 33888680, dt: 18638, ENC_DEG:  4.70, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.06, I: -4.83, D:  0.09, VEL_OUT: -9.32, MS_MPC: 22065.81, ax:  0.02, ay: -0.01, az:  1.00, gx: -0.49, gy: -0.03, gz: -0.06, OX: -0.01
1746087626.149722  N:   36, t: 33907948, dt: 19268, ENC_DEG:  4.70, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.03, I: -4.86, D:  0.03, VEL_OUT: -9.74, MS_MPC: 22065.81, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.73, gy: -0.15, gz: -0.12, OX:  0.00
1746087626.1552477 N:   37, t: 33927003, dt: 19055, ENC_DEG:  4.70, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.03, I: -4.89, D:  0.00, VEL_OUT: -10.07, MS_MPC: 22065.81, ax:  0.01, ay: -0.01, az:  1.00, gx: -1.04, gy:  0.03, gz: -0.12, OX:  0.00
1746087626.1612537 N:   38, t: 33947706, dt: 20703, ENC_DEG:  4.68, REF:  0.00, VEL_RAW: -1.06, VEL_AVG: -0.24, I: -5.13, D: -0.21, VEL_OUT: -14.79, MS_MPC: 22060.69, ax:  0.01, ay: -0.00, az:  1.00, gx: -1.16, gy:  0.15, gz: -0.18, OX:  0.02
1746087626.2057865 N:   41, t: 34008525, dt: 18282, ENC_DEG:  4.70, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.14, I: -5.35, D: -0.08, VEL_OUT: -12.90, MS_MPC: 22065.81, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.18, gy: -0.40, gz: -0.55, OX: -0.02
1746087626.2119246 N:   42, t: 34032923, dt: 24398, ENC_DEG:  4.68, REF:  0.00, VEL_RAW: -0.90, VEL_AVG: -0.12, I: -5.47, D:  0.02, VEL_OUT: -11.94, MS_MPC: 22060.69, ax:  0.01, ay: -0.00, az:  0.99, gx:  0.12, gy: -0.21, gz: -0.79, OX: -0.01
1746087626.2179499 N:   43, t: 34051308, dt: 18385, ENC_DEG:  4.75, REF:  0.00, VEL_RAW:  3.59, VEL_AVG:  0.18, I: -5.65, D: -0.06, VEL_OUT: -13.71, MS_MPC: 22076.06, ax:  0.01, ay: -0.01, az:  0.99, gx:  0.43, gy: -0.27, gz: -0.79, OX: -0.01
1746087626.22401   N:   44, t: 34069482, dt: 18174, ENC_DEG:  4.73, REF:  0.00, VEL_RAW: -1.21, VEL_AVG:  0.01, I: -5.65, D:  0.17, VEL_OUT: -9.65, MS_MPC: 22070.94, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.55, gy: -0.34, gz: -0.43, OX:  0.06
1746087626.2696552 N:   45, t: 34087495, dt: 18013, ENC_DEG:  4.66, REF:  0.00, VEL_RAW: -3.66, VEL_AVG: -0.17, I: -5.83, D: -0.17, VEL_OUT: -15.05, MS_MPC: 22055.56, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.43, gy: -0.21, gz: -0.31, OX:  0.02
1746087626.2747204 N:   46, t: 34108710, dt: 21215, ENC_DEG:  4.70, REF:  0.00, VEL_RAW:  2.07, VEL_AVG: -0.00, I: -5.83, D:  0.17, VEL_OUT: -9.94, MS_MPC: 22065.81, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.12, gy: -0.27, gz: -0.55, OX:  0.01
1746087626.4464138 N:   47, t: 34127086, dt: 18376, ENC_DEG:  4.70, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.00, I: -5.83, D:  0.00, VEL_OUT: -11.67, MS_MPC: 22065.81, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.06, gy: -0.46, gz: -0.85, OX: -0.04
