1746087363.5370371 N:   28, t: 33624061, dt: 21066, ENC_DEG: 20.04, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.35, I: -5.49, D: -0.19, VEL_OUT: -16.41, MS_MPC: 25345.64, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.09, gy: -0.55, gz: -0.03, OX: -0.03
1746087363.5857196 N:   29, t: 33647178, dt: 23117, ENC_DEG: 20.04, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.09, I: -5.58, D:  0.26, VEL_OUT: -9.45, MS_MPC: 25345.64, ax:  0.00, ay: -0.01, az:  1.01, gx: -0.15, gy: -0.98, gz: -0.76, OX: -0.12
1746087363.5917017 N:   30, t: 33664178, dt: 17000, ENC_DEG: 20.04, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.16, I: -5.74, D: -0.07, VEL_OUT: -13.84, MS_MPC: 25345.64, ax:  0.00, ay: -0.01, az:  1.01, gx: -0.76, gy: -0.73, gz: -0.64, OX: -0.04
1746087363.5976856 N:   31, t: 33684383, dt: 20205, ENC_DEG: 20.06, REF:  0.00, VEL_RAW:  1.09, VEL_AVG:  0.25, I: -5.99, D: -0.09, VEL_OUT: -15.43, MS_MPC: 25349.87, ax:  0.01, ay: -0.01, az:  1.01, gx: -0.95, gy: -0.43, gz:  0.03, OX:  0.03
1746087363.6451464 N:   32, t: 33706464, dt: 22081, ENC_DEG: 20.06, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.25, I: -6.25, D:  0.00, VEL_OUT: -15.03, MS_MPC: 25349.87, ax:  0.01, ay: -0.01, az:  1.01, gx: -1.07, gy: -0.31, gz:  0.64, OX:  0.06
1746087363.6516266 N:   33, t: 33722423, dt: 15959, ENC_DEG: 20.06, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.07, I: -6.32, D:  0.18, VEL_OUT: -11.54, MS_MPC: 25349.87, ax:  0.00, ay: -0.00, az:  1.01, gx: -1.07, gy: -0.49, gz:  0.46, OX:  0.05
1746087363.6576061 N:   34, t: 33744501, dt: 22078, ENC_DEG: 20.00, REF:  0.00, VEL_RAW: -2.99, VEL_AVG: -0.09, I: -6.41, D: -0.01, VEL_OUT: -13.80, MS_MPC: 25337.17, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.82, gy: -0.37, gz: -0.09, OX:  0.00
1746087363.705142  N:   35, t: 33762737, dt: 18236, ENC_DEG: 20.06, REF:  0.00, VEL_RAW:  3.61, VEL_AVG:  0.13, I: -6.54, D: -0.04, VEL_OUT: -14.81, MS_MPC: 25349.87, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.70, gy: -0.31, gz: -0.40, OX: -0.03
1746087363.7116158 N:   36, t: 33782980, dt: 20243, ENC_DEG: 20.08, REF:  0.00, VEL_RAW:  1.09, VEL_AVG:  0.41, I: -6.95, D: -0.28, VEL_OUT: -20.87, MS_MPC: 25354.10, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.40, gy: -0.06, gz: -0.27, OX: -0.01
1746087363.7178674 N:   37, t: 33808226, dt: 25246, ENC_DEG: 20.06, REF:  0.00, VEL_RAW: -0.87, VEL_AVG:  0.17, I: -7.12, D:  0.24, VEL_OUT: -13.52, MS_MPC: 25349.87, ax: -0.00, ay: -0.01, az:  1.00, gx: -0.40, gy:  0.18, gz: -0.21, OX: -0.03
1746087363.7651567 N:   38, t: 33822974, dt: 14748, ENC_DEG: 19.97, REF:  0.00, VEL_RAW: -5.96, VEL_AVG: -0.43, I: -7.55, D: -0.26, VEL_OUT: -21.92, MS_MPC: 25332.94, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.46, gy:  0.67, gz:  0.03, OX: -0.01
1746087363.7710505 N:   39, t: 33844013, dt: 21039, ENC_DEG: 19.97, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.34, I: -7.88, D:  0.09, VEL_OUT: -18.21, MS_MPC: 25332.94, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.21, gy:  0.98, gz:  0.40, OX:  0.07
1746087363.7791169 N:   40, t: 33865420, dt: 21407, ENC_DEG: 20.00, REF:  0.00, VEL_RAW:  1.03, VEL_AVG: -0.25, I: -8.13, D:  0.09, VEL_OUT: -17.91, MS_MPC: 25337.17, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.52, gy:  0.43, gz:  0.27, OX:  0.03
1746087363.8251402 N:   41, t: 33884674, dt: 19254, ENC_DEG: 20.02, REF:  0.00, VEL_RAW:  1.14, VEL_AVG: -0.15, I: -8.29, D:  0.10, VEL_OUT: -17.17, MS_MPC: 25341.40, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.58, gy:  0.61, gz:  0.34, OX: -0.00
1746087363.8311088 N:   42, t: 33903727, dt: 19053, ENC_DEG: 20.02, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.15, I: -8.44, D:  0.00, VEL_OUT: -18.43, MS_MPC: 25341.40, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.76, gy:  0.67, gz:  0.58, OX:  0.00
1746087363.837121  N:   43, t: 33923994, dt: 20267, ENC_DEG: 20.00, REF:  0.00, VEL_RAW: -1.08, VEL_AVG: -0.34, I: -8.78, D: -0.18, VEL_OUT: -22.72, MS_MPC: 25337.17, ax:  0.01, ay:  0.01, az:  0.99, gx: -0.76, gy:  0.49, gz:  0.70, OX:  0.09
1746087363.885829  N:   44, t: 33944237, dt: 20243, ENC_DEG: 20.06, REF:  0.00, VEL_RAW:  3.26, VEL_AVG: -0.06, I: -8.84, D:  0.27, VEL_OUT: -15.62, MS_MPC: 25349.87, ax:  0.01, ay:  0.01, az:  0.99, gx: -0.64, gy:  0.12, gz:  0.09, OX:  0.00
1746087363.8911104 N:   45, t: 33962495, dt: 18258, ENC_DEG: 20.04, REF:  0.00, VEL_RAW: -1.20, VEL_AVG: -0.16, I: -9.01, D: -0.10, VEL_OUT: -20.67, MS_MPC: 25345.64, ax:  0.01, ay:  0.01, az:  0.99, gx: -0.34, gy: -0.79, gz: -0.76, OX: -0.03
1746087363.897247  N:   46, t: 33982668, dt: 20173, ENC_DEG: 20.06, REF:  0.00, VEL_RAW:  1.09, VEL_AVG:  0.17, I: -9.18, D: -0.01, VEL_OUT: -20.21, MS_MPC: 25349.87, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.15, gy: -0.79, gz: -1.07, OX: -0.06
1746087363.9450252 N:   47, t: 34003907, dt: 21239, ENC_DEG: 19.97, REF:  0.00, VEL_RAW: -4.14, VEL_AVG: -0.47, I: -9.65, D: -0.30, VEL_OUT: -26.99, MS_MPC: 25332.94, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.21, gy: -0.79, gz: -1.25, OX: -0.02
1746087363.9520092 N:   48, t: 34022853, dt: 18946, ENC_DEG: 20.02, REF:  0.00, VEL_RAW:  2.32, VEL_AVG: -0.37, I: -10.02, D:  0.10, VEL_OUT: -22.70, MS_MPC: 25341.40, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.21, gy: -0.98, gz: -1.01, OX:  0.00
1746087363.957031  N:   49, t: 34043015, dt: 20162, ENC_DEG: 20.00, REF:  0.00, VEL_RAW: -1.09, VEL_AVG: -0.39, I: -10.41, D: -0.02, VEL_OUT: -24.87, MS_MPC: 25337.17, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.27, gy: -1.10, gz: -0.64, OX:  0.02
1746087364.006182  N:   50, t: 34063254, dt: 20239, ENC_DEG: 20.02, REF:  0.00, VEL_RAW:  1.09, VEL_AVG:  0.20, I: -10.61, D:  0.19, VEL_OUT: -21.35, MS_MPC: 25341.40, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.34, gy: -1.34, gz: -0.95, OX:  0.01
1746087364.0111284 N:   51, t: 34083537, dt: 20283, ENC_DEG: 20.02, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.20, I: -10.81, D:  0.00, VEL_OUT: -23.62, MS_MPC: 25341.40, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.27, gy: -1.34, gz: -1.37, OX: -0.06
