1746087989.709446  N:   35, t: 28388240, dt: 20701, ENC_DEG: 48.39, REF:  0.00, VEL_RAW: -2.12, VEL_AVG:  0.64, I: -19.78, D: -0.09, VEL_OUT: -46.82, MS_MPC: 29275.01, ax:  0.03, ay:  0.00, az:  1.01, gx: -1.13, gy: -1.68, gz: -0.89, OX:  0.08
1746087989.7144403 N:   37, t: 28431760, dt: 24326, ENC_DEG: 48.34, REF:  0.00, VEL_RAW: -2.71, VEL_AVG:  0.39, I: -20.71, D:  0.15, VEL_OUT: -43.80, MS_MPC: 29271.93, ax:  0.01, ay:  0.00, az:  1.01, gx: -0.58, gy: -1.07, gz:  0.58, OX:  0.01
1746087989.7204168 N:   38, t: 28447727, dt: 15967, ENC_DEG: 48.36, REF:  0.00, VEL_RAW:  1.38, VEL_AVG:  0.50, I: -21.21, D: -0.11, VEL_OUT: -48.61, MS_MPC: 29273.47, ax:  0.01, ay:  0.00, az:  1.01, gx: -0.34, gy: -0.95, gz:  0.52, OX:  0.02
1746087989.869281  N:   39, t: 28473706, dt: 25979, ENC_DEG: 48.39, REF:  0.00, VEL_RAW:  0.85, VEL_AVG:  0.48, I: -21.70, D:  0.02, VEL_OUT: -47.99, MS_MPC: 29275.01, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.27, gy: -0.46, gz:  0.40, OX:  0.10
1746087989.8752685 N:   40, t: 28491977, dt: 18271, ENC_DEG: 48.32, REF:  0.00, VEL_RAW: -3.61, VEL_AVG:  0.27, I: -21.97, D:  0.21, VEL_OUT: -44.56, MS_MPC: 29270.39, ax:  0.01, ay:  0.02, az:  1.00, gx:  0.03, gy: -0.15, gz: -0.89, OX:  0.09
1746087989.8822546 N:   41, t: 28507798, dt: 15821, ENC_DEG: 48.41, REF:  0.00, VEL_RAW:  5.56, VEL_AVG:  0.17, I: -22.14, D:  0.10, VEL_OUT: -45.03, MS_MPC: 29276.54, ax:  0.02, ay:  0.02, az:  1.00, gx:  0.15, gy: -0.34, gz: -1.31, OX: -0.01
1746087989.887234  N:   42, t: 28528965, dt: 21167, ENC_DEG: 48.30, REF:  0.00, VEL_RAW: -5.19, VEL_AVG: -0.26, I: -22.40, D: -0.09, VEL_OUT: -48.25, MS_MPC: 29268.84, ax:  0.01, ay:  0.01, az:  1.01, gx:  0.21, gy: -1.01, gz: -1.19, OX: -0.11
1746087989.8932204 N:   46, t: 28609959, dt: 22070, ENC_DEG: 48.32, REF:  0.00, VEL_RAW:  1.99, VEL_AVG: -0.29, I: -23.07, D: -0.03, VEL_OUT: -49.31, MS_MPC: 29270.39, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.34, gy: -0.95, gz:  0.52, OX:  0.04
1746087989.8992002 N:   47, t: 28629660, dt: 19701, ENC_DEG: 48.30, REF:  0.00, VEL_RAW: -1.12, VEL_AVG: -0.21, I: -23.27, D:  0.08, VEL_OUT: -47.76, MS_MPC: 29268.84, ax:  0.01, ay:  0.02, az:  1.00, gx:  0.09, gy: -0.95, gz:  0.03, OX:  0.01
1746087989.9888556 N:   48, t: 28647420, dt: 17760, ENC_DEG: 48.36, REF:  0.00, VEL_RAW:  3.71, VEL_AVG:  0.01, I: -23.28, D:  0.20, VEL_OUT: -44.68, MS_MPC: 29273.47, ax:  0.01, ay:  0.02, az:  1.00, gx:  0.21, gy: -0.95, gz: -0.27, OX: -0.00
1746087989.9948575 N:   49, t: 28667844, dt: 20424, ENC_DEG: 48.39, REF:  0.00, VEL_RAW:  1.08, VEL_AVG:  0.32, I: -23.60, D: -0.32, VEL_OUT: -53.61, MS_MPC: 29275.01, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.52, gy: -0.76, gz:  0.09, OX: -0.01
1746087990.0018454 N:   50, t: 28688408, dt: 20564, ENC_DEG: 48.36, REF:  0.00, VEL_RAW: -1.07, VEL_AVG:  0.12, I: -23.73, D:  0.20, VEL_OUT: -46.62, MS_MPC: 29273.47, ax:  0.01, ay:  0.01, az:  1.01, gx:  0.40, gy: -0.64, gz:  0.09, OX:  0.00
1746087990.0068936 N:   51, t: 28707621, dt: 19213, ENC_DEG: 48.39, REF:  0.00, VEL_RAW:  1.14, VEL_AVG:  0.15, I: -23.87, D: -0.02, VEL_OUT: -49.44, MS_MPC: 29275.01, ax:  0.01, ay:  0.01, az:  1.01, gx:  0.40, gy: -0.52, gz:  0.21, OX:  0.01
1746087990.0127373 N:   52, t: 28728675, dt: 21054, ENC_DEG: 48.36, REF:  0.00, VEL_RAW: -1.04, VEL_AVG:  0.36, I: -24.23, D: -0.21, VEL_OUT: -54.18, MS_MPC: 29273.47, ax:  0.01, ay:  0.01, az:  1.01, gx:  0.09, gy: -0.82, gz:  0.15, OX:  0.02
1746087990.018904  N:   53, t: 28747484, dt: 18809, ENC_DEG: 48.39, REF:  0.00, VEL_RAW:  1.17, VEL_AVG: -0.01, I: -24.24, D:  0.35, VEL_OUT: -45.02, MS_MPC: 29275.01, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.03, gy: -0.40, gz: -0.21, OX: -0.01
1746087990.0528896 N:   54, t: 28769100, dt: 21616, ENC_DEG: 48.39, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.43, I: -24.66, D: -0.42, VEL_OUT: -57.77, MS_MPC: 29275.01, ax:  0.02, ay:  0.01, az:  1.00, gx: -0.21, gy: -0.46, gz: -0.46, OX: -0.02
1746087990.0594065 N:   55, t: 28787323, dt: 18223, ENC_DEG: 48.39, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.13, I: -24.79, D:  0.30, VEL_OUT: -47.85, MS_MPC: 29275.01, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.21, gy: -0.46, gz:  0.15, OX:  0.02
