1746087205.069784  N:   28, t: 80026403, dt: 18004, ENC_DEG: 19.23, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.19, I: -3.92, D: -0.15, VEL_OUT: -11.22, MS_MPC: 25188.09, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.15, gy:  0.18, gz: -0.49, OX: -0.05
1746087205.1809165 N:   29, t: 80050889, dt: 24486, ENC_DEG: 19.18, REF:  0.00, VEL_RAW: -1.79, VEL_AVG: -0.34, I: -4.26, D: -0.15, VEL_OUT: -13.44, MS_MPC: 25179.52, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.34, gy:  0.49, gz: -0.18, OX: -0.04
1746087205.186901  N:   30, t: 80071852, dt: 20963, ENC_DEG: 19.21, REF:  0.00, VEL_RAW:  1.05, VEL_AVG: -0.55, I: -4.81, D: -0.21, VEL_OUT: -17.15, MS_MPC: 25183.81, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.58, gy:  0.31, gz: -0.31, OX:  0.01
1746087205.1928484 N:   31, t: 80090069, dt: 18217, ENC_DEG: 19.23, REF:  0.00, VEL_RAW:  1.21, VEL_AVG: -0.06, I: -4.87, D:  0.49, VEL_OUT: -5.50, MS_MPC: 25188.09, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.64, gy:  0.31, gz: -0.24, OX:  0.01
1746087205.2426782 N:   32, t: 80110389, dt: 20320, ENC_DEG: 19.25, REF:  0.00, VEL_RAW:  1.08, VEL_AVG: -0.05, I: -4.93, D:  0.01, VEL_OUT: -10.33, MS_MPC: 25192.38, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.70, gy:  0.31, gz: -0.24, OX:  0.05
1746087205.248244  N:   35, t: 80165897, dt: 18434, ENC_DEG: 19.16, REF:  0.00, VEL_RAW: -2.38, VEL_AVG: -0.45, I: -5.69, D: -0.29, VEL_OUT: -18.73, MS_MPC: 25175.23, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.64, gy:  0.00, gz: -0.06, OX: -0.02
1746087205.254975  N:   36, t: 80185771, dt: 19874, ENC_DEG: 19.25, REF:  0.00, VEL_RAW:  4.42, VEL_AVG:  0.11, I: -5.81, D:  0.34, VEL_OUT: -9.37, MS_MPC: 25192.38, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.52, gy:  0.12, gz: -0.12, OX:  0.01
1746087205.260837  N:   37, t: 80211160, dt: 25389, ENC_DEG: 19.23, REF:  0.00, VEL_RAW: -0.87, VEL_AVG: -0.32, I: -6.13, D: -0.21, VEL_OUT: -17.53, MS_MPC: 25188.09, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.09, gy: -0.31, gz: -0.12, OX: -0.00
1746087205.2662795 N:   38, t: 80228593, dt: 17433, ENC_DEG: 19.21, REF:  0.00, VEL_RAW: -1.26, VEL_AVG: -0.08, I: -6.20, D:  0.24, VEL_OUT: -10.73, MS_MPC: 25183.81, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.09, gy: -0.31, gz: -0.12, OX:  0.00
1746087205.3041594 N:   39, t: 80246195, dt: 17602, ENC_DEG: 19.27, REF:  0.00, VEL_RAW:  3.75, VEL_AVG:  0.24, I: -6.44, D: -0.16, VEL_OUT: -16.82, MS_MPC: 25196.66, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.15, gy: -0.06, gz:  0.24, OX:  0.00
