1746026982.74119   N:   54, t: 76908214, dt: 23134, ENC_DEG:  4.59, REF:  0.00, VEL_RAW:  4.75, VEL_AVG: -0.13, I: -8.18, D:  0.14, VEL_OUT: -16.25, MS_MPC: 22040.17, ax: -0.02, ay: -0.01, az:  1.00, gx: -0.55, gy:  0.31, gz:  1.13, OX:  0.01
1746026982.747177  N:   55, t: 76946531, dt: 38317, ENC_DEG:  4.57, REF:  0.00, VEL_RAW: -0.57, VEL_AVG: -0.08, I: -8.26, D:  0.05, VEL_OUT: -16.85, MS_MPC: 22035.04, ax: -0.01, ay: -0.00, az:  1.01, gx: -0.49, gy:  0.18, gz:  1.07, OX:  0.02
1746026982.7531583 N:   56, t: 76969755, dt: 23224, ENC_DEG:  4.62, REF:  0.00, VEL_RAW:  1.89, VEL_AVG:  0.17, I: -8.43, D: -0.09, VEL_OUT: -19.46, MS_MPC: 22045.30, ax: -0.02, ay: -0.00, az:  1.01, gx: -0.24, gy: -0.24, gz:  0.76, OX: -0.02
1746026982.7581794 N:   60, t: 77047221, dt: 16998, ENC_DEG:  4.55, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.12, I: -9.16, D:  0.10, VEL_OUT: -18.55, MS_MPC: 22029.90, ax: -0.01, ay: -0.00, az:  1.00, gx: -0.67, gy:  0.37, gz:  1.43, OX:  0.04
1746026982.7651749 N:   62, t: 77090190, dt: 24014, ENC_DEG:  4.62, REF:  0.00, VEL_RAW:  0.91, VEL_AVG:  0.04, I: -9.33, D:  0.09, VEL_OUT: -18.17, MS_MPC: 22045.30, ax: -0.01, ay: -0.00, az:  1.00, gx: -0.24, gy:  0.37, gz:  1.37, OX:  0.01
1746026982.771111  N:   63, t: 77126340, dt: 36150, ENC_DEG:  4.64, REF:  0.00, VEL_RAW:  0.61, VEL_AVG:  0.18, I: -9.51, D: -0.14, VEL_OUT: -22.23, MS_MPC: 22050.43, ax: -0.02, ay:  0.00, az:  1.00, gx:  0.12, gy:  0.92, gz:  2.29, OX:  0.04
1746026982.8040237 N:   64, t: 77146720, dt: 20380, ENC_DEG:  4.64, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.01, I: -9.52, D:  0.17, VEL_OUT: -17.48, MS_MPC: 22050.43, ax: -0.02, ay:  0.00, az:  1.00, gx:  0.31, gy:  0.73, gz:  1.80, OX:  0.05
1746026982.9237027 N:   65, t: 77165007, dt: 18287, ENC_DEG:  4.55, REF:  0.00, VEL_RAW: -4.81, VEL_AVG:  0.16, I: -9.68, D: -0.15, VEL_OUT: -22.42, MS_MPC: 22029.90, ax: -0.02, ay:  0.00, az:  1.00, gx:  0.73, gy:  1.28, gz:  1.68, OX: -0.01
1746026982.929686  N:   66, t: 77185464, dt: 20457, ENC_DEG:  4.55, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.24, I: -9.92, D: -0.08, VEL_OUT: -22.98, MS_MPC: 22029.90, ax: -0.02, ay: -0.00, az:  1.00, gx:  0.61, gy:  1.28, gz:  1.80, OX: -0.03
1746026982.9815476 N:   67, t: 77205531, dt: 20067, ENC_DEG:  4.55, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.19, I: -10.11, D:  0.05, VEL_OUT: -21.62, MS_MPC: 22029.90, ax: -0.02, ay: -0.00, az:  1.00, gx:  0.49, gy:  1.53, gz:  2.23, OX:  0.02
1746026982.9865344 N:   70, t: 77268725, dt: 17082, ENC_DEG:  4.57, REF:  0.00, VEL_RAW: -2.57, VEL_AVG: -0.14, I: -10.58, D: -0.06, VEL_OUT: -23.09, MS_MPC: 22035.04, ax: -0.02, ay:  0.01, az:  1.00, gx:  0.31, gy:  1.40, gz:  1.43, OX:  0.01
1746026982.9925232 N:   71, t: 77308057, dt: 39332, ENC_DEG:  4.62, REF:  0.00, VEL_RAW:  1.12, VEL_AVG:  0.03, I: -10.62, D:  0.10, VEL_OUT: -20.54, MS_MPC: 22045.30, ax: -0.01, ay: -0.00, az:  1.00, gx:  0.24, gy:  0.98, gz:  0.82, OX: -0.04
1746026982.9995005 N:   72, t: 77328194, dt: 20137, ENC_DEG:  4.51, REF:  0.00, VEL_RAW: -5.46, VEL_AVG: -0.42, I: -11.04, D: -0.39, VEL_OUT: -30.17, MS_MPC: 22019.63, ax: -0.01, ay: -0.01, az:  1.00, gx:  0.06, gy:  1.04, gz:  0.46, OX: -0.03
1746026983.043382  N:   73, t: 77346581, dt: 18387, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  3.59, VEL_AVG: -0.32, I: -11.35, D:  0.11, VEL_OUT: -24.81, MS_MPC: 22035.04, ax: -0.01, ay: -0.00, az:  1.00, gx:  0.12, gy:  0.85, gz:  0.46, OX:  0.01
1746026983.103223  N:   74, t: 77365867, dt: 19286, ENC_DEG:  4.64, REF:  0.00, VEL_RAW:  3.42, VEL_AVG: -0.11, I: -11.46, D:  0.21, VEL_OUT: -21.91, MS_MPC: 22050.43, ax: -0.01, ay: -0.00, az:  1.00, gx:  0.24, gy:  0.49, gz:  0.34, OX: -0.00
1746026983.1092076 N:   75, t: 77386208, dt: 20341, ENC_DEG:  4.59, REF:  0.00, VEL_RAW: -2.16, VEL_AVG: -0.34, I: -11.80, D: -0.23, VEL_OUT: -29.28, MS_MPC: 22040.17, ax: -0.01, ay: -0.00, az:  1.00, gx:  0.31, gy:  0.06, gz:  0.03, OX:  0.01
1746026983.115224  N:   76, t: 77406510, dt: 20302, ENC_DEG:  4.55, REF:  0.00, VEL_RAW: -2.16, VEL_AVG: -0.52, I: -12.32, D: -0.18, VEL_OUT: -31.62, MS_MPC: 22029.90, ax: -0.01, ay: -0.01, az:  1.00, gx:  0.37, gy: -0.06, gz: -0.34, OX: -0.02
1746026983.1221755 N:   77, t: 77424996, dt: 18486, ENC_DEG:  4.59, REF:  0.00, VEL_RAW:  2.38, VEL_AVG:  0.08, I: -12.40, D:  0.44, VEL_OUT: -21.22, MS_MPC: 22040.17, ax: -0.01, ay: -0.01, az:  1.00, gx:  0.49, gy: -0.31, gz: -0.21, OX:  0.01
1746026983.1640608 N:   80, t: 77484895, dt: 19671, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  1.12, VEL_AVG: -0.10, I: -12.62, D:  0.01, VEL_OUT: -26.19, MS_MPC: 22035.04, ax: -0.02, ay: -0.01, az:  1.00, gx:  0.73, gy: -0.24, gz: -0.82, OX: -0.02
1746026983.2189293 N:   81, t: 77505467, dt: 20572, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.26, I: -12.88, D: -0.15, VEL_OUT: -29.84, MS_MPC: 22035.04, ax: -0.02, ay: -0.01, az:  1.00, gx:  0.73, gy: -0.24, gz: -1.01, OX: -0.01
1746026983.279765  N:   82, t: 77525618, dt: 20151, ENC_DEG:  4.66, REF:  0.00, VEL_RAW:  4.35, VEL_AVG:  0.32, I: -13.20, D: -0.07, VEL_OUT: -30.26, MS_MPC: 22055.56, ax: -0.02, ay: -0.01, az:  1.00, gx:  0.61, gy: -0.18, gz: -0.70, OX:  0.02
1746026983.285773  N:   83, t: 77547724, dt: 22106, ENC_DEG:  4.62, REF:  0.00, VEL_RAW: -1.99, VEL_AVG:  0.06, I: -13.26, D:  0.26, VEL_OUT: -24.56, MS_MPC: 22045.30, ax: -0.01, ay: -0.00, az:  0.99, gx:  0.61, gy: -0.24, gz: -1.01, OX:  0.04
