1746027586.6507716 N:   36, t: 42324952, dt: 25971, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.67, I: -18.53, D:  0.00, VEL_OUT: -43.74, MS_MPC: 21993.95, ax: -0.02, ay: -0.00, az:  1.00, gx:  0.40, gy:  1.98, gz:  2.32, OX:  0.06
1746027586.656761  N:   37, t: 42340128, dt: 15176, ENC_DEG:  4.48, REF:  0.00, VEL_RAW:  5.79, VEL_AVG:  0.07, I: -18.60, D:  0.59, VEL_OUT: -32.01, MS_MPC: 22014.50, ax: -0.02, ay: -0.00, az:  1.00, gx:  0.64, gy:  2.47, gz:  1.77, OX: -0.00
1746027586.6627994 N:   38, t: 42359180, dt: 19052, ENC_DEG:  4.46, REF:  0.00, VEL_RAW: -1.15, VEL_AVG: -0.31, I: -18.91, D: -0.24, VEL_OUT: -43.31, MS_MPC: 22009.37, ax: -0.01, ay: -0.00, az:  1.01, gx:  0.46, gy:  2.41, gz:  1.83, OX: -0.02
1746027586.710644  N:   39, t: 42380606, dt: 21426, ENC_DEG:  4.40, REF:  0.00, VEL_RAW: -3.08, VEL_AVG: -0.21, I: -19.12, D:  0.11, VEL_OUT: -39.22, MS_MPC: 21993.95, ax: -0.01, ay: -0.00, az:  1.01, gx: -0.09, gy:  2.90, gz:  2.75, OX:  0.03
1746027586.7175925 N:   40, t: 42400852, dt: 20246, ENC_DEG:  4.44, REF:  0.00, VEL_RAW:  2.17, VEL_AVG:  0.07, I: -19.19, D:  0.13, VEL_OUT: -37.74, MS_MPC: 22004.22, ax: -0.01, ay:  0.00, az:  1.01, gx: -0.64, gy:  3.14, gz:  3.23, OX:  0.05
1746027586.7834167 N:   41, t: 42419152, dt: 18300, ENC_DEG:  4.40, REF:  0.00, VEL_RAW: -2.40, VEL_AVG:  0.23, I: -19.42, D: -0.16, VEL_OUT: -42.76, MS_MPC: 21993.95, ax: -0.01, ay:  0.01, az:  1.00, gx: -1.01, gy:  3.39, gz:  3.30, OX:  0.05
1746027586.7854116 N:   42, t: 42445781, dt: 26629, ENC_DEG:  4.35, REF:  0.00, VEL_RAW: -1.65, VEL_AVG:  0.09, I: -19.51, D:  0.14, VEL_OUT: -38.59, MS_MPC: 21983.66, ax: -0.01, ay:  0.01, az:  0.99, gx: -1.07, gy:  2.47, gz:  2.50, OX:  0.02
1746027586.7874057 N:   43, t: 42461838, dt: 16057, ENC_DEG:  4.37, REF:  0.00, VEL_RAW:  1.37, VEL_AVG:  0.21, I: -19.72, D: -0.11, VEL_OUT: -42.66, MS_MPC: 21988.80, ax: -0.01, ay:  0.01, az:  0.99, gx: -1.25, gy:  2.17, gz:  1.59, OX: -0.01
1746027586.7903981 N:   44, t: 42480078, dt: 18240, ENC_DEG:  4.44, REF:  0.00, VEL_RAW:  3.60, VEL_AVG:  0.29, I: -20.02, D: -0.08, VEL_OUT: -43.81, MS_MPC: 22004.22, ax: -0.01, ay:  0.01, az:  1.00, gx: -1.43, gy:  1.98, gz:  1.71, OX: -0.00
1746027586.841264  N:   45, t: 42499559, dt: 19481, ENC_DEG:  4.44, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.39, I: -20.40, D: -0.09, VEL_OUT: -45.63, MS_MPC: 22004.22, ax: -0.01, ay:  0.01, az:  1.00, gx: -1.37, gy:  2.04, gz:  1.22, OX:  0.00
1746027586.845251  N:   46, t: 42520036, dt: 20477, ENC_DEG:  4.42, REF:  0.00, VEL_RAW: -1.07, VEL_AVG:  0.30, I: -20.70, D:  0.09, VEL_OUT: -43.49, MS_MPC: 21999.09, ax: -0.01, ay:  0.01, az:  1.00, gx: -1.62, gy:  1.50, gz:  1.53, OX: -0.02
1746027586.8921263 N:   47, t: 42540876, dt: 20840, ENC_DEG:  4.35, REF:  0.00, VEL_RAW: -3.16, VEL_AVG:  0.04, I: -20.74, D:  0.26, VEL_OUT: -39.19, MS_MPC: 21983.66, ax: -0.01, ay:  0.02, az:  1.00, gx: -1.50, gy:  1.25, gz:  1.22, OX:  0.03
1746027586.904095  N:   48, t: 42560848, dt: 19972, ENC_DEG:  4.46, REF:  0.00, VEL_RAW:  5.51, VEL_AVG:  0.49, I: -21.23, D: -0.46, VEL_OUT: -52.00, MS_MPC: 22009.37, ax: -0.01, ay:  0.01, az:  1.00, gx: -1.31, gy:  0.89, gz:  1.04, OX: -0.04
1746027586.9050937 N:   49, t: 42581123, dt: 20275, ENC_DEG:  4.37, REF:  0.00, VEL_RAW: -4.33, VEL_AVG: -0.35, I: -21.58, D:  0.14, VEL_OUT: -45.21, MS_MPC: 21988.80, ax: -0.01, ay:  0.01, az:  1.00, gx: -1.25, gy:  0.82, gz:  1.04, OX: -0.03
1746027586.9260361 N:   50, t: 42599352, dt: 18229, ENC_DEG:  4.48, REF:  0.00, VEL_RAW:  6.03, VEL_AVG:  0.25, I: -21.83, D:  0.10, VEL_OUT: -45.14, MS_MPC: 22014.50, ax: -0.00, ay:  0.01, az:  1.00, gx: -1.50, gy:  0.70, gz:  1.65, OX:  0.03
