1746027464.4483664 N:   37, t: 30883903, dt: 17008, ENC_DEG:  4.48, REF:  0.00, VEL_RAW: -2.58, VEL_AVG: -0.74, I: -15.01, D: -0.14, VEL_OUT: -38.84, MS_MPC: 22014.50, ax:  0.00, ay:  0.04, az:  1.00, gx:  0.52, gy:  4.49, gz:  7.02, OX: -0.10
1746027464.4892666 N:   38, t: 30900670, dt: 16767, ENC_DEG:  4.55, REF:  0.00, VEL_RAW:  3.93, VEL_AVG: -0.62, I: -15.63, D:  0.12, VEL_OUT: -36.32, MS_MPC: 22029.90, ax:  0.00, ay:  0.04, az:  0.99, gx:  1.50, gy:  4.91, gz:  6.90, OX: -0.02
1746027464.5490975 N:   39, t: 30921956, dt: 21286, ENC_DEG:  4.53, REF:  0.00, VEL_RAW: -1.03, VEL_AVG: -0.81, I: -16.44, D: -0.19, VEL_OUT: -42.85, MS_MPC: 22024.77, ax:  0.00, ay:  0.04, az:  0.98, gx:  2.78, gy:  4.67, gz:  6.65, OX:  0.02
1746027464.5550811 N:   40, t: 30940334, dt: 18378, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  2.39, VEL_AVG: -0.45, I: -16.89, D:  0.36, VEL_OUT: -34.68, MS_MPC: 22035.04, ax:  0.00, ay:  0.04, az:  0.98, gx:  3.20, gy:  3.02, gz:  5.31, OX:  0.04
1746027464.561066  N:   41, t: 30961721, dt: 21387, ENC_DEG:  4.59, REF:  0.00, VEL_RAW:  1.03, VEL_AVG:  0.05, I: -16.95, D:  0.39, VEL_OUT: -30.50, MS_MPC: 22040.17, ax: -0.00, ay:  0.05, az:  0.99, gx:  3.39, gy:  1.74, gz:  3.72, OX:  0.01
1746027464.5690773 N:   42, t: 30980666, dt: 18945, ENC_DEG:  4.53, REF:  0.00, VEL_RAW: -3.48, VEL_AVG: -0.14, I: -17.09, D: -0.09, VEL_OUT: -36.54, MS_MPC: 22024.77, ax: -0.01, ay:  0.05, az:  1.00, gx:  3.69, gy:  0.34, gz:  2.14, OX:  0.03
1746027464.5750277 N:   43, t: 31001091, dt: 20425, ENC_DEG:  4.55, REF:  0.00, VEL_RAW:  1.08, VEL_AVG: -0.14, I: -17.24, D:  0.00, VEL_OUT: -35.85, MS_MPC: 22029.90, ax: -0.00, ay:  0.04, az:  1.00, gx:  2.78, gy:  0.09, gz: -0.06, OX: -0.02
1746027464.608939  N:   44, t: 31021314, dt: 20223, ENC_DEG:  4.59, REF:  0.00, VEL_RAW:  2.17, VEL_AVG:  0.19, I: -17.43, D: -0.05, VEL_OUT: -37.27, MS_MPC: 22040.17, ax:  0.01, ay:  0.05, az:  1.00, gx:  2.17, gy: -0.40, gz: -0.49, OX:  0.04
1746027464.667812  N:   45, t: 31042719, dt: 21405, ENC_DEG:  4.59, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.07, I: -17.50, D:  0.12, VEL_OUT: -34.50, MS_MPC: 22040.17, ax:  0.01, ay:  0.05, az:  1.00, gx:  1.25, gy: -1.80, gz: -2.08, OX: -0.01
1746027464.6747622 N:   46, t: 31061341, dt: 18622, ENC_DEG:  4.55, REF:  0.00, VEL_RAW: -2.36, VEL_AVG:  0.16, I: -17.66, D: -0.09, VEL_OUT: -37.76, MS_MPC: 22029.90, ax:  0.02, ay:  0.05, az:  0.99, gx:  0.70, gy: -2.47, gz: -3.60, OX:  0.00
1746027464.6797829 N:   47, t: 31081752, dt: 20411, ENC_DEG:  4.57, REF:  0.00, VEL_RAW:  1.08, VEL_AVG: -0.03, I: -17.68, D:  0.13, VEL_OUT: -34.28, MS_MPC: 22035.04, ax:  0.02, ay:  0.04, az:  0.99, gx: -0.34, gy: -3.51, gz: -5.86, OX: -0.11
1746027464.6857681 N:   48, t: 31101964, dt: 20212, ENC_DEG:  4.59, REF:  0.00, VEL_RAW:  1.09, VEL_AVG:  0.28, I: -17.96, D: -0.25, VEL_OUT: -41.18, MS_MPC: 22040.17, ax:  0.03, ay:  0.04, az:  0.99, gx: -0.89, gy: -4.06, gz: -6.77, OX: -0.06
1746027464.6927135 N:   49, t: 31121036, dt: 19072, ENC_DEG:  4.55, REF:  0.00, VEL_RAW: -2.30, VEL_AVG:  0.30, I: -18.26, D: -0.02, VEL_OUT: -39.73, MS_MPC: 22029.90, ax:  0.03, ay:  0.03, az:  0.99, gx: -1.25, gy: -4.55, gz: -7.26, OX: -0.05
