1746089639.0697453 N:   34, t: 30192759, dt: 20595, ENC_DEG: 28.72, REF:  0.00, VEL_RAW:  3.20, VEL_AVG:  0.36, I: -8.60, D: -0.10, VEL_OUT: -21.76, MS_MPC: 26894.98, ax: -0.01, ay:  0.00, az:  1.00, gx:  0.00, gy: -0.12, gz:  0.03, OX:  0.01
1746089639.1174917 N:   35, t: 30215780, dt: 23021, ENC_DEG: 28.76, REF:  0.00, VEL_RAW:  1.91, VEL_AVG:  0.44, I: -9.03, D: -0.08, VEL_OUT: -23.22, MS_MPC: 26902.16, ax: -0.01, ay: -0.00, az:  1.00, gx: -0.18, gy: -0.24, gz: -0.03, OX: -0.01
1746089639.1234622 N:   36, t: 30232075, dt: 16295, ENC_DEG: 28.70, REF:  0.00, VEL_RAW: -4.05, VEL_AVG:  0.10, I: -9.14, D:  0.34, VEL_OUT: -15.91, MS_MPC: 26891.38, ax: -0.01, ay: -0.00, az:  1.00, gx: -0.37, gy: -0.24, gz:  0.03, OX: -0.01
1746089639.1298323 N:   37, t: 30251167, dt: 19092, ENC_DEG: 28.68, REF:  0.00, VEL_RAW: -1.15, VEL_AVG:  0.01, I: -9.14, D:  0.10, VEL_OUT: -17.37, MS_MPC: 26887.78, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.31, gy: -0.24, gz:  0.03, OX: -0.00
1746089639.1773493 N:   38, t: 30273206, dt: 22039, ENC_DEG: 28.72, REF:  0.00, VEL_RAW:  1.99, VEL_AVG: -0.02, I: -9.17, D: -0.02, VEL_OUT: -18.78, MS_MPC: 26894.98, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.00, gy: -0.18, gz:  0.09, OX:  0.01
1746089639.1833854 N:   39, t: 30292221, dt: 19015, ENC_DEG: 28.65, REF:  0.00, VEL_RAW: -3.47, VEL_AVG: -0.14, I: -9.30, D: -0.11, VEL_OUT: -21.07, MS_MPC: 26884.18, ax: -0.01, ay: -0.00, az:  1.00, gx: -0.18, gy: -0.12, gz:  0.40, OX:  0.01
1746089639.190386  N:   40, t: 30310436, dt: 18215, ENC_DEG: 28.68, REF:  0.00, VEL_RAW:  1.21, VEL_AVG: -0.11, I: -9.41, D:  0.03, VEL_OUT: -19.68, MS_MPC: 26887.78, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.37, gy: -0.12, gz:  0.21, OX:  0.00
1746089639.239481  N:   41, t: 30333530, dt: 23094, ENC_DEG: 28.65, REF:  0.00, VEL_RAW: -0.95, VEL_AVG: -0.19, I: -9.60, D: -0.08, VEL_OUT: -21.90, MS_MPC: 26884.18, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.00, gy:  0.00, gz:  0.15, OX:  0.00
1746089639.2454643 N:   42, t: 30351597, dt: 18067, ENC_DEG: 28.70, REF:  0.00, VEL_RAW:  2.43, VEL_AVG: -0.17, I: -9.77, D:  0.02, VEL_OUT: -20.95, MS_MPC: 26891.38, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.06, gy: -0.12, gz:  0.27, OX: -0.02
1746089639.2514868 N:   43, t: 30372460, dt: 20863, ENC_DEG: 28.70, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.17, I: -9.93, D:  0.00, VEL_OUT: -21.52, MS_MPC: 26891.38, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.06, gy: -0.24, gz:  0.27, OX:  0.00
1746089639.2974432 N:   44, t: 30389930, dt: 17470, ENC_DEG: 28.72, REF:  0.00, VEL_RAW:  1.26, VEL_AVG:  0.10, I: -10.03, D:  0.07, VEL_OUT: -20.37, MS_MPC: 26894.98, ax: -0.01, ay: -0.00, az:  1.00, gx: -0.12, gy:  0.06, gz:  0.40, OX:  0.01
1746089639.3541775 N:   45, t: 30413398, dt: 23468, ENC_DEG: 28.65, REF:  0.00, VEL_RAW: -2.81, VEL_AVG: -0.04, I: -10.07, D:  0.06, VEL_OUT: -19.86, MS_MPC: 26884.18, ax: -0.01, ay: -0.00, az:  1.00, gx: -0.12, gy:  0.00, gz:  0.21, OX: -0.01
1746089639.3594258 N:   46, t: 30430688, dt: 17290, ENC_DEG: 28.70, REF:  0.00, VEL_RAW:  2.54, VEL_AVG: -0.09, I: -10.16, D: -0.05, VEL_OUT: -21.76, MS_MPC: 26891.38, ax: -0.01, ay: -0.00, az:  1.00, gx:  0.06, gy:  0.18, gz:  0.09, OX: -0.00
