1746089780.7202156 N:   54, t: 36211905, dt: 19377, ENC_DEG: 38.08, REF:  0.00, VEL_RAW:  3.40, VEL_AVG:  0.09, I: -9.55, D:  0.33, VEL_OUT: -16.62, MS_MPC: 28253.98, ax: -0.02, ay:  0.03, az:  0.98, gx:  1.19, gy: -0.55, gz: -3.20, OX: -0.36
1746089780.7263026 N:   55, t: 36232960, dt: 21055, ENC_DEG: 38.17, REF:  0.00, VEL_RAW:  4.17, VEL_AVG:  0.56, I: -10.10, D: -0.47, VEL_OUT: -30.44, MS_MPC: 28264.98, ax: -0.02, ay:  0.03, az:  0.97, gx:  1.62, gy: -0.79, gz: -3.57, OX: -0.05
1746089780.7320695 N:   56, t: 36252255, dt: 19295, ENC_DEG: 38.17, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.46, I: -10.56, D:  0.09, VEL_OUT: -24.78, MS_MPC: 28264.98, ax: -0.03, ay:  0.05, az:  0.99, gx:  2.96, gy: -1.77, gz: -3.27, OX:  0.19
1746089780.738073  N:   57, t: 36273638, dt: 21383, ENC_DEG: 38.17, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.19, I: -10.75, D:  0.27, VEL_OUT: -20.68, MS_MPC: 28264.98, ax: -0.03, ay:  0.04, az:  1.02, gx:  3.08, gy: -2.14, gz: -6.01, OX: -0.08
1746089780.7793057 N:   58, t: 36293727, dt: 20089, ENC_DEG: 38.10, REF:  0.00, VEL_RAW: -3.28, VEL_AVG:  0.01, I: -10.76, D:  0.18, VEL_OUT: -19.80, MS_MPC: 28256.73, ax: -0.03, ay:  0.03, az:  1.02, gx:  1.56, gy: -2.14, gz: -7.78, OX: -0.05
1746089780.7856624 N:   59, t: 36313068, dt: 19341, ENC_DEG: 38.08, REF:  0.00, VEL_RAW: -1.14, VEL_AVG: -0.09, I: -10.85, D: -0.08, VEL_OUT: -23.34, MS_MPC: 28253.98, ax: -0.03, ay: -0.00, az:  1.01, gx:  0.82, gy: -1.83, gz: -7.54, OX: -0.34
1746089780.7918947 N:   60, t: 36333724, dt: 20656, ENC_DEG: 38.10, REF:  0.00, VEL_RAW:  1.06, VEL_AVG:  0.29, I: -11.14, D: -0.20, VEL_OUT: -27.19, MS_MPC: 28256.73, ax: -0.03, ay:  0.00, az:  1.01, gx:  0.03, gy: -1.46, gz: -6.13, OX:  0.00
1746089780.8399997 N:   61, t: 36356649, dt: 22925, ENC_DEG: 38.15, REF:  0.00, VEL_RAW:  1.92, VEL_AVG:  0.54, I: -11.67, D: -0.25, VEL_OUT: -31.24, MS_MPC: 28262.23, ax: -0.02, ay:  0.01, az:  1.01, gx: -1.62, gy: -0.79, gz: -4.49, OX:  0.06
1746089780.8453052 N:   62, t: 36373989, dt: 17340, ENC_DEG: 38.04, REF:  0.00, VEL_RAW: -6.34, VEL_AVG:  0.10, I: -11.77, D:  0.44, VEL_OUT: -20.08, MS_MPC: 28248.47, ax: -0.02, ay: -0.00, az:  1.01, gx: -1.50, gy: -0.55, gz: -1.56, OX: -0.23
1746089780.8973033 N:   63, t: 36392531, dt: 18542, ENC_DEG: 37.97, REF:  0.00, VEL_RAW: -3.55, VEL_AVG: -0.12, I: -11.89, D: -0.02, VEL_OUT: -25.13, MS_MPC: 28240.19, ax: -0.03, ay: -0.02, az:  1.00, gx: -1.07, gy: -1.16, gz:  0.34, OX: -0.10
