1746089490.4328403 N:   34, t: 26223313, dt: 18891, ENC_DEG: 42.94, REF:  0.00, VEL_RAW:  2.33, VEL_AVG:  0.56, I: -12.53, D: -0.28, VEL_OUT: -33.44, MS_MPC: 28805.72, ax: -0.02, ay: -0.03, az:  1.01, gx:  0.00, gy:  0.43, gz:  1.40, OX:  0.02
1746089490.4389985 N:   35, t: 26242920, dt: 19607, ENC_DEG: 42.89, REF:  0.00, VEL_RAW: -2.24, VEL_AVG:  0.66, I: -13.18, D: -0.10, VEL_OUT: -33.93, MS_MPC: 28801.26, ax: -0.01, ay: -0.03, az:  1.00, gx: -0.24, gy:  0.37, gz:  1.16, OX:  0.02
1746089490.4451017 N:   36, t: 26263390, dt: 20470, ENC_DEG: 42.80, REF:  0.00, VEL_RAW: -4.29, VEL_AVG:  0.13, I: -13.31, D:  0.53, VEL_OUT: -22.61, MS_MPC: 28792.30, ax: -0.01, ay: -0.03, az:  1.00, gx: -0.61, gy:  0.18, gz:  0.73, OX: -0.01
1746089490.4955428 N:   37, t: 26284228, dt: 20838, ENC_DEG: 42.89, REF:  0.00, VEL_RAW:  4.22, VEL_AVG:  0.65, I: -13.96, D: -0.52, VEL_OUT: -39.62, MS_MPC: 28801.26, ax: -0.01, ay: -0.03, az:  0.99, gx: -1.28, gy:  0.24, gz:  0.73, OX: -0.01
1746089490.501442  N:   38, t: 26304408, dt: 20180, ENC_DEG: 42.83, REF:  0.00, VEL_RAW: -3.27, VEL_AVG: -0.26, I: -14.22, D:  0.39, VEL_OUT: -27.06, MS_MPC: 28794.54, ax: -0.01, ay: -0.03, az:  0.99, gx: -1.59, gy:  0.12, gz:  0.37, OX: -0.00
1746089490.5084538 N:   39, t: 26323707, dt: 19299, ENC_DEG: 42.85, REF:  0.00, VEL_RAW:  1.14, VEL_AVG:  0.59, I: -14.80, D: -0.33, VEL_OUT: -38.75, MS_MPC: 28796.78, ax: -0.01, ay: -0.03, az:  1.00, gx: -1.46, gy: -0.18, gz: -0.18, OX: -0.02
1746089490.556087  N:   40, t: 26343488, dt: 19781, ENC_DEG: 42.83, REF:  0.00, VEL_RAW: -1.11, VEL_AVG:  0.41, I: -15.22, D:  0.17, VEL_OUT: -32.87, MS_MPC: 28794.54, ax: -0.02, ay: -0.04, az:  1.01, gx: -1.46, gy: -0.79, gz: -1.10, OX: -0.02
1746089490.5620701 N:   41, t: 26363040, dt: 19552, ENC_DEG: 42.74, REF:  0.00, VEL_RAW: -4.49, VEL_AVG: -0.17, I: -15.39, D:  0.24, VEL_OUT: -30.05, MS_MPC: 28785.56, ax: -0.02, ay: -0.03, az:  1.01, gx: -1.59, gy: -0.24, gz: -0.98, OX:  0.01
1746089490.5680542 N:   42, t: 26388875, dt: 25835, ENC_DEG: 42.67, REF:  0.00, VEL_RAW: -2.55, VEL_AVG: -0.68, I: -16.07, D: -0.51, VEL_OUT: -44.10, MS_MPC: 28778.80, ax: -0.01, ay: -0.03, az:  1.00, gx: -1.16, gy:  0.12, gz: -0.37, OX:  0.03
1746089490.6155612 N:   43, t: 26402906, dt: 14031, ENC_DEG: 42.74, REF:  0.00, VEL_RAW:  4.70, VEL_AVG: -0.12, I: -16.19, D:  0.56, VEL_OUT: -27.94, MS_MPC: 28785.56, ax: -0.00, ay: -0.02, az:  0.99, gx: -0.37, gy: -0.31, gz: -0.31, OX:  0.01
1746089490.622199  N:   44, t: 26425381, dt: 22475, ENC_DEG: 42.80, REF:  0.00, VEL_RAW:  2.93, VEL_AVG: -0.22, I: -16.41, D: -0.10, VEL_OUT: -36.04, MS_MPC: 28792.30, ax: -0.01, ay: -0.03, az:  1.00, gx:  0.18, gy: -0.79, gz: -0.67, OX: -0.04
1746089490.6277196 N:   45, t: 26443705, dt: 18324, ENC_DEG: 42.78, REF:  0.00, VEL_RAW: -1.20, VEL_AVG: -0.32, I: -16.73, D: -0.10, VEL_OUT: -37.66, MS_MPC: 28790.05, ax: -0.02, ay: -0.04, az:  1.01, gx:  0.43, gy: -0.85, gz:  0.18, OX: -0.09
1746089490.6765943 N:   46, t: 26463335, dt: 19630, ENC_DEG: 42.78, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.51, I: -17.25, D: -0.19, VEL_OUT: -41.57, MS_MPC: 28790.05, ax: -0.02, ay: -0.03, az:  1.01, gx:  0.24, gy: -0.06, gz:  1.10, OX:  0.03
1746089490.690558  N:   47, t: 26482732, dt: 19397, ENC_DEG: 42.80, REF:  0.00, VEL_RAW:  1.13, VEL_AVG: -0.23, I: -17.48, D:  0.28, VEL_OUT: -34.48, MS_MPC: 28792.30, ax: -0.01, ay: -0.03, az:  1.01, gx: -0.12, gy:  0.31, gz:  2.01, OX:  0.06
1746089490.692552  N:   48, t: 26504333, dt: 21601, ENC_DEG: 42.83, REF:  0.00, VEL_RAW:  1.02, VEL_AVG:  0.21, I: -17.69, D:  0.02, VEL_OUT: -37.24, MS_MPC: 28794.54, ax: -0.01, ay: -0.03, az:  1.01, gx: -0.43, gy: -0.06, gz:  2.01, OX:  0.01
1746089490.7494001 N:   49, t: 26522815, dt: 18482, ENC_DEG: 42.83, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.14, I: -17.83, D:  0.07, VEL_OUT: -36.40, MS_MPC: 28794.54, ax: -0.01, ay: -0.03, az:  1.00, gx: -0.61, gy: -0.55, gz:  1.46, OX:  0.00
1746089490.7503974 N:   50, t: 26543160, dt: 20345, ENC_DEG: 42.89, REF:  0.00, VEL_RAW:  3.24, VEL_AVG:  0.40, I: -18.23, D: -0.26, VEL_OUT: -43.05, MS_MPC: 28801.26, ax: -0.02, ay: -0.03, az:  1.01, gx: -0.49, gy: -0.49, gz:  0.79, OX: -0.00
1746089490.7513945 N:   51, t: 26563385, dt: 20225, ENC_DEG: 42.78, REF:  0.00, VEL_RAW: -5.43, VEL_AVG: -0.15, I: -18.38, D:  0.25, VEL_OUT: -35.70, MS_MPC: 28790.05, ax: -0.02, ay: -0.03, az:  1.01, gx: -0.43, gy: -0.43, gz:  0.61, OX: -0.03
1746089490.855304  N:   52, t: 26586765, dt: 23380, ENC_DEG: 42.89, REF:  0.00, VEL_RAW:  4.70, VEL_AVG:  0.34, I: -18.71, D: -0.19, VEL_OUT: -42.69, MS_MPC: 28801.26, ax: -0.02, ay: -0.03, az:  1.01, gx: -0.49, gy: -0.24, gz:  0.85, OX:  0.02
1746089490.8612876 N:   53, t: 26604097, dt: 17332, ENC_DEG: 42.83, REF:  0.00, VEL_RAW: -3.80, VEL_AVG:  0.39, I: -19.11, D: -0.06, VEL_OUT: -42.74, MS_MPC: 28794.54, ax: -0.02, ay: -0.03, az:  1.01, gx: -0.12, gy:  0.73, gz:  1.34, OX:  0.06
1746089490.8702645 N:   54, t: 26627674, dt: 23577, ENC_DEG: 42.78, REF:  0.00, VEL_RAW: -1.86, VEL_AVG:  0.45, I: -19.56, D: -0.06, VEL_OUT: -44.21, MS_MPC: 28790.05, ax: -0.02, ay: -0.02, az:  1.00, gx:  0.31, gy:  1.22, gz:  1.71, OX:  0.03
1746089490.914197  N:   56, t: 26664258, dt: 16340, ENC_DEG: 42.80, REF:  0.00, VEL_RAW: -2.69, VEL_AVG: -0.14, I: -20.03, D:  0.19, VEL_OUT: -39.48, MS_MPC: 28792.30, ax: -0.02, ay: -0.02, az:  0.99, gx:  0.98, gy:  1.83, gz:  1.89, OX: -0.01
1746089490.9766548 N:   57, t: 26705546, dt: 41288, ENC_DEG: 42.80, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.04, I: -20.07, D:  0.10, VEL_OUT: -39.50, MS_MPC: 28792.30, ax: -0.02, ay: -0.02, az:  1.00, gx:  1.10, gy:  1.10, gz:  0.92, OX: -0.01
1746089490.9826388 N:   58, t: 26724430, dt: 18884, ENC_DEG: 42.78, REF:  0.00, VEL_RAW: -1.16, VEL_AVG: -0.13, I: -20.20, D: -0.10, VEL_OUT: -42.71, MS_MPC: 28790.05, ax: -0.02, ay: -0.02, az:  1.00, gx:  0.73, gy:  0.79, gz:  0.73, OX: -0.01
1746089490.9896283 N:   59, t: 26742632, dt: 18202, ENC_DEG: 42.80, REF:  0.00, VEL_RAW:  1.21, VEL_AVG: -0.13, I: -20.33, D:  0.01, VEL_OUT: -41.87, MS_MPC: 28792.30, ax: -0.02, ay: -0.02, az:  1.00, gx:  0.18, gy:  0.67, gz: -0.06, OX: -0.01
1746089491.0375116 N:   60, t: 26768269, dt: 25637, ENC_DEG: 42.69, REF:  0.00, VEL_RAW: -4.29, VEL_AVG: -0.57, I: -20.90, D: -0.44, VEL_OUT: -51.91, MS_MPC: 28781.06, ax: -0.01, ay: -0.02, az:  1.00, gx: -0.18, gy: -0.31, gz: -1.83, OX: -0.01
1746089491.043501  N:   62, t: 26809575, dt: 25312, ENC_DEG: 42.74, REF:  0.00, VEL_RAW:  0.87, VEL_AVG: -0.65, I: -22.00, D: -0.20, VEL_OUT: -52.51, MS_MPC: 28785.56, ax: -0.01, ay: -0.03, az:  0.99, gx: -0.37, gy: -1.22, gz: -3.66, OX: -0.05
1746089491.0494783 N:   63, t: 26825571, dt: 15996, ENC_DEG: 42.72, REF:  0.00, VEL_RAW: -1.37, VEL_AVG: -0.31, I: -22.32, D:  0.34, VEL_OUT: -44.40, MS_MPC: 28783.31, ax: -0.00, ay: -0.04, az:  1.00, gx: -0.12, gy: -1.65, gz: -4.15, OX: -0.07
1746089491.0554626 N:   65, t: 26867342, dt: 23412, ENC_DEG: 42.76, REF:  0.00, VEL_RAW:  1.88, VEL_AVG: -0.23, I: -23.26, D:  0.47, VEL_OUT: -44.11, MS_MPC: 28787.81, ax: -0.00, ay: -0.05, az:  1.01, gx:  0.12, gy: -1.95, gz: -2.93, OX: -0.04
1746089491.0614524 N:   66, t: 26883988, dt: 16646, ENC_DEG: 42.85, REF:  0.00, VEL_RAW:  5.28, VEL_AVG:  0.36, I: -23.62, D: -0.13, VEL_OUT: -52.16, MS_MPC: 28796.78, ax: -0.01, ay: -0.05, az:  1.01, gx:  0.24, gy: -1.34, gz: -1.89, OX:  0.00
1746089491.097861  N:   67, t: 26904432, dt: 20444, ENC_DEG: 42.85, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.09, I: -23.71, D:  0.27, VEL_OUT: -45.62, MS_MPC: 28796.78, ax: -0.00, ay: -0.05, az:  1.02, gx:  0.18, gy: -0.18, gz: -0.12, OX:  0.02
1746089491.1567004 N:   68, t: 26926581, dt: 22149, ENC_DEG: 42.89, REF:  0.00, VEL_RAW:  1.98, VEL_AVG:  0.48, I: -24.19, D: -0.39, VEL_OUT: -57.09, MS_MPC: 28801.26, ax: -0.01, ay: -0.05, az:  1.02, gx:  0.12, gy:  0.06, gz:  0.92, OX:  0.00
1746089491.1616871 N:   69, t: 26945269, dt: 18688, ENC_DEG: 42.87, REF:  0.00, VEL_RAW: -1.18, VEL_AVG:  0.38, I: -24.58, D:  0.10, VEL_OUT: -52.00, MS_MPC: 28799.02, ax: -0.01, ay: -0.05, az:  1.03, gx: -0.37, gy:  0.43, gz:  2.26, OX:  0.03
1746089491.1676705 N:   70, t: 26968638, dt: 23369, ENC_DEG: 42.96, REF:  0.00, VEL_RAW:  3.76, VEL_AVG:  0.79, I: -25.37, D: -0.41, VEL_OUT: -62.77, MS_MPC: 28807.94, ax: -0.01, ay: -0.04, az:  1.01, gx: -0.49, gy:  0.79, gz:  3.42, OX:  0.05
1746089491.1736553 N:   71, t: 26987955, dt: 19317, ENC_DEG: 42.94, REF:  0.00, VEL_RAW: -1.14, VEL_AVG:  0.60, I: -25.97, D:  0.20, VEL_OUT: -55.95, MS_MPC: 28805.72, ax: -0.02, ay: -0.03, az:  1.00, gx: -0.49, gy:  1.65, gz:  4.46, OX:  0.05
1746089491.1796384 N:   72, t: 27003566, dt: 15611, ENC_DEG: 42.89, REF:  0.00, VEL_RAW: -2.82, VEL_AVG:  0.72, I: -26.69, D: -0.12, VEL_OUT: -61.80, MS_MPC: 28801.26, ax: -0.02, ay: -0.02, az:  0.99, gx: -0.06, gy:  1.77, gz:  4.52, OX:  0.06
1746089491.217526  N:   73, t: 27022674, dt: 19108, ENC_DEG: 42.89, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.61, I: -27.29, D:  0.11, VEL_OUT: -59.49, MS_MPC: 28801.26, ax: -0.02, ay: -0.02, az:  1.00, gx:  0.12, gy:  1.53, gz:  3.48, OX:  0.06
1746089491.2243605 N:   74, t: 27045077, dt: 22403, ENC_DEG: 42.87, REF:  0.00, VEL_RAW: -0.98, VEL_AVG:  0.45, I: -27.74, D:  0.15, VEL_OUT: -58.46, MS_MPC: 28799.02, ax: -0.03, ay: -0.02, az:  1.00, gx:  0.31, gy:  0.73, gz:  1.77, OX: -0.07
