1746005245.3171082 N:   36, t: 54084897, dt: 20806, ENC_DEG: 21.86, REF:  0.00, VEL_RAW: -4.22, VEL_AVG: -0.13, I: -4.28, D:  0.10, VEL_OUT: -8.84, MS_MPC: 25691.67, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.06, gy:  0.06, gz:  0.06, OX: -0.02
1746005245.3231282 N:   37, t: 54108284, dt: 23387, ENC_DEG: 21.91, REF:  0.00, VEL_RAW:  1.88, VEL_AVG:  0.03, I: -4.31, D:  0.10, VEL_OUT: -7.96, MS_MPC: 25699.88, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.06, gy: -0.24, gz:  0.49, OX:  0.02
1746005245.3774753 N:   38, t: 54127311, dt: 19027, ENC_DEG: 21.91, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.03, I: -4.34, D:  0.00, VEL_OUT: -8.99, MS_MPC: 25699.88, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.06, gy: -0.06, gz:  0.31, OX:  0.02
1746005245.3824604 N:   39, t: 54146565, dt: 19254, ENC_DEG: 21.91, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.07, I: -4.41, D: -0.04, VEL_OUT: -9.89, MS_MPC: 25699.88, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.18, gy: -0.37, gz: -0.31, OX: -0.05
1746005245.3888342 N:   40, t: 54164666, dt: 18101, ENC_DEG: 21.93, REF:  0.00, VEL_RAW:  1.21, VEL_AVG:  0.13, I: -4.54, D: -0.07, VEL_OUT: -11.09, MS_MPC: 25703.98, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.18, gy: -0.49, gz: -0.43, OX: -0.01
1746005245.3948207 N:   41, t: 54184366, dt: 19700, ENC_DEG: 21.93, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.13, I: -4.68, D:  0.00, VEL_OUT: -10.70, MS_MPC: 25703.98, ax:  0.01, ay:  0.00, az:  0.99, gx:  0.00, gy: -0.37, gz: -0.18, OX: -0.01
1746005245.436821  N:   42, t: 54205432, dt: 21066, ENC_DEG: 21.91, REF:  0.00, VEL_RAW: -1.04, VEL_AVG: -0.07, I: -4.75, D:  0.06, VEL_OUT: -9.62, MS_MPC: 25699.88, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.12, gy: -0.18, gz:  0.43, OX:  0.13
1746005245.4437613 N:   43, t: 54224638, dt: 19206, ENC_DEG: 21.93, REF:  0.00, VEL_RAW:  1.14, VEL_AVG:  0.31, I: -5.06, D: -0.24, VEL_OUT: -15.56, MS_MPC: 25703.98, ax: -0.00, ay:  0.01, az:  1.00, gx: -0.24, gy:  0.06, gz: -0.06, OX:  0.02
1746005245.4978058 N:   44, t: 54244322, dt: 19684, ENC_DEG: 21.91, REF:  0.00, VEL_RAW: -1.12, VEL_AVG:  0.06, I: -5.12, D:  0.25, VEL_OUT: -8.27, MS_MPC: 25699.88, ax: -0.00, ay:  0.01, az:  1.00, gx: -0.24, gy: -0.37, gz: -0.43, OX:  0.01
1746005245.5028353 N:   45, t: 54263928, dt: 19606, ENC_DEG: 21.93, REF:  0.00, VEL_RAW:  1.12, VEL_AVG: -0.07, I: -5.18, D: -0.01, VEL_OUT: -11.11, MS_MPC: 25703.98, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.12, gy: -0.67, gz: -1.04, OX: -0.06
