1746004636.8613179 N:   35, t: 60297657, dt: 19170, ENC_DEG: 50.67, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.46, I: -6.72, D: -0.09, VEL_OUT: -18.91, MS_MPC: 29417.91, ax: -0.00, ay:  0.00, az:  0.99, gx:  0.37, gy:  1.16, gz:  1.34, OX:  0.01
1746004636.8672364 N:   38, t: 60359541, dt: 17018, ENC_DEG: 50.65, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.26, I: -7.11, D: -0.20, VEL_OUT: -18.87, MS_MPC: 29416.71, ax: -0.00, ay:  0.01, az:  1.00, gx:  0.98, gy:  0.92, gz:  0.73, OX: -0.01
1746004636.9070058 N:   39, t: 60375821, dt: 16280, ENC_DEG: 50.71, REF:  0.00, VEL_RAW:  4.05, VEL_AVG:  0.40, I: -7.51, D: -0.13, VEL_OUT: -20.30, MS_MPC: 29420.33, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.98, gy:  0.85, gz:  0.24, OX: -0.04
1746004636.9674828 N:   40, t: 60396357, dt: 20536, ENC_DEG: 50.71, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.50, I: -8.00, D: -0.10, VEL_OUT: -21.95, MS_MPC: 29420.33, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.92, gy:  0.49, gz:  0.12, OX: -0.03
1746004637.0270114 N:   41, t: 60418551, dt: 22194, ENC_DEG: 50.69, REF:  0.00, VEL_RAW: -0.99, VEL_AVG:  0.41, I: -8.42, D:  0.08, VEL_OUT: -20.13, MS_MPC: 29419.12, ax: -0.01, ay: -0.00, az:  1.00, gx:  0.79, gy:  0.00, gz:  0.18, OX:  0.01
1746004637.087477  N:   42, t: 60436061, dt: 17510, ENC_DEG: 50.65, REF:  0.00, VEL_RAW: -2.51, VEL_AVG:  0.42, I: -8.84, D: -0.01, VEL_OUT: -21.95, MS_MPC: 29416.71, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.61, gy:  0.37, gz:  0.37, OX:  0.01
1746004637.0931423 N:   43, t: 60457151, dt: 21090, ENC_DEG: 50.65, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.16, I: -9.00, D:  0.26, VEL_OUT: -17.07, MS_MPC: 29416.71, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.24, gy:  0.37, gz:  0.12, OX:  0.00
1746004637.099065  N:   44, t: 60476127, dt: 18976, ENC_DEG: 50.63, REF:  0.00, VEL_RAW: -1.16, VEL_AVG:  0.14, I: -9.14, D:  0.03, VEL_OUT: -19.37, MS_MPC: 29415.50, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.18, gy:  0.00, gz:  0.18, OX:  0.03
1746004637.1060746 N:   50, t: 60596849, dt: 14168, ENC_DEG: 50.63, REF:  0.00, VEL_RAW: -3.10, VEL_AVG: -0.23, I: -9.98, D: -0.21, VEL_OUT: -24.41, MS_MPC: 29415.50, ax: -0.00, ay:  0.00, az:  1.00, gx: -0.37, gy: -0.18, gz: -0.24, OX: -0.00
1746004637.2056549 N:   51, t: 60618228, dt: 21379, ENC_DEG: 50.65, REF:  0.00, VEL_RAW:  1.03, VEL_AVG: -0.49, I: -10.47, D: -0.25, VEL_OUT: -28.31, MS_MPC: 29416.71, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.06, gy: -0.12, gz: -0.55, OX:  0.00
1746004637.2119284 N:   52, t: 60636582, dt: 18354, ENC_DEG: 50.69, REF:  0.00, VEL_RAW:  2.39, VEL_AVG: -0.29, I: -10.75, D:  0.20, VEL_OUT: -22.37, MS_MPC: 29419.12, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.06, gy: -0.31, gz: -0.43, OX:  0.01
1746004637.218038  N:   53, t: 60656861, dt: 20279, ENC_DEG: 50.63, REF:  0.00, VEL_RAW: -3.25, VEL_AVG: -0.47, I: -11.23, D: -0.19, VEL_OUT: -29.09, MS_MPC: 29415.50, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.31, gy: -0.31, gz: -0.61, OX:  0.00
1746004637.2230217 N:   54, t: 60682006, dt: 25145, ENC_DEG: 50.67, REF:  0.00, VEL_RAW:  1.75, VEL_AVG: -0.12, I: -11.35, D:  0.35, VEL_OUT: -20.35, MS_MPC: 29417.91, ax: -0.00, ay: -0.00, az:  1.01, gx:  0.31, gy: -0.49, gz: -0.79, OX: -0.04
1746004637.2289684 N:   56, t: 60716412, dt: 19089, ENC_DEG: 50.67, REF:  0.00, VEL_RAW: -1.15, VEL_AVG:  0.00, I: -11.35, D:  0.00, VEL_OUT: -22.69, MS_MPC: 29417.91, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.24, gy:  0.00, gz: -0.18, OX:  0.03
1746004637.2359774 N:   57, t: 60736413, dt: 20001, ENC_DEG: 50.63, REF:  0.00, VEL_RAW: -2.20, VEL_AVG: -0.18, I: -11.53, D: -0.18, VEL_OUT: -26.72, MS_MPC: 29415.50, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.43, gy:  0.00, gz: -0.06, OX:  0.02
1746004637.3265371 N:   58, t: 60757498, dt: 21085, ENC_DEG: 50.69, REF:  0.00, VEL_RAW:  3.13, VEL_AVG: -0.11, I: -11.64, D:  0.07, VEL_OUT: -23.74, MS_MPC: 29419.12, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.49, gy:  0.06, gz:  0.12, OX: -0.00
1746004637.3328807 N:   59, t: 60775825, dt: 18327, ENC_DEG: 50.63, REF:  0.00, VEL_RAW: -3.60, VEL_AVG: -0.27, I: -11.91, D: -0.16, VEL_OUT: -28.07, MS_MPC: 29415.50, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.55, gy:  0.31, gz:  0.06, OX: -0.00
1746004637.338889  N:   60, t: 60796965, dt: 21140, ENC_DEG: 50.65, REF:  0.00, VEL_RAW:  1.04, VEL_AVG:  0.24, I: -12.16, D:  0.03, VEL_OUT: -26.50, MS_MPC: 29416.71, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.37, gy:  0.12, gz:  0.31, OX:  0.01
1746004637.344855  N:   61, t: 60817127, dt: 20162, ENC_DEG: 50.67, REF:  0.00, VEL_RAW:  1.09, VEL_AVG: -0.12, I: -12.28, D:  0.12, VEL_OUT: -24.51, MS_MPC: 29417.91, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.24, gy:  0.49, gz:  0.43, OX:  0.03
1746004637.3877096 N:   63, t: 60856804, dt: 20234, ENC_DEG: 50.60, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.23, I: -12.65, D: -0.09, VEL_OUT: -28.45, MS_MPC: 29414.28, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.12, gy:  0.18, gz:  0.43, OX:  0.00
1746004637.3931584 N:   64, t: 60876584, dt: 19780, ENC_DEG: 50.63, REF:  0.00, VEL_RAW:  1.11, VEL_AVG: -0.34, I: -12.99, D: -0.11, VEL_OUT: -30.41, MS_MPC: 29415.50, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.06, gy:  0.24, gz:  0.18, OX: -0.01
1746004637.3990788 N:   65, t: 60896940, dt: 20356, ENC_DEG: 50.63, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.07, I: -13.05, D:  0.27, VEL_OUT: -24.05, MS_MPC: 29415.50, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.12, gy:  0.12, gz:  0.24, OX: -0.00
1746004637.4471116 N:   66, t: 60916134, dt: 19194, ENC_DEG: 50.69, REF:  0.00, VEL_RAW:  3.43, VEL_AVG:  0.08, I: -13.13, D: -0.01, VEL_OUT: -27.10, MS_MPC: 29419.12, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.06, gy:  0.12, gz:  0.31, OX:  0.02
1746004637.454055  N:   67, t: 60937315, dt: 21181, ENC_DEG: 50.63, REF:  0.00, VEL_RAW: -3.11, VEL_AVG: -0.30, I: -13.43, D: -0.23, VEL_OUT: -32.19, MS_MPC: 29415.50, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.18, gy: -0.06, gz:  0.24, OX:  0.00
1746004637.460039  N:   68, t: 60956586, dt: 19271, ENC_DEG: 50.67, REF:  0.00, VEL_RAW:  2.28, VEL_AVG: -0.02, I: -13.45, D:  0.29, VEL_OUT: -24.22, MS_MPC: 29417.91, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.12, gy:  0.06, gz:  0.43, OX:  0.01
