1746004860.967085  N:   32, t: 44927528, dt: 21186, ENC_DEG: 54.03, REF:  0.00, VEL_RAW:  3.11, VEL_AVG:  0.16, I: -7.01, D:  0.22, VEL_OUT: -13.38, MS_MPC: 29562.28, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.31, gy:  0.24, gz:  0.12, OX: -0.01
1746004861.079763  N:   33, t: 44945944, dt: 18416, ENC_DEG: 53.97, REF:  0.00, VEL_RAW: -3.58, VEL_AVG: -0.05, I: -7.06, D:  0.11, VEL_OUT: -13.54, MS_MPC: 29560.25, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.31, gy:  0.06, gz:  0.06, OX:  0.00
1746004861.0817583 N:   34, t: 44967086, dt: 21142, ENC_DEG: 54.01, REF:  0.00, VEL_RAW:  2.08, VEL_AVG:  0.12, I: -7.18, D: -0.08, VEL_OUT: -16.36, MS_MPC: 29561.61, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.31, gy:  0.18, gz:  0.31, OX:  0.03
1746004861.0827546 N:   35, t: 44987652, dt: 20566, ENC_DEG: 53.97, REF:  0.00, VEL_RAW: -2.14, VEL_AVG: -0.34, I: -7.52, D: -0.21, VEL_OUT: -20.51, MS_MPC: 29560.25, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.06, gy:  0.06, gz:  0.12, OX:  0.01
1746004861.0857475 N:   36, t: 45007722, dt: 20070, ENC_DEG: 54.01, REF:  0.00, VEL_RAW:  2.19, VEL_AVG: -0.06, I: -7.58, D:  0.28, VEL_OUT: -12.91, MS_MPC: 29561.61, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.12, gy:  0.37, gz:  0.37, OX:  0.00
1746004861.0917313 N:   38, t: 45048850, dt: 22188, ENC_DEG: 54.05, REF:  0.00, VEL_RAW:  1.98, VEL_AVG:  0.15, I: -7.85, D: -0.03, VEL_OUT: -17.47, MS_MPC: 29562.94, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.24, gy:  0.18, gz:  0.31, OX:  0.00
1746004861.135594  N:   39, t: 45067053, dt: 18203, ENC_DEG: 54.03, REF:  0.00, VEL_RAW: -1.21, VEL_AVG:  0.05, I: -7.90, D:  0.10, VEL_OUT: -15.31, MS_MPC: 29562.28, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.18, gy:  0.31, gz:  0.24, OX:  0.00
1746004861.1395838 N:   40, t: 45086542, dt: 19489, ENC_DEG: 54.03, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.08, I: -7.98, D: -0.03, VEL_OUT: -17.02, MS_MPC: 29562.28, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.31, gy:  0.37, gz:  0.43, OX:  0.01
1746004861.1874554 N:   41, t: 45108981, dt: 22439, ENC_DEG: 53.99, REF:  0.00, VEL_RAW: -1.96, VEL_AVG: -0.15, I: -8.13, D: -0.07, VEL_OUT: -18.39, MS_MPC: 29560.93, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.55, gy:  0.06, gz: -0.12, OX:  0.00
1746004861.1914446 N:   42, t: 45131807, dt: 22826, ENC_DEG: 54.01, REF:  0.00, VEL_RAW:  0.96, VEL_AVG: -0.22, I: -8.35, D: -0.07, VEL_OUT: -19.60, MS_MPC: 29561.61, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.43, gy: -0.12, gz: -0.49, OX: -0.01
