1746521238.841443  N:   37, t: 24699065, dt: 24966, ENC_DEG: 49.68, REF:  0.00, VEL_RAW: -0.88, VEL_AVG:  0.50, I: -10.77, D: -0.02, VEL_OUT: -26.78, MS_MPC: 29360.30, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.00, gy: -0.06, gz:  0.18, OX:  0.01
1746521238.8997035 N:   38, t: 24713066, dt: 14001, ENC_DEG: 49.66, REF:  0.00, VEL_RAW: -1.57, VEL_AVG:  0.30, I: -11.07, D:  0.20, VEL_OUT: -23.16, MS_MPC: 29358.95, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.00, gy: -0.06, gz:  0.06, OX:  0.03
1746521238.9049122 N:   39, t: 24738123, dt: 25057, ENC_DEG: 49.62, REF:  0.00, VEL_RAW: -1.75, VEL_AVG:  0.06, I: -11.13, D:  0.24, VEL_OUT: -20.39, MS_MPC: 29356.23, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.00, gy:  0.06, gz: -0.31, OX: -0.01
1746521238.9108906 N:   40, t: 24754762, dt: 16639, ENC_DEG: 49.66, REF:  0.00, VEL_RAW:  2.64, VEL_AVG:  0.18, I: -11.31, D: -0.12, VEL_OUT: -25.68, MS_MPC: 29358.95, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.00, gy:  0.00, gz: -0.37, OX: -0.00
1746521238.917407  N:   41, t: 24775687, dt: 20925, ENC_DEG: 49.64, REF:  0.00, VEL_RAW: -1.05, VEL_AVG:  0.28, I: -11.59, D: -0.10, VEL_OUT: -27.02, MS_MPC: 29357.59, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.12, gy: -0.24, gz: -0.31, OX: -0.02
1746521238.9230313 N:   43, t: 24814180, dt: 19547, ENC_DEG: 49.66, REF:  0.00, VEL_RAW:  1.12, VEL_AVG:  0.38, I: -12.25, D: -0.09, VEL_OUT: -29.20, MS_MPC: 29358.95, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.00, gy:  0.00, gz:  0.12, OX:  0.00
1746521238.9611142 N:   44, t: 24833482, dt: 19302, ENC_DEG: 49.66, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.29, I: -12.54, D:  0.09, VEL_OUT: -27.07, MS_MPC: 29358.95, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.12, gy:  0.00, gz:  0.24, OX: -0.02
1746521238.967097  N:   45, t: 24854698, dt: 21216, ENC_DEG: 49.68, REF:  0.00, VEL_RAW:  1.04, VEL_AVG:  0.25, I: -12.79, D:  0.04, VEL_OUT: -27.76, MS_MPC: 29360.30, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.24, gy:  0.18, gz:  0.06, OX: -0.00
1746521239.0205114 N:   46, t: 24873440, dt: 18742, ENC_DEG: 49.66, REF:  0.00, VEL_RAW: -1.17, VEL_AVG:  0.15, I: -12.95, D:  0.10, VEL_OUT: -26.46, MS_MPC: 29358.95, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.43, gy:  0.06, gz: -0.24, OX: -0.02
1746521239.0264957 N:   47, t: 24892977, dt: 19537, ENC_DEG: 49.64, REF:  0.00, VEL_RAW: -1.12, VEL_AVG: -0.13, I: -13.07, D:  0.03, VEL_OUT: -27.17, MS_MPC: 29357.59, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.37, gy:  0.00, gz: -0.06, OX:  0.04
1746521239.0334768 N:   48, t: 24912991, dt: 20014, ENC_DEG: 49.66, REF:  0.00, VEL_RAW:  1.10, VEL_AVG: -0.14, I: -13.21, D: -0.01, VEL_OUT: -27.89, MS_MPC: 29358.95, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.18, gy:  0.12, gz:  0.12, OX:  0.03
1746521239.080943  N:   49, t: 24935934, dt: 22943, ENC_DEG: 49.70, REF:  0.00, VEL_RAW:  1.92, VEL_AVG:  0.10, I: -13.31, D:  0.04, VEL_OUT: -27.15, MS_MPC: 29361.65, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.06, gy:  0.24, gz:  0.12, OX:  0.02
1746521239.087274  N:   50, t: 24953301, dt: 17367, ENC_DEG: 49.62, REF:  0.00, VEL_RAW: -5.06, VEL_AVG: -0.20, I: -13.50, D: -0.10, VEL_OUT: -29.97, MS_MPC: 29356.23, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.06, gy:  0.06, gz:  0.00, OX:  0.05
1746521239.1971827 N:   51, t: 24973466, dt: 20165, ENC_DEG: 49.64, REF:  0.00, VEL_RAW:  1.09, VEL_AVG:  0.04, I: -13.54, D:  0.15, VEL_OUT: -25.96, MS_MPC: 29357.59, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.06, gy:  0.06, gz: -0.55, OX: -0.03
1746521239.2024739 N:   52, t: 24993083, dt: 19617, ENC_DEG: 49.59, REF:  0.00, VEL_RAW: -2.24, VEL_AVG: -0.37, I: -13.91, D: -0.32, VEL_OUT: -34.72, MS_MPC: 29354.86, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.37, gy:  0.12, gz: -0.37, OX: -0.01
1746521239.2084577 N:   53, t: 25014092, dt: 21009, ENC_DEG: 49.66, REF:  0.00, VEL_RAW:  3.14, VEL_AVG: -0.02, I: -13.93, D:  0.35, VEL_OUT: -24.53, MS_MPC: 29358.95, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.37, gy:  0.06, gz: -0.18, OX: -0.02
1746521239.2144413 N:   54, t: 25033336, dt: 19244, ENC_DEG: 49.70, REF:  0.00, VEL_RAW:  2.28, VEL_AVG:  0.17, I: -14.10, D: -0.16, VEL_OUT: -31.51, MS_MPC: 29361.65, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.18, gy:  0.43, gz:  0.61, OX:  0.03
1746521239.2204251 N:   58, t: 25115935, dt: 17125, ENC_DEG: 49.68, REF:  0.00, VEL_RAW:  2.57, VEL_AVG:  0.05, I: -14.66, D:  0.22, VEL_OUT: -27.61, MS_MPC: 29360.30, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.12, gy:  0.18, gz: -0.31, OX: -0.01
1746521239.3183038 N:   59, t: 25137108, dt: 21173, ENC_DEG: 49.64, REF:  0.00, VEL_RAW: -2.08, VEL_AVG: -0.03, I: -14.69, D:  0.01, VEL_OUT: -29.56, MS_MPC: 29357.59, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.24, gy:  0.06, gz: -0.55, OX:  0.00
