1746520299.8356998 N:   50, t: 88405267, dt: 21628, ENC_DEG: 12.28, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.07, I: -7.35, D: -0.05, VEL_OUT: -15.89, MS_MPC: 23764.76, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.49, gy: -0.58, gz: -0.43, OX: -0.02
1746520299.8410213 N:   51, t: 88424858, dt: 19591, ENC_DEG: 12.31, REF:  0.00, VEL_RAW:  1.12, VEL_AVG:  0.02, I: -7.38, D:  0.05, VEL_OUT: -14.49, MS_MPC: 23769.47, ax:  0.01, ay: -0.00, az:  1.01, gx: -0.12, gy: -0.40, gz: -0.18, OX: -0.01
1746520299.8468626 N:   52, t: 88450627, dt: 25769, ENC_DEG: 12.26, REF:  0.00, VEL_RAW: -1.71, VEL_AVG: -0.12, I: -7.50, D: -0.10, VEL_OUT: -17.17, MS_MPC: 23760.04, ax: -0.00, ay: -0.01, az:  1.01, gx: -0.31, gy: -0.03, gz: -0.06, OX: -0.01
1746520299.8529572 N:   53, t: 88468172, dt: 17545, ENC_DEG: 12.31, REF:  0.00, VEL_RAW:  2.50, VEL_AVG:  0.00, I: -7.50, D:  0.12, VEL_OUT: -13.83, MS_MPC: 23769.47, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.12, gy:  0.09, gz: -0.06, OX:  0.02
1746520299.8904188 N:   54, t: 88486413, dt: 18241, ENC_DEG: 12.35, REF:  0.00, VEL_RAW:  2.41, VEL_AVG:  0.11, I: -7.60, D: -0.10, VEL_OUT: -17.31, MS_MPC: 23778.90, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.24, gy: -0.21, gz: -0.49, OX:  0.03
1746520300.0068915 N:   55, t: 88506704, dt: 20291, ENC_DEG: 12.33, REF:  0.00, VEL_RAW: -1.08, VEL_AVG:  0.10, I: -7.71, D:  0.00, VEL_OUT: -16.42, MS_MPC: 23774.19, ax:  0.01, ay:  0.00, az:  0.99, gx: -0.18, gy: -0.09, gz: -0.55, OX:  0.02
1746520300.0128758 N:   56, t: 88525736, dt: 19032, ENC_DEG: 12.31, REF:  0.00, VEL_RAW: -1.15, VEL_AVG: -0.09, I: -7.80, D:  0.01, VEL_OUT: -16.34, MS_MPC: 23769.47, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.12, gy:  0.09, gz: -0.12, OX: -0.05
1746520300.067622  N:   57, t: 88545180, dt: 19444, ENC_DEG: 12.31, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.06, I: -7.86, D:  0.03, VEL_OUT: -16.04, MS_MPC: 23769.47, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.06, gy:  0.27, gz:  0.55, OX:  0.03
1746520300.073604  N:   58, t: 88564367, dt: 19187, ENC_DEG: 12.33, REF:  0.00, VEL_RAW:  1.15, VEL_AVG:  0.16, I: -8.01, D: -0.10, VEL_OUT: -18.54, MS_MPC: 23774.19, ax:  0.00, ay: -0.00, az:  1.01, gx:  0.00, gy:  0.34, gz:  0.98, OX:  0.02
1746520300.0795922 N:   60, t: 88604512, dt: 19182, ENC_DEG: 12.31, REF:  0.00, VEL_RAW: -3.44, VEL_AVG: -0.15, I: -8.49, D:  0.19, VEL_OUT: -16.57, MS_MPC: 23769.47, ax: -0.00, ay:  0.00, az:  1.00, gx: -0.18, gy:  0.03, gz:  0.92, OX:  0.04
