1746520895.398806  N:   34, t: 28665248, dt: 19243, ENC_DEG: 11.23, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.12, I: -5.51, D:  0.00, VEL_OUT: -12.24, MS_MPC: 23537.02, ax:  0.01, ay: -0.03, az:  1.03, gx: -2.35, gy: -1.04, gz:  1.92, OX: -0.17
1746520895.4535227 N:   35, t: 28686455, dt: 21207, ENC_DEG: 11.23, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.03, I: -5.54, D:  0.09, VEL_OUT: -10.51, MS_MPC: 23537.02, ax:  0.00, ay: -0.05, az:  1.05, gx: -4.55, gy: -1.59, gz:  1.86, OX: -0.11
1746520895.4601636 N:   38, t: 28745421, dt: 20675, ENC_DEG: 11.14, REF:  0.00, VEL_RAW: -4.25, VEL_AVG: -0.15, I: -5.90, D: -0.09, VEL_OUT: -14.14, MS_MPC: 23517.91, ax:  0.02, ay:  0.00, az:  0.98, gx: -5.52, gy: -1.40, gz:  4.55, OX:  0.18
1746520895.46665   N:   40, t: 28788323, dt: 23594, ENC_DEG: 11.12, REF:  0.00, VEL_RAW: -0.93, VEL_AVG: -0.54, I: -6.79, D: -0.18, VEL_OUT: -20.74, MS_MPC: 23513.13, ax: -0.03, ay:  0.02, az:  0.97, gx: -0.64, gy:  0.12, gz:  6.62, OX:  0.10
1746520895.4728613 N:   41, t: 28806858, dt: 18535, ENC_DEG: 11.12, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.44, I: -7.23, D:  0.10, VEL_OUT: -17.83, MS_MPC: 23513.13, ax: -0.04, ay:  0.03, az:  0.97, gx:  1.74, gy:  1.40, gz:  6.93, OX:  0.22
1746520895.478835  N:   43, t: 28845017, dt: 19111, ENC_DEG: 11.19, REF:  0.00, VEL_RAW:  3.45, VEL_AVG: -0.06, I: -7.54, D:  0.20, VEL_OUT: -13.69, MS_MPC: 23527.47, ax: -0.04, ay:  0.03, az:  0.95, gx:  6.68, gy:  1.83, gz:  6.20, OX: -0.13
1746520895.516196  N:   44, t: 28869122, dt: 24105, ENC_DEG: 11.23, REF:  0.00, VEL_RAW:  1.82, VEL_AVG: -0.00, I: -7.54, D:  0.06, VEL_OUT: -14.52, MS_MPC: 23537.02, ax: -0.04, ay:  0.01, az:  0.97, gx:  7.90, gy:  1.59, gz:  5.95, OX: -0.10
1746520895.5229988 N:   45, t: 28885438, dt: 16316, ENC_DEG: 11.25, REF:  0.00, VEL_RAW:  1.35, VEL_AVG:  0.11, I: -7.65, D: -0.11, VEL_OUT: -17.52, MS_MPC: 23541.79, ax: -0.03, ay: -0.00, az:  0.99, gx:  7.54, gy:  1.89, gz:  6.44, OX: -0.11
1746520895.5283659 N:   46, t: 28904608, dt: 19170, ENC_DEG: 11.30, REF:  0.00, VEL_RAW:  2.29, VEL_AVG:  0.30, I: -7.96, D: -0.19, VEL_OUT: -20.84, MS_MPC: 23551.34, ax: -0.02, ay: -0.02, az:  0.99, gx:  7.11, gy:  2.20, gz:  7.05, OX: -0.18
1746520895.5760276 N:   47, t: 28925711, dt: 21103, ENC_DEG: 11.32, REF:  0.00, VEL_RAW:  1.04, VEL_AVG:  0.39, I: -8.34, D: -0.09, VEL_OUT: -21.45, MS_MPC: 23556.11, ax: -0.00, ay:  0.02, az:  0.99, gx:  4.85, gy:  2.38, gz:  9.25, OX:  0.13
1746520895.5822566 N:   48, t: 28950872, dt: 25161, ENC_DEG: 11.30, REF:  0.00, VEL_RAW: -0.87, VEL_AVG:  0.22, I: -8.57, D:  0.16, VEL_OUT: -17.74, MS_MPC: 23551.34, ax: -0.01, ay:  0.04, az:  1.00, gx:  3.63, gy:  0.92, gz:  8.27, OX:  0.14
1746520895.589271  N:   49, t: 28967410, dt: 16538, ENC_DEG: 11.25, REF:  0.00, VEL_RAW: -2.66, VEL_AVG:  0.10, I: -8.67, D:  0.12, VEL_OUT: -17.16, MS_MPC: 23541.79, ax: -0.03, ay:  0.05, az:  1.00, gx:  1.74, gy: -0.92, gz:  6.50, OX:  0.01
1746520895.6380372 N:   50, t: 28986241, dt: 18831, ENC_DEG: 11.30, REF:  0.00, VEL_RAW:  2.33, VEL_AVG:  0.65, I: -9.32, D: -0.55, VEL_OUT: -30.66, MS_MPC: 23551.34, ax: -0.05, ay:  0.04, az:  1.00, gx:  0.15, gy: -1.53, gz:  4.79, OX: -0.03
