1746522374.670779  N:   29, t: 26706269, dt: 20546, ENC_DEG: 65.39, REF:  0.00, VEL_RAW:  3.21, VEL_AVG:  0.33, I: -5.51, D: -0.08, VEL_OUT: -15.08, MS_MPC: 29315.91, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.24, gy: -0.37, gz:  0.49, OX:  0.00
1746522374.7186506 N:   30, t: 26727184, dt: 20915, ENC_DEG: 65.35, REF:  0.00, VEL_RAW: -2.10, VEL_AVG:  0.46, I: -5.97, D: -0.13, VEL_OUT: -17.91, MS_MPC: 29319.57, ax: -0.01, ay: -0.00, az:  1.00, gx: -0.18, gy: -0.31, gz:  0.43, OX: -0.01
1746522374.7246354 N:   31, t: 26750764, dt: 23580, ENC_DEG: 65.37, REF:  0.00, VEL_RAW:  0.93, VEL_AVG: -0.12, I: -6.09, D:  0.34, VEL_OUT: -9.92, MS_MPC: 29317.74, ax: -0.01, ay: -0.00, az:  1.00, gx:  0.00, gy: -0.18, gz:  0.06, OX:  0.01
1746522374.7306201 N:   32, t: 26768912, dt: 18148, ENC_DEG: 65.28, REF:  0.00, VEL_RAW: -4.84, VEL_AVG: -0.36, I: -6.45, D: -0.25, VEL_OUT: -19.00, MS_MPC: 29324.99, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.00, gy: -0.18, gz: -0.24, OX: -0.03
1746522374.7376008 N:   33, t: 26786942, dt: 18030, ENC_DEG: 65.35, REF:  0.00, VEL_RAW:  3.66, VEL_AVG: -0.16, I: -6.62, D:  0.20, VEL_OUT: -12.85, MS_MPC: 29319.57, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.18, gy: -0.61, gz: -0.37, OX: -0.02
1746522374.7784908 N:   34, t: 26809902, dt: 22960, ENC_DEG: 65.30, REF:  0.00, VEL_RAW: -1.91, VEL_AVG: -0.13, I: -6.75, D:  0.03, VEL_OUT: -14.55, MS_MPC: 29323.19, ax: -0.00, ay: -0.01, az:  1.01, gx:  0.06, gy: -0.92, gz: -0.55, OX: -0.03
1746522374.7844746 N:   35, t: 26827104, dt: 17202, ENC_DEG: 65.37, REF:  0.00, VEL_RAW:  3.83, VEL_AVG:  0.09, I: -6.84, D:  0.04, VEL_OUT: -14.14, MS_MPC: 29317.74, ax: -0.00, ay: -0.00, az:  1.01, gx:  0.00, gy: -0.98, gz: -0.73, OX:  0.02
1746522374.8389752 N:   36, t: 26846871, dt: 19767, ENC_DEG: 65.37, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.18, I: -7.02, D: -0.09, VEL_OUT: -16.79, MS_MPC: 29317.74, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.06, gy: -1.04, gz: -0.73, OX:  0.00
1746522374.8449588 N:   37, t: 26865452, dt: 18581, ENC_DEG: 65.35, REF:  0.00, VEL_RAW: -1.18, VEL_AVG:  0.17, I: -7.19, D:  0.01, VEL_OUT: -15.96, MS_MPC: 29319.57, ax: -0.00, ay: -0.01, az:  0.99, gx:  0.49, gy: -0.79, gz: -0.61, OX:  0.01
1746522374.8978186 N:   38, t: 26885646, dt: 20194, ENC_DEG: 65.33, REF:  0.00, VEL_RAW: -1.09, VEL_AVG: -0.02, I: -7.21, D:  0.15, VEL_OUT: -13.03, MS_MPC: 29321.38, ax: -0.00, ay: -0.01, az:  0.99, gx:  0.73, gy: -0.43, gz: -0.37, OX: -0.02
