1746522256.291519  N:   38, t: 64775634, dt: 19303, ENC_DEG:  4.26, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.18, I: -4.92, D: -0.09, VEL_OUT: -12.53, MS_MPC: 21963.08, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.43, gy:  0.31, gz:  1.01, OX:  0.14
1746522256.2985    N:   39, t: 64798731, dt: 23097, ENC_DEG:  4.24, REF:  0.00, VEL_RAW: -0.95, VEL_AVG: -0.02, I: -4.94, D:  0.16, VEL_OUT: -8.53, MS_MPC: 21957.93, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.24, gy:  0.43, gz:  0.95, OX:  0.03
1746522256.3373957 N:   40, t: 64817522, dt: 18791, ENC_DEG:  4.26, REF:  0.00, VEL_RAW:  1.17, VEL_AVG: -0.00, I: -4.94, D:  0.02, VEL_OUT: -9.74, MS_MPC: 21963.08, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.24, gy:  0.18, gz:  0.52, OX: -0.05
1746522256.3433793 N:   41, t: 64839212, dt: 21690, ENC_DEG:  4.24, REF:  0.00, VEL_RAW: -1.01, VEL_AVG:  0.02, I: -4.96, D: -0.01, VEL_OUT: -10.19, MS_MPC: 21957.93, ax:  0.01, ay:  0.00, az:  0.99, gx:  0.06, gy:  0.24, gz:  0.15, OX: -0.04
1746522256.3493638 N:   42, t: 64856528, dt: 17316, ENC_DEG:  4.26, REF:  0.00, VEL_RAW:  1.27, VEL_AVG:  0.12, I: -5.08, D: -0.11, VEL_OUT: -12.42, MS_MPC: 21963.08, ax:  0.01, ay:  0.00, az:  0.99, gx: -0.12, gy:  0.31, gz:  0.09, OX:  0.01
1746522256.3972697 N:   43, t: 64875840, dt: 19312, ENC_DEG:  4.24, REF:  0.00, VEL_RAW: -1.14, VEL_AVG: -0.05, I: -5.13, D:  0.07, VEL_OUT: -10.08, MS_MPC: 21957.93, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.61, gy:  0.43, gz:  0.21, OX:  0.06
1746522256.403226  N:   44, t: 64896281, dt: 20441, ENC_DEG:  4.29, REF:  0.00, VEL_RAW:  2.15, VEL_AVG:  0.02, I: -5.15, D:  0.03, VEL_OUT: -10.22, MS_MPC: 21968.23, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.67, gy:  0.24, gz:  0.34, OX:  0.06
1746522256.4092045 N:   45, t: 64915648, dt: 19367, ENC_DEG:  4.20, REF:  0.00, VEL_RAW: -4.54, VEL_AVG: -0.45, I: -5.60, D: -0.43, VEL_OUT: -19.91, MS_MPC: 21947.63, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.79, gy:  0.12, gz:  0.09, OX:  0.01
1746522256.4570756 N:   46, t: 64935978, dt: 20330, ENC_DEG:  4.18, REF:  0.00, VEL_RAW: -1.08, VEL_AVG: -0.16, I: -5.76, D:  0.29, VEL_OUT: -10.25, MS_MPC: 21942.48, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.49, gy: -0.06, gz: -0.76, OX: -0.09
1746522256.5154922 N:   47, t: 64955300, dt: 19322, ENC_DEG:  4.22, REF:  0.00, VEL_RAW:  2.27, VEL_AVG:  0.03, I: -5.79, D:  0.13, VEL_OUT: -10.57, MS_MPC: 21952.78, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.49, gy: -0.37, gz: -1.01, OX: -0.12
1746522256.5214775 N:   48, t: 64974664, dt: 19364, ENC_DEG:  4.18, REF:  0.00, VEL_RAW: -2.27, VEL_AVG: -0.16, I: -5.95, D: -0.13, VEL_OUT: -14.79, MS_MPC: 21942.48, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.37, gy: -0.24, gz: -0.82, OX: -0.01
1746522256.573337  N:   49, t: 64994678, dt: 20014, ENC_DEG:  4.22, REF:  0.00, VEL_RAW:  2.20, VEL_AVG: -0.16, I: -6.11, D: -0.00, VEL_OUT: -13.85, MS_MPC: 21952.78, ax:  0.01, ay:  0.00, az:  0.99, gx: -0.06, gy:  0.00, gz: -0.40, OX:  0.12
1746522256.579321  N:   50, t: 65017170, dt: 22492, ENC_DEG:  4.22, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.16, I: -6.27, D:  0.00, VEL_OUT: -14.15, MS_MPC: 21952.78, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.18, gy: -0.24, gz: -0.52, OX:  0.01
1746522256.5853066 N:   51, t: 65036474, dt: 19304, ENC_DEG:  4.33, REF:  0.00, VEL_RAW:  5.69, VEL_AVG:  0.39, I: -6.66, D: -0.23, VEL_OUT: -19.56, MS_MPC: 21978.52, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.37, gy: -0.61, gz: -0.46, OX: -0.05
1746522256.5912893 N:   52, t: 65056930, dt: 20456, ENC_DEG:  4.29, REF:  0.00, VEL_RAW: -2.15, VEL_AVG:  0.12, I: -6.78, D:  0.28, VEL_OUT: -11.95, MS_MPC: 21968.23, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.37, gy: -0.24, gz: -0.34, OX: -0.04
1746522256.5972872 N:   54, t: 65095530, dt: 19235, ENC_DEG:  4.26, REF:  0.00, VEL_RAW:  2.28, VEL_AVG:  0.00, I: -6.86, D:  0.08, VEL_OUT: -12.92, MS_MPC: 21963.08, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.24, gy: -0.06, gz: -0.21, OX:  0.08
1746522256.6032634 N:   55, t: 65116009, dt: 20479, ENC_DEG:  4.22, REF:  0.00, VEL_RAW: -2.15, VEL_AVG: -0.08, I: -6.95, D: -0.08, VEL_OUT: -15.53, MS_MPC: 21952.78, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.31, gy: -0.49, gz: -0.52, OX: -0.01
1746522256.637173  N:   56, t: 65136076, dt: 20067, ENC_DEG:  4.24, REF:  0.00, VEL_RAW:  1.09, VEL_AVG: -0.17, I: -7.12, D: -0.09, VEL_OUT: -16.82, MS_MPC: 21957.93, ax:  0.01, ay: -0.00, az:  1.01, gx: -0.24, gy: -0.24, gz: -0.76, OX: -0.08
1746522256.7570965 N:   57, t: 65158495, dt: 22419, ENC_DEG:  4.18, REF:  0.00, VEL_RAW: -2.94, VEL_AVG: -0.04, I: -7.15, D:  0.13, VEL_OUT: -13.35, MS_MPC: 21942.48, ax:  0.01, ay: -0.00, az:  1.01, gx: -0.43, gy:  0.18, gz: -0.09, OX:  0.02
1746522256.764078  N:   58, t: 65175923, dt: 17428, ENC_DEG:  4.24, REF:  0.00, VEL_RAW:  3.78, VEL_AVG:  0.37, I: -7.52, D: -0.33, VEL_OUT: -22.03, MS_MPC: 21957.93, ax:  0.01, ay:  0.00, az:  0.97, gx: -0.49, gy:  0.12, gz:  0.21, OX:  0.00
1746522256.7700624 N:   59, t: 65195299, dt: 19376, ENC_DEG:  4.24, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.18, I: -7.70, D:  0.19, VEL_OUT: -15.29, MS_MPC: 21957.93, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.55, gy:  0.55, gz:  0.15, OX: -0.00
1746522256.8139472 N:   60, t: 65215635, dt: 20336, ENC_DEG:  4.24, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.37, I: -8.07, D: -0.19, VEL_OUT: -21.70, MS_MPC: 21957.93, ax: -0.00, ay: -0.00, az:  1.01, gx: -0.55, gy:  0.37, gz:  0.09, OX: -0.04
