1746013246.0168087 N:   42, t: 26473178, dt: 20919, ENC_DEG: 76.18, REF:  0.00, VEL_RAW:  1.05, VEL_AVG:  0.20, I: -8.68, D: -0.09, VEL_OUT: -20.27, MS_MPC: 27504.69, ax:  0.01, ay: -0.02, az:  1.00, gx:  0.06, gy: -0.12, gz:  1.04, OX:  0.01
1746013246.022819  N:   43, t: 26491495, dt: 18317, ENC_DEG: 76.09, REF:  0.00, VEL_RAW: -4.80, VEL_AVG: -0.29, I: -8.97, D: -0.08, VEL_OUT: -21.64, MS_MPC: 27528.34, ax:  0.00, ay: -0.02, az:  1.00, gx:  0.12, gy:  0.12, gz:  0.67, OX: -0.01
1746013246.0758593 N:   44, t: 26512519, dt: 21024, ENC_DEG: 76.14, REF:  0.00, VEL_RAW:  2.09, VEL_AVG: -0.11, I: -9.08, D:  0.17, VEL_OUT: -17.55, MS_MPC: 27516.54, ax:  0.00, ay: -0.02, az:  1.00, gx:  0.49, gy: -0.06, gz:  0.18, OX: -0.06
1746013246.082847  N:   45, t: 26533249, dt: 20730, ENC_DEG: 76.16, REF:  0.00, VEL_RAW:  1.06, VEL_AVG: -0.11, I: -9.19, D:  0.00, VEL_OUT: -19.44, MS_MPC: 27510.62, ax:  0.00, ay: -0.03, az:  1.00, gx:  0.37, gy: -0.18, gz:  0.18, OX: -0.07
1746013246.0888286 N:   46, t: 26551404, dt: 18155, ENC_DEG: 76.18, REF:  0.00, VEL_RAW:  1.21, VEL_AVG:  0.28, I: -9.47, D: -0.17, VEL_OUT: -23.36, MS_MPC: 27504.69, ax:  0.00, ay: -0.03, az:  1.00, gx:  0.12, gy: -0.31, gz:  0.31, OX: -0.00
1746013246.0997481 N:   47, t: 26576273, dt: 24869, ENC_DEG: 76.16, REF:  0.00, VEL_RAW: -0.88, VEL_AVG: -0.10, I: -9.57, D:  0.18, VEL_OUT: -18.36, MS_MPC: 27510.62, ax:  0.00, ay: -0.02, az:  1.00, gx:  0.00, gy: -0.24, gz:  0.73, OX:  0.05
1746013246.1376464 N:   48, t: 26592170, dt: 15897, ENC_DEG: 76.16, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.44, I: -10.00, D: -0.34, VEL_OUT: -27.74, MS_MPC: 27510.62, ax:  0.00, ay: -0.02, az:  1.00, gx: -0.37, gy:  0.12, gz:  0.67, OX:  0.01
1746013246.1436286 N:   49, t: 26611400, dt: 19230, ENC_DEG: 76.16, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.06, I: -10.06, D:  0.38, VEL_OUT: -16.85, MS_MPC: 27510.62, ax:  0.01, ay: -0.02, az:  1.00, gx: -0.37, gy: -0.12, gz:  0.37, OX: -0.00
1746013246.1964922 N:   50, t: 26630859, dt: 19459, ENC_DEG: 76.14, REF:  0.00, VEL_RAW: -1.13, VEL_AVG: -0.12, I: -10.18, D: -0.07, VEL_OUT: -22.24, MS_MPC: 27516.54, ax:  0.00, ay: -0.02, az:  1.00, gx: -0.43, gy: -0.12, gz:  0.31, OX:  0.00
1746013246.2024715 N:   51, t: 26653663, dt: 22804, ENC_DEG: 76.09, REF:  0.00, VEL_RAW: -1.93, VEL_AVG:  0.32, I: -10.50, D: -0.20, VEL_OUT: -26.29, MS_MPC: 27528.34, ax:  0.00, ay: -0.02, az:  1.00, gx: -0.24, gy: -0.24, gz: -0.37, OX: -0.02
