1746013326.0037236 N:   37, t: 25136356, dt: 18950, ENC_DEG: 77.81, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.13, I: -9.63, D:  0.36, VEL_OUT: -16.92, MS_MPC: 27034.38, ax:  0.02, ay: -0.00, az:  1.00, gx: -0.37, gy: -0.49, gz:  1.25, OX: -0.02
1746013326.0087543 N:   38, t: 25155863, dt: 19507, ENC_DEG: 77.78, REF:  0.00, VEL_RAW: -1.13, VEL_AVG: -0.04, I: -9.67, D:  0.09, VEL_OUT: -18.90, MS_MPC: 27041.16, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.37, gy: -0.49, gz:  1.37, OX:  0.01
1746013326.0146985 N:   40, t: 25197400, dt: 21278, ENC_DEG: 77.78, REF:  0.00, VEL_RAW: -3.10, VEL_AVG: -0.26, I: -9.93, D: -0.26, VEL_OUT: -24.99, MS_MPC: 27041.16, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.12, gy: -0.24, gz:  1.43, OX:  0.06
1746013326.0196793 N:   43, t: 25256524, dt: 19297, ENC_DEG: 77.89, REF:  0.00, VEL_RAW:  4.55, VEL_AVG:  0.47, I: -10.50, D: -0.46, VEL_OUT: -30.25, MS_MPC: 27007.13, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.18, gy: -0.24, gz:  0.70, OX: -0.07
1746013326.0268178 N:   44, t: 25278151, dt: 21627, ENC_DEG: 77.85, REF:  0.00, VEL_RAW: -2.03, VEL_AVG:  0.13, I: -10.63, D:  0.34, VEL_OUT: -19.19, MS_MPC: 27020.77, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.31, gy:  0.00, gz:  0.64, OX: -0.03
1746013326.0578372 N:   45, t: 25296139, dt: 17988, ENC_DEG: 77.78, REF:  0.00, VEL_RAW: -3.66, VEL_AVG:  0.02, I: -10.65, D:  0.11, VEL_OUT: -20.34, MS_MPC: 27041.16, ax:  0.01, ay: -0.00, az:  1.01, gx:  0.43, gy:  0.12, gz:  0.82, OX: -0.01
1746013326.1181183 N:   46, t: 25317144, dt: 21005, ENC_DEG: 77.85, REF:  0.00, VEL_RAW:  3.14, VEL_AVG:  0.19, I: -10.84, D: -0.17, VEL_OUT: -25.26, MS_MPC: 27020.77, ax:  0.00, ay: -0.01, az:  1.01, gx:  0.24, gy:  0.55, gz:  0.82, OX: -0.06
1746013326.1239896 N:   47, t: 25335913, dt: 18769, ENC_DEG: 77.81, REF:  0.00, VEL_RAW: -2.34, VEL_AVG: -0.10, I: -10.94, D:  0.08, VEL_OUT: -22.10, MS_MPC: 27034.38, ax:  0.00, ay: -0.01, az:  1.01, gx:  0.24, gy:  1.10, gz:  1.07, OX:  0.00
1746013326.130185  N:   48, t: 25356243, dt: 20330, ENC_DEG: 77.78, REF:  0.00, VEL_RAW: -1.08, VEL_AVG: -0.11, I: -11.05, D: -0.00, VEL_OUT: -23.24, MS_MPC: 27041.16, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.18, gy:  1.40, gz:  1.25, OX:  0.02
1746013326.1361678 N:   49, t: 25377321, dt: 21078, ENC_DEG: 77.78, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.11, I: -11.16, D:  0.00, VEL_OUT: -23.42, MS_MPC: 27041.16, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.31, gy:  1.22, gz:  0.52, OX:  0.06
1746013326.1421716 N:   50, t: 25395899, dt: 18578, ENC_DEG: 77.87, REF:  0.00, VEL_RAW:  4.73, VEL_AVG:  0.38, I: -11.54, D: -0.27, VEL_OUT: -29.56, MS_MPC: 27013.95, ax:  0.02, ay:  0.00, az:  0.99, gx:  0.31, gy:  0.73, gz:  0.03, OX:  0.01
1746013326.177618  N:   51, t: 25417470, dt: 21571, ENC_DEG: 77.83, REF:  0.00, VEL_RAW: -2.04, VEL_AVG: -0.06, I: -11.60, D:  0.32, VEL_OUT: -20.67, MS_MPC: 27027.58, ax:  0.02, ay: -0.00, az:  0.99, gx:  0.61, gy:  0.12, gz: -1.01, OX: -0.04
1746013326.1836195 N:   52, t: 25437659, dt: 20189, ENC_DEG: 77.83, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.20, I: -11.80, D: -0.13, VEL_OUT: -26.89, MS_MPC: 27027.58, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.85, gy: -0.06, gz: -1.31, OX: -0.03
1746013326.2368338 N:   53, t: 25456828, dt: 19169, ENC_DEG: 77.78, REF:  0.00, VEL_RAW: -2.29, VEL_AVG:  0.00, I: -11.80, D:  0.19, VEL_OUT: -21.74, MS_MPC: 27041.16, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.73, gy:  0.31, gz: -1.43, OX: -0.01
1746013326.2432    N:   54, t: 25477150, dt: 20322, ENC_DEG: 77.85, REF:  0.00, VEL_RAW:  3.24, VEL_AVG:  0.18, I: -11.99, D: -0.18, VEL_OUT: -27.62, MS_MPC: 27020.77, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.67, gy:  0.43, gz: -1.13, OX: -0.00
1746013326.2491872 N:   55, t: 25497226, dt: 20076, ENC_DEG: 77.83, REF:  0.00, VEL_RAW: -1.09, VEL_AVG: -0.29, I: -12.27, D: -0.10, VEL_OUT: -28.42, MS_MPC: 27027.58, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.55, gy:  0.24, gz: -0.46, OX:  0.01
1746013326.2979777 N:   56, t: 25516715, dt: 19489, ENC_DEG: 77.78, REF:  0.00, VEL_RAW: -2.25, VEL_AVG: -0.30, I: -12.58, D: -0.02, VEL_OUT: -28.39, MS_MPC: 27041.16, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.43, gy:  0.00, gz: -0.21, OX:  0.04
1746013326.3039558 N:   57, t: 25536045, dt: 19330, ENC_DEG: 77.81, REF:  0.00, VEL_RAW:  1.14, VEL_AVG:  0.10, I: -12.67, D:  0.21, VEL_OUT: -24.21, MS_MPC: 27034.38, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.31, gy: -0.06, gz:  0.09, OX:  0.03
1746013326.3099902 N:   58, t: 25556305, dt: 20260, ENC_DEG: 77.81, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.17, I: -12.84, D: -0.07, VEL_OUT: -28.04, MS_MPC: 27034.38, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.18, gy:  0.31, gz:  0.58, OX:  0.04
1746013326.4764042 N:   59, t: 25576298, dt: 19993, ENC_DEG: 77.83, REF:  0.00, VEL_RAW:  1.10, VEL_AVG:  0.12, I: -12.96, D:  0.05, VEL_OUT: -26.68, MS_MPC: 27027.58, ax:  0.02, ay: -0.00, az:  1.00, gx:  0.18, gy:  0.18, gz:  0.46, OX: -0.00
1746013326.4823885 N:   60, t: 25597491, dt: 21193, ENC_DEG: 77.83, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.21, I: -13.17, D: -0.09, VEL_OUT: -29.35, MS_MPC: 27027.58, ax:  0.02, ay: -0.00, az:  1.00, gx: -0.12, gy:  0.12, gz:  0.52, OX: -0.00
1746013326.488373  N:   61, t: 25617646, dt: 20155, ENC_DEG: 77.74, REF:  0.00, VEL_RAW: -4.36, VEL_AVG: -0.15, I: -13.32, D:  0.06, VEL_OUT: -27.59, MS_MPC: 27054.69, ax:  0.02, ay: -0.00, az:  1.00, gx:  0.06, gy:  0.18, gz:  0.09, OX:  0.01
1746013326.5344336 N:   62, t: 25637114, dt: 19468, ENC_DEG: 77.76, REF:  0.00, VEL_RAW:  1.13, VEL_AVG: -0.45, I: -13.78, D: -0.30, VEL_OUT: -35.08, MS_MPC: 27047.93, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.12, gy:  0.06, gz: -0.03, OX: -0.03
1746013326.540939  N:   66, t: 25716126, dt: 19245, ENC_DEG: 77.83, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.09, I: -14.14, D:  0.10, VEL_OUT: -28.19, MS_MPC: 27027.58, ax:  0.02, ay: -0.00, az:  1.00, gx: -0.24, gy:  0.18, gz:  0.46, OX:  0.05
1746013326.5467277 N:   67, t: 25759357, dt: 43231, ENC_DEG: 77.85, REF:  0.00, VEL_RAW:  0.51, VEL_AVG:  0.05, I: -14.19, D:  0.04, VEL_OUT: -28.44, MS_MPC: 27020.77, ax:  0.02, ay: -0.01, az:  1.00, gx: -0.31, gy:  0.31, gz:  0.09, OX: -0.05
