1746012559.321155  N:   29, t: 54741528, dt: 18095, ENC_DEG: 36.94, REF:  0.00, VEL_RAW:  1.21, VEL_AVG:  0.28, I: -6.19, D: -0.17, VEL_OUT: -16.88, MS_MPC: 28107.84, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.31, gy: -0.18, gz:  0.06, OX: -0.01
1746012559.3690274 N:   30, t: 54765740, dt: 24212, ENC_DEG: 36.94, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.22, I: -6.41, D:  0.06, VEL_OUT: -14.48, MS_MPC: 28107.84, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.24, gy: -0.24, gz:  0.37, OX:  0.02
1746012559.374014  N:   31, t: 54782832, dt: 17092, ENC_DEG: 36.94, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.10, I: -6.50, D:  0.13, VEL_OUT: -12.70, MS_MPC: 28107.84, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.18, gy:  0.00, gz:  0.43, OX:  0.01
1746012559.4268718 N:   32, t: 54800683, dt: 17851, ENC_DEG: 36.92, REF:  0.00, VEL_RAW: -1.23, VEL_AVG:  0.17, I: -6.68, D: -0.08, VEL_OUT: -15.90, MS_MPC: 28104.97, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.24, gy:  0.00, gz:  0.49, OX:  0.02
1746012559.4328582 N:   33, t: 54824455, dt: 23772, ENC_DEG: 36.92, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.09, I: -6.77, D:  0.08, VEL_OUT: -13.61, MS_MPC: 28104.97, ax:  0.00, ay:  0.00, az:  1.01, gx:  0.06, gy: -0.18, gz:  0.18, OX: -0.01
1746012559.43884   N:   34, t: 54842492, dt: 18037, ENC_DEG: 36.94, REF:  0.00, VEL_RAW:  1.22, VEL_AVG:  0.19, I: -6.96, D: -0.10, VEL_OUT: -16.87, MS_MPC: 28107.84, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.06, gy: -0.06, gz:  0.18, OX:  0.03
1746012559.4836185 N:   35, t: 54861192, dt: 18700, ENC_DEG: 36.92, REF:  0.00, VEL_RAW: -1.17, VEL_AVG:  0.09, I: -7.06, D:  0.10, VEL_OUT: -14.08, MS_MPC: 28104.97, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.18, gy: -0.24, gz: -0.00, OX: -0.02
1746012559.4896028 N:   36, t: 54882098, dt: 20906, ENC_DEG: 36.92, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.02, I: -7.08, D:  0.07, VEL_OUT: -13.63, MS_MPC: 28104.97, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.37, gy:  0.00, gz:  0.67, OX:  0.00
1746012559.4973757 N:   37, t: 54901202, dt: 19104, ENC_DEG: 36.92, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.45, I: -7.53, D: -0.43, VEL_OUT: -23.88, MS_MPC: 28104.97, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.37, gy:  0.06, gz:  0.55, OX:  0.00
1746012559.5023646 N:   38, t: 54921514, dt: 20312, ENC_DEG: 36.94, REF:  0.00, VEL_RAW:  1.08, VEL_AVG: -0.19, I: -7.72, D:  0.27, VEL_OUT: -14.64, MS_MPC: 28107.84, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.37, gy: -0.18, gz:  0.49, OX:  0.02
1746012559.5475793 N:   39, t: 54941336, dt: 19822, ENC_DEG: 36.89, REF:  0.00, VEL_RAW: -2.22, VEL_AVG: -0.17, I: -7.89, D:  0.01, VEL_OUT: -17.38, MS_MPC: 28102.11, ax: -0.00, ay:  0.00, az:  1.00, gx: -0.12, gy:  0.06, gz:  0.85, OX:  0.02
1746012559.552601  N:   40, t: 54961075, dt: 19739, ENC_DEG: 36.94, REF:  0.00, VEL_RAW:  2.23, VEL_AVG:  0.09, I: -7.98, D:  0.08, VEL_OUT: -16.10, MS_MPC: 28107.84, ax: -0.00, ay:  0.01, az:  1.00, gx: -0.06, gy:  0.31, gz:  0.79, OX:  0.02
1746012559.5595994 N:   41, t: 54981496, dt: 20421, ENC_DEG: 36.92, REF:  0.00, VEL_RAW: -1.08, VEL_AVG: -0.10, I: -8.08, D: -0.00, VEL_OUT: -17.18, MS_MPC: 28104.97, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.00, gy:  0.12, gz:  0.43, OX:  0.00
1746012559.6080513 N:   42, t: 55001895, dt: 20399, ENC_DEG: 36.87, REF:  0.00, VEL_RAW: -2.15, VEL_AVG: -0.28, I: -8.36, D: -0.18, VEL_OUT: -21.28, MS_MPC: 28099.23, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.31, gy:  0.00, gz:  0.31, OX: -0.06
1746012559.6147366 N:   43, t: 55027445, dt: 25550, ENC_DEG: 36.94, REF:  0.00, VEL_RAW:  2.58, VEL_AVG: -0.06, I: -8.42, D:  0.22, VEL_OUT: -15.31, MS_MPC: 28107.84, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.49, gy:  0.00, gz:  0.06, OX: -0.01
1746012559.6207476 N:   44, t: 55042495, dt: 15050, ENC_DEG: 36.94, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.04, I: -8.46, D:  0.02, VEL_OUT: -17.11, MS_MPC: 28107.84, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.49, gy:  0.12, gz:  0.37, OX:  0.01
1746012559.6682558 N:   45, t: 55061756, dt: 19261, ENC_DEG: 36.89, REF:  0.00, VEL_RAW: -2.28, VEL_AVG: -0.15, I: -8.61, D: -0.11, VEL_OUT: -19.80, MS_MPC: 28102.11, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.43, gy:  0.12, gz:  0.12, OX: -0.01
1746012559.6746707 N:   46, t: 55081192, dt: 19436, ENC_DEG: 36.92, REF:  0.00, VEL_RAW:  1.13, VEL_AVG: -0.16, I: -8.77, D: -0.01, VEL_OUT: -19.17, MS_MPC: 28104.97, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.18, gy: -0.12, gz:  0.24, OX: -0.02
1746012559.723607  N:   47, t: 55102243, dt: 21051, ENC_DEG: 36.92, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.06, I: -8.82, D:  0.10, VEL_OUT: -17.26, MS_MPC: 28104.97, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.06, gy: -0.31, gz:  0.18, OX:  0.00
1746012559.7286093 N:   48, t: 55123310, dt: 21067, ENC_DEG: 36.94, REF:  0.00, VEL_RAW:  1.04, VEL_AVG:  0.03, I: -8.85, D:  0.03, VEL_OUT: -17.69, MS_MPC: 28107.84, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.06, gy: -0.31, gz: -0.00, OX:  0.02
1746012559.7345607 N:   49, t: 55144450, dt: 21140, ENC_DEG: 36.89, REF:  0.00, VEL_RAW: -2.08, VEL_AVG: -0.14, I: -9.00, D: -0.12, VEL_OUT: -20.61, MS_MPC: 28102.11, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.06, gy: -0.55, gz: -0.18, OX: -0.03
1746012559.7407215 N:   50, t: 55161276, dt: 16826, ENC_DEG: 36.89, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.24, I: -9.23, D: -0.09, VEL_OUT: -21.72, MS_MPC: 28102.11, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.06, gy: -0.55, gz: -0.43, OX: -0.02
1746012559.788062  N:   51, t: 55180764, dt: 19488, ENC_DEG: 36.94, REF:  0.00, VEL_RAW:  2.26, VEL_AVG:  0.14, I: -9.37, D:  0.10, VEL_OUT: -19.14, MS_MPC: 28107.84, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.06, gy: -0.49, gz: -0.43, OX:  0.02
1746012559.7952874 N:   52, t: 55201243, dt: 20479, ENC_DEG: 37.00, REF:  0.00, VEL_RAW:  3.22, VEL_AVG:  0.22, I: -9.59, D: -0.08, VEL_OUT: -22.21, MS_MPC: 28116.43, ax: -0.00, ay:  0.00, az:  1.01, gx:  0.24, gy: -0.79, gz: -0.67, OX: -0.01
1746012559.8010454 N:   53, t: 55222625, dt: 21382, ENC_DEG: 36.89, REF:  0.00, VEL_RAW: -5.14, VEL_AVG: -0.12, I: -9.71, D:  0.10, VEL_OUT: -19.58, MS_MPC: 28102.11, ax: -0.00, ay: -0.00, az:  1.01, gx:  0.24, gy: -0.61, gz: -1.04, OX: -0.01
1746012559.8493416 N:   54, t: 55241760, dt: 19135, ENC_DEG: 36.92, REF:  0.00, VEL_RAW:  1.15, VEL_AVG:  0.16, I: -9.87, D: -0.04, VEL_OUT: -21.69, MS_MPC: 28104.97, ax: -0.00, ay: -0.00, az:  1.01, gx:  0.24, gy: -0.73, gz: -0.73, OX: -0.02
1746012559.8543181 N:   55, t: 55262242, dt: 20482, ENC_DEG: 36.96, REF:  0.00, VEL_RAW:  2.15, VEL_AVG:  0.12, I: -9.99, D:  0.04, VEL_OUT: -20.82, MS_MPC: 28110.71, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.31, gy: -0.43, gz: -0.43, OX:  0.02
1746012559.8613014 N:   56, t: 55287185, dt: 24943, ENC_DEG: 36.94, REF:  0.00, VEL_RAW: -0.88, VEL_AVG:  0.05, I: -10.03, D:  0.07, VEL_OUT: -19.81, MS_MPC: 28107.84, ax:  0.00, ay: -0.00, az:  0.99, gx:  0.49, gy: -0.06, gz: -0.12, OX:  0.03
1746012559.9082768 N:   57, t: 55306110, dt: 18925, ENC_DEG: 36.96, REF:  0.00, VEL_RAW:  1.16, VEL_AVG:  0.33, I: -10.37, D: -0.29, VEL_OUT: -26.94, MS_MPC: 28110.71, ax:  0.00, ay:  0.00, az:  0.99, gx:  0.73, gy: -0.12, gz: -0.43, OX:  0.06
1746012559.9141216 N:   58, t: 55322251, dt: 16141, ENC_DEG: 36.94, REF:  0.00, VEL_RAW: -1.36, VEL_AVG:  0.13, I: -10.49, D:  0.21, VEL_OUT: -20.17, MS_MPC: 28107.84, ax:  0.00, ay:  0.00, az:  0.99, gx:  0.85, gy: -0.31, gz: -0.67, OX:  0.00
1746012559.966867  N:   59, t: 55347625, dt: 25374, ENC_DEG: 36.98, REF:  0.00, VEL_RAW:  1.73, VEL_AVG:  0.27, I: -10.76, D: -0.14, VEL_OUT: -25.68, MS_MPC: 28113.57, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.98, gy: -0.31, gz: -0.85, OX: -0.06
1746012559.972766  N:   60, t: 55362013, dt: 14388, ENC_DEG: 36.92, REF:  0.00, VEL_RAW: -4.58, VEL_AVG: -0.20, I: -10.96, D:  0.07, VEL_OUT: -23.18, MS_MPC: 28104.97, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.85, gy: -0.37, gz: -0.49, OX: -0.02
1746012559.9795766 N:   61, t: 55381515, dt: 19502, ENC_DEG: 36.87, REF:  0.00, VEL_RAW: -2.25, VEL_AVG: -0.21, I: -11.18, D: -0.01, VEL_OUT: -24.62, MS_MPC: 28099.23, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.73, gy: -0.37, gz: -0.24, OX: -0.00
1746012559.984614  N:   62, t: 55400622, dt: 19107, ENC_DEG: 36.94, REF:  0.00, VEL_RAW:  3.45, VEL_AVG:  0.07, I: -11.25, D:  0.14, VEL_OUT: -21.87, MS_MPC: 28107.84, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.61, gy: -0.24, gz: -0.18, OX:  0.01
1746012559.9916003 N:   63, t: 55421431, dt: 20809, ENC_DEG: 36.87, REF:  0.00, VEL_RAW: -3.17, VEL_AVG: -0.38, I: -11.63, D: -0.30, VEL_OUT: -30.05, MS_MPC: 28099.23, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.43, gy: -0.61, gz:  0.12, OX:  0.03
1746012560.0279357 N:   64, t: 55443531, dt: 22100, ENC_DEG: 36.94, REF:  0.00, VEL_RAW:  2.98, VEL_AVG: -0.40, I: -12.02, D: -0.02, VEL_OUT: -28.22, MS_MPC: 28107.84, ax: -0.00, ay:  0.01, az:  1.00, gx:  0.12, gy: -0.37, gz: -0.24, OX: -0.00
1746012560.0827942 N:   65, t: 55462443, dt: 18912, ENC_DEG: 36.94, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.03, I: -12.06, D:  0.37, VEL_OUT: -20.76, MS_MPC: 28107.84, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.12, gy: -0.73, gz: -0.67, OX: -0.01
1746012560.0888267 N:   66, t: 55481797, dt: 19354, ENC_DEG: 36.92, REF:  0.00, VEL_RAW: -1.14, VEL_AVG: -0.16, I: -12.21, D: -0.13, VEL_OUT: -27.30, MS_MPC: 28104.97, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.06, gy: -0.85, gz: -1.04, OX: -0.01
1746012560.0957563 N:   67, t: 55500999, dt: 19202, ENC_DEG: 36.85, REF:  0.00, VEL_RAW: -3.43, VEL_AVG: -0.62, I: -12.84, D: -0.47, VEL_OUT: -36.57, MS_MPC: 28096.36, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.18, gy: -0.79, gz: -1.22, OX: -0.03
1746012560.1017363 N:   68, t: 55521252, dt: 20253, ENC_DEG: 36.94, REF:  0.00, VEL_RAW:  4.34, VEL_AVG: -0.19, I: -13.03, D:  0.44, VEL_OUT: -23.60, MS_MPC: 28107.84, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.12, gy: -0.67, gz: -0.79, OX:  0.02
1746012560.1488981 N:   69, t: 55545967, dt: 24715, ENC_DEG: 36.92, REF:  0.00, VEL_RAW: -0.89, VEL_AVG: -0.36, I: -13.39, D: -0.17, VEL_OUT: -32.09, MS_MPC: 28104.97, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.24, gy: -0.73, gz: -0.85, OX: -0.05
1746012560.2056465 N:   70, t: 55562244, dt: 16277, ENC_DEG: 36.94, REF:  0.00, VEL_RAW:  1.35, VEL_AVG: -0.13, I: -13.52, D:  0.23, VEL_OUT: -26.13, MS_MPC: 28107.84, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.24, gy: -0.61, gz: -0.73, OX: -0.01
1746012560.2123158 N:   71, t: 55581516, dt: 19272, ENC_DEG: 36.85, REF:  0.00, VEL_RAW: -4.56, VEL_AVG: -0.66, I: -14.18, D: -0.52, VEL_OUT: -40.19, MS_MPC: 28096.36, ax: -0.00, ay: -0.01, az:  1.00, gx:  0.37, gy: -0.61, gz: -0.37, OX:  0.01
