1746536893.387591  N:  102, t: 30263111, dt: 19168, ENC_DEG:  3.89, REF:  0.00, VEL_RAW:  2.29, VEL_AVG: -0.18, I: -17.81, D:  0.19, VEL_OUT: -35.49, MS_MPC: 21875.41, ax:  0.02, ay: -0.01, az:  1.00, gx: -0.18, gy: -0.06, gz:  0.98, OX:  0.04
1746536893.3935761 N:  106, t: 30344265, dt: 16204, ENC_DEG:  3.80, REF:  0.00, VEL_RAW:  1.36, VEL_AVG: -0.44, I: -19.97, D:  0.24, VEL_OUT: -41.87, MS_MPC: 21854.73, ax:  0.00, ay:  0.01, az:  0.99, gx:  0.06, gy: -0.31, gz:  0.24, OX: -0.00
1746536893.3995597 N:  108, t: 30464851, dt: 21524, ENC_DEG:  3.87, REF:  0.00, VEL_RAW:  1.02, VEL_AVG: -0.41, I: -20.61, D: -0.19, VEL_OUT: -47.23, MS_MPC: 21870.24, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.24, gy: -0.55, gz: -0.67, OX:  0.02
1746536893.4467947 N:  110, t: 30644251, dt: 21329, ENC_DEG:  3.85, REF:  0.00, VEL_RAW: -1.03, VEL_AVG: -0.11, I: -20.97, D:  0.14, VEL_OUT: -41.66, MS_MPC: 21865.07, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.43, gy:  0.06, gz:  0.31, OX:  0.01
1746536893.4532342 N:  112, t: 30764387, dt: 18182, ENC_DEG:  3.78, REF:  0.00, VEL_RAW: -4.83, VEL_AVG: -0.49, I: -21.65, D: -0.31, VEL_OUT: -51.30, MS_MPC: 21849.56, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.18, gy:  0.31, gz: -0.12, OX:  0.32
1746536893.5669775 N:  113, t: 30803806, dt: 39419, ENC_DEG:  3.80, REF:  0.00, VEL_RAW:  0.56, VEL_AVG: -0.45, I: -22.10, D:  0.05, VEL_OUT: -48.19, MS_MPC: 21854.73, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.12, gy:  0.24, gz:  0.06, OX:  0.01
1746536893.692738  N:  114, t: 30823193, dt: 19387, ENC_DEG:  3.85, REF:  0.00, VEL_RAW:  2.27, VEL_AVG: -0.45, I: -22.54, D: -0.00, VEL_OUT: -49.59, MS_MPC: 21865.07, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.12, gy:  0.18, gz: -0.06, OX:  0.01
1746536893.7502377 N:  115, t: 30847513, dt: 24320, ENC_DEG:  3.82, REF:  0.00, VEL_RAW: -0.90, VEL_AVG: -0.05, I: -22.60, D:  0.40, VEL_OUT: -41.75, MS_MPC: 21859.90, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.31, gy:  0.43, gz:  0.06, OX:  0.02
1746536893.7569673 N:  116, t: 30864119, dt: 16606, ENC_DEG:  3.87, REF:  0.00, VEL_RAW:  2.65, VEL_AVG: -0.01, I: -22.60, D:  0.05, VEL_OUT: -44.78, MS_MPC: 21870.24, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.31, gy:  0.18, gz: -0.37, OX: -0.04
1746536893.868483  N:  121, t: 30967046, dt: 23533, ENC_DEG:  3.85, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.17, I: -23.10, D:  0.00, VEL_OUT: -47.88, MS_MPC: 21865.07, ax:  0.01, ay:  0.00, az:  0.99, gx: -0.61, gy:  0.06, gz:  0.43, OX: -0.02
