1746536793.1449568 N:   42, t: 30557839, dt: 16324, ENC_DEG:  5.87, REF:  0.00, VEL_RAW: -2.69, VEL_AVG: -0.01, I: -7.28, D:  0.29, VEL_OUT: -11.77, MS_MPC: 22335.89, ax:  0.01, ay: -0.02, az:  1.01, gx: -0.43, gy:  0.55, gz:  0.49, OX: -0.00
1746536793.1517875 N:   46, t: 30636814, dt: 21363, ENC_DEG:  5.89, REF:  0.00, VEL_RAW:  2.06, VEL_AVG: -0.12, I: -7.76, D:  0.06, VEL_OUT: -16.12, MS_MPC: 22340.96, ax: -0.01, ay:  0.00, az:  0.99, gx: -0.61, gy:  0.31, gz:  0.12, OX:  0.02
1746536793.1908014 N:   47, t: 30695825, dt: 59011, ENC_DEG:  5.91, REF:  0.00, VEL_RAW:  0.37, VEL_AVG:  0.08, I: -7.84, D:  0.04, VEL_OUT: -16.01, MS_MPC: 22346.02, ax: -0.01, ay: -0.01, az:  1.00, gx:  0.67, gy: -0.31, gz:  0.12, OX:  0.04
1746536793.1970778 N:   48, t: 30715533, dt: 19708, ENC_DEG:  5.89, REF:  0.00, VEL_RAW: -1.11, VEL_AVG: -0.12, I: -7.95, D: -0.04, VEL_OUT: -17.53, MS_MPC: 22340.96, ax: -0.00, ay: -0.00, az:  0.99, gx:  0.67, gy: -0.24, gz:  0.12, OX:  0.06
1746536793.2025983 N:   49, t: 30739449, dt: 23916, ENC_DEG:  5.87, REF:  0.00, VEL_RAW: -0.92, VEL_AVG: -0.27, I: -8.23, D: -0.16, VEL_OUT: -20.76, MS_MPC: 22335.89, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.92, gy: -0.73, gz: -1.10, OX: -0.06
1746536793.3062596 N:   50, t: 30760313, dt: 20864, ENC_DEG:  5.87, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.17, I: -8.40, D:  0.11, VEL_OUT: -17.38, MS_MPC: 22335.89, ax:  0.00, ay: -0.02, az:  1.01, gx:  0.49, gy: -0.85, gz: -0.92, OX: -0.03
1746536793.3129802 N:   51, t: 30777439, dt: 17126, ENC_DEG:  5.91, REF:  0.00, VEL_RAW:  2.57, VEL_AVG:  0.25, I: -8.64, D: -0.08, VEL_OUT: -20.54, MS_MPC: 22346.02, ax: -0.00, ay: -0.02, az:  1.01, gx:  0.00, gy: -0.85, gz: -0.43, OX:  0.01
1746536793.3183322 N:   52, t: 30796690, dt: 19251, ENC_DEG:  5.89, REF:  0.00, VEL_RAW: -1.14, VEL_AVG: -0.28, I: -8.92, D: -0.03, VEL_OUT: -20.95, MS_MPC: 22340.96, ax:  0.00, ay: -0.01, az:  1.01, gx: -0.06, gy: -0.73, gz:  0.55, OX:  0.07
1746536793.3704488 N:   53, t: 30821009, dt: 24319, ENC_DEG:  5.87, REF:  0.00, VEL_RAW: -0.90, VEL_AVG: -0.28, I: -9.20, D: -0.00, VEL_OUT: -21.20, MS_MPC: 22335.89, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.12, gy: -0.61, gz: -0.06, OX:  0.04
1746536793.3757353 N:   55, t: 30855486, dt: 16330, ENC_DEG:  5.91, REF:  0.00, VEL_RAW:  1.34, VEL_AVG: -0.03, I: -9.28, D:  0.01, VEL_OUT: -18.76, MS_MPC: 22346.02, ax: -0.01, ay:  0.00, az:  1.00, gx:  0.00, gy: -0.67, gz: -0.73, OX: -0.02
1746536793.3816302 N:   56, t: 30875678, dt: 20192, ENC_DEG:  5.89, REF:  0.00, VEL_RAW: -1.09, VEL_AVG: -0.05, I: -9.32, D: -0.01, VEL_OUT: -19.23, MS_MPC: 22340.96, ax: -0.01, ay: -0.00, az:  0.99, gx:  0.06, gy: -0.67, gz: -0.49, OX: -0.01
1746536793.3876143 N:   57, t: 30897074, dt: 21396, ENC_DEG:  5.87, REF:  0.00, VEL_RAW: -1.03, VEL_AVG:  0.11, I: -9.44, D: -0.07, VEL_OUT: -20.67, MS_MPC: 22335.89, ax: -0.01, ay:  0.00, az:  1.00, gx:  0.18, gy: -0.98, gz: -0.49, OX:  0.04
1746536793.3937206 N:   58, t: 30920597, dt: 23523, ENC_DEG:  5.89, REF:  0.00, VEL_RAW:  0.93, VEL_AVG:  0.02, I: -9.46, D:  0.09, VEL_OUT: -18.17, MS_MPC: 22340.96, ax: -0.01, ay: -0.02, az:  1.01, gx: -0.18, gy: -0.85, gz: -1.46, OX: -0.11
1746536793.3999135 N:   59, t: 30938244, dt: 17647, ENC_DEG:  5.91, REF:  0.00, VEL_RAW:  1.25, VEL_AVG:  0.09, I: -9.55, D: -0.07, VEL_OUT: -20.74, MS_MPC: 22346.02, ax: -0.00, ay: -0.01, az:  1.01, gx: -0.37, gy: -0.06, gz: -0.92, OX:  0.03
1746536793.4868507 N:   60, t: 30955944, dt: 17700, ENC_DEG:  5.82, REF:  0.00, VEL_RAW: -4.97, VEL_AVG: -0.23, I: -9.78, D: -0.14, VEL_OUT: -23.22, MS_MPC: 22325.76, ax: -0.00, ay:  0.00, az:  1.02, gx: -0.18, gy:  0.31, gz: -0.85, OX:  0.14
1746536793.4930568 N:   61, t: 30975734, dt: 19790, ENC_DEG:  5.89, REF:  0.00, VEL_RAW:  3.33, VEL_AVG:  0.12, I: -9.90, D:  0.10, VEL_OUT: -20.01, MS_MPC: 22340.96, ax: -0.01, ay:  0.01, az:  1.03, gx:  0.12, gy:  0.67, gz: -1.71, OX:  0.12
