1746536424.5601935 N:   41, t: 59539755, dt: 17418, ENC_DEG: 17.12, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.09, I: -6.41, D:  0.00, VEL_OUT: -13.67, MS_MPC: 24770.15, ax:  0.02, ay: -0.00, az:  1.00, gx: -0.12, gy:  0.00, gz:  0.79, OX:  0.03
1746536424.56616   N:   42, t: 59564100, dt: 24345, ENC_DEG: 17.12, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.07, I: -6.47, D:  0.02, VEL_OUT: -13.41, MS_MPC: 24770.15, ax:  0.02, ay:  0.00, az:  0.99, gx: -0.24, gy:  0.24, gz:  0.73, OX:  0.04
1746536424.6618917 N:   43, t: 59579141, dt: 15041, ENC_DEG: 17.12, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.09, I: -6.56, D: -0.02, VEL_OUT: -14.24, MS_MPC: 24770.15, ax:  0.02, ay:  0.00, az:  0.99, gx: -0.18, gy:  0.24, gz:  1.16, OX:  0.01
1746536424.7863374 N:   44, t: 59602439, dt: 23298, ENC_DEG: 17.12, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.09, I: -6.65, D:  0.00, VEL_OUT: -14.19, MS_MPC: 24770.15, ax:  0.02, ay:  0.00, az:  0.99, gx: -0.12, gy:  0.43, gz:  1.22, OX: -0.00
1746536424.7936392 N:   45, t: 59618931, dt: 16492, ENC_DEG: 17.12, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.03, I: -6.68, D:  0.06, VEL_OUT: -12.98, MS_MPC: 24770.15, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.12, gy:  0.06, gz:  0.92, OX:  0.04
1746536424.7986555 N:   46, t: 59644050, dt: 25119, ENC_DEG: 17.14, REF:  0.00, VEL_RAW:  0.87, VEL_AVG:  0.14, I: -6.81, D: -0.11, VEL_OUT: -16.12, MS_MPC: 24774.57, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.24, gy:  0.31, gz:  0.67, OX:  0.01
1746536424.8046122 N:   48, t: 59678730, dt: 18332, ENC_DEG: 17.05, REF:  0.00, VEL_RAW: -1.20, VEL_AVG: -0.22, I: -7.33, D:  0.07, VEL_OUT: -16.19, MS_MPC: 24756.88, ax:  0.02, ay:  0.00, az:  1.00, gx:  0.12, gy:  0.55, gz:  0.06, OX:  0.00
1746536424.810834  N:   52, t: 59763812, dt: 24352, ENC_DEG: 17.14, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.01, I: -7.76, D:  0.07, VEL_OUT: -14.83, MS_MPC: 24774.57, ax:  0.02, ay: -0.00, az:  0.99, gx:  0.06, gy: -0.06, gz: -0.49, OX: -0.04
1746536424.9029589 N:   53, t: 59818751, dt: 54939, ENC_DEG: 17.16, REF:  0.00, VEL_RAW:  0.40, VEL_AVG:  0.03, I: -7.79, D: -0.02, VEL_OUT: -16.08, MS_MPC: 24778.99, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.06, gy: -0.49, gz: -0.49, OX:  0.01
1746536424.9082003 N:   54, t: 59841271, dt: 22520, ENC_DEG: 17.21, REF:  0.00, VEL_RAW:  1.95, VEL_AVG:  0.19, I: -7.98, D: -0.16, VEL_OUT: -19.49, MS_MPC: 24787.83, ax:  0.02, ay:  0.00, az:  0.99, gx:  0.12, gy: -0.31, gz: -0.24, OX: -0.01
1746536424.9622571 N:   55, t: 59859536, dt: 18265, ENC_DEG: 17.14, REF:  0.00, VEL_RAW: -3.61, VEL_AVG: -0.11, I: -8.09, D:  0.08, VEL_OUT: -16.49, MS_MPC: 24774.57, ax:  0.02, ay: -0.01, az:  1.00, gx: -0.06, gy: -0.49, gz:  0.31, OX: -0.08
1746536425.0876758 N:   56, t: 59883063, dt: 23527, ENC_DEG: 17.10, REF:  0.00, VEL_RAW: -1.87, VEL_AVG: -0.27, I: -8.36, D: -0.16, VEL_OUT: -20.93, MS_MPC: 24765.73, ax:  0.02, ay: -0.01, az:  1.00, gx: -0.06, gy: -0.43, gz:  0.73, OX: -0.01
1746536425.093113  N:   58, t: 59920979, dt: 21568, ENC_DEG: 17.16, REF:  0.00, VEL_RAW:  1.02, VEL_AVG: -0.03, I: -8.43, D:  0.01, VEL_OUT: -17.04, MS_MPC: 24778.99, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.00, gy: -0.55, gz:  0.92, OX:  0.05
1746536425.0990987 N:   59, t: 59938805, dt: 17826, ENC_DEG: 17.16, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.31, I: -8.74, D: -0.28, VEL_OUT: -23.29, MS_MPC: 24778.99, ax:  0.02, ay:  0.01, az:  1.00, gx: -0.31, gy: -0.49, gz:  0.79, OX:  0.02
1746536425.1426322 N:   61, t: 59979452, dt: 21234, ENC_DEG: 17.14, REF:  0.00, VEL_RAW: -1.03, VEL_AVG:  0.06, I: -9.20, D:  0.34, VEL_OUT: -15.59, MS_MPC: 24774.57, ax:  0.02, ay:  0.01, az:  1.00, gx: -0.12, gy: -0.61, gz:  0.06, OX:  0.00
1746536425.1486158 N:   66, t: 60083076, dt: 22395, ENC_DEG: 17.14, REF:  0.00, VEL_RAW:  0.98, VEL_AVG: -0.28, I: -10.02, D: -0.08, VEL_OUT: -23.70, MS_MPC: 24774.57, ax:  0.02, ay: -0.00, az:  1.00, gx: -0.12, gy: -0.18, gz:  0.43, OX: -0.02
1746536425.1555977 N:   67, t: 60121687, dt: 38611, ENC_DEG: 17.14, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.02, I: -10.04, D:  0.27, VEL_OUT: -17.58, MS_MPC: 24774.57, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.24, gy: -0.12, gz:  1.04, OX:  0.04
1746536425.1635807 N:   68, t: 60138749, dt: 17062, ENC_DEG: 17.16, REF:  0.00, VEL_RAW:  1.29, VEL_AVG:  0.28, I: -10.32, D: -0.26, VEL_OUT: -26.07, MS_MPC: 24778.99, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.31, gy:  0.00, gz:  0.98, OX: -0.01
1746536425.175549  N:   69, t: 60159608, dt: 20859, ENC_DEG: 17.12, REF:  0.00, VEL_RAW: -2.11, VEL_AVG: -0.12, I: -10.44, D:  0.16, VEL_OUT: -20.48, MS_MPC: 24770.15, ax:  0.02, ay:  0.00, az:  0.99, gx: -0.37, gy: -0.06, gz:  0.92, OX:  0.02
1746536425.2112012 N:   70, t: 60183698, dt: 24090, ENC_DEG: 17.16, REF:  0.00, VEL_RAW:  1.82, VEL_AVG: -0.05, I: -10.49, D:  0.07, VEL_OUT: -20.84, MS_MPC: 24778.99, ax:  0.02, ay:  0.01, az:  1.00, gx:  0.00, gy: -0.06, gz:  0.79, OX:  0.05
1746536425.2131975 N:   71, t: 60198805, dt: 15107, ENC_DEG: 17.14, REF:  0.00, VEL_RAW: -1.45, VEL_AVG: -0.17, I: -10.67, D: -0.12, VEL_OUT: -24.29, MS_MPC: 24774.57, ax:  0.02, ay:  0.01, az:  1.00, gx:  0.00, gy: -0.18, gz:  0.73, OX:  0.01
