1746537144.0751286 N:   46, t: 29113373, dt: 21278, ENC_DEG:  3.45, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.08, I: -4.46, D:  0.00, VEL_OUT: -9.74, MS_MPC: 21771.86, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.06, gy: -0.06, gz:  0.79, OX:  0.06
1746537144.129835  N:   47, t: 29131629, dt: 18256, ENC_DEG:  3.43, REF:  0.00, VEL_RAW: -1.20, VEL_AVG: -0.10, I: -4.55, D: -0.01, VEL_OUT: -10.22, MS_MPC: 21766.67, ax:  0.01, ay:  0.02, az:  1.00, gx: -0.06, gy:  0.06, gz:  0.37, OX:  0.08
1746537144.134891  N:   48, t: 29150581, dt: 18952, ENC_DEG:  3.47, REF:  0.00, VEL_RAW:  2.32, VEL_AVG:  0.20, I: -4.75, D: -0.10, VEL_OUT: -12.47, MS_MPC: 21777.05, ax:  0.01, ay:  0.02, az:  0.99, gx:  0.18, gy:  0.00, gz: -0.18, OX: -0.02
1746537144.1413476 N:   49, t: 29170772, dt: 20191, ENC_DEG:  3.43, REF:  0.00, VEL_RAW: -2.18, VEL_AVG:  0.17, I: -4.92, D:  0.03, VEL_OUT: -11.27, MS_MPC: 21766.67, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.31, gy: -0.18, gz: -0.55, OX: -0.02
1746537144.1477618 N:   50, t: 29190144, dt: 19372, ENC_DEG:  3.45, REF:  0.00, VEL_RAW:  1.13, VEL_AVG:  0.06, I: -4.98, D:  0.11, VEL_OUT: -9.50, MS_MPC: 21771.86, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.18, gy: -0.06, gz: -0.92, OX: -0.10
1746537144.2516325 N:   51, t: 29212532, dt: 22388, ENC_DEG:  3.47, REF:  0.00, VEL_RAW:  0.98, VEL_AVG:  0.04, I: -5.03, D:  0.02, VEL_OUT: -10.31, MS_MPC: 21777.05, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.24, gy:  0.24, gz: -0.43, OX: -0.01
1746537144.2572954 N:   52, t: 29229872, dt: 17340, ENC_DEG:  3.45, REF:  0.00, VEL_RAW: -1.27, VEL_AVG:  0.02, I: -5.05, D:  0.02, VEL_OUT: -10.07, MS_MPC: 21771.86, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.06, gy:  0.43, gz: -0.24, OX:  0.00
1746537144.2632792 N:   53, t: 29251222, dt: 21350, ENC_DEG:  3.41, REF:  0.00, VEL_RAW: -2.06, VEL_AVG: -0.49, I: -5.54, D: -0.47, VEL_OUT: -20.67, MS_MPC: 21761.48, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.12, gy:  0.00, gz: -0.55, OX: -0.01
1746537144.269263  N:   54, t: 29272160, dt: 20938, ENC_DEG:  3.45, REF:  0.00, VEL_RAW:  2.10, VEL_AVG: -0.23, I: -5.76, D:  0.26, VEL_OUT: -11.14, MS_MPC: 21771.86, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.24, gy: -0.12, gz: -0.61, OX: -0.01
1746537144.275771  N:   57, t: 29331256, dt: 21437, ENC_DEG:  3.47, REF:  0.00, VEL_RAW:  1.02, VEL_AVG:  0.07, I: -5.99, D:  0.04, VEL_OUT: -12.26, MS_MPC: 21777.05, ax:  0.01, ay:  0.00, az:  0.99, gx: -0.37, gy: -0.12, gz: -0.18, OX: -0.00
