1746536648.4052794 N:   39, t: 28574871, dt: 56205, ENC_DEG:  7.32, REF:  0.00, VEL_RAW:  0.39, VEL_AVG:  0.00, I: -5.78, D: -0.00, VEL_OUT: -11.59, MS_MPC: 22667.74, ax: -0.00, ay: -0.02, az:  1.00, gx: -0.46, gy:  0.24, gz:  1.43, OX:  0.01
1746536648.4112456 N:   40, t: 28594475, dt: 19604, ENC_DEG:  7.25, REF:  0.00, VEL_RAW: -3.36, VEL_AVG: -0.28, I: -6.06, D: -0.28, VEL_OUT: -17.66, MS_MPC: 22652.76, ax:  0.00, ay: -0.02, az:  1.00, gx: -0.46, gy:  0.00, gz:  1.56, OX:  0.03
1746536648.4172344 N:   41, t: 28618185, dt: 23710, ENC_DEG:  7.32, REF:  0.00, VEL_RAW:  2.78, VEL_AVG: -0.01, I: -6.07, D:  0.27, VEL_OUT: -9.54, MS_MPC: 22667.74, ax: -0.00, ay: -0.02, az:  1.00, gx: -0.52, gy: -0.06, gz:  1.31, OX:  0.00
1746536648.4232187 N:   42, t: 28635437, dt: 17252, ENC_DEG:  7.32, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.26, I: -6.32, D: -0.25, VEL_OUT: -17.66, MS_MPC: 22667.74, ax: -0.01, ay: -0.02, az:  1.00, gx: -0.21, gy: -0.12, gz:  1.19, OX: -0.07
1746536648.5259318 N:   44, t: 28676057, dt: 21295, ENC_DEG:  7.27, REF:  0.00, VEL_RAW: -1.03, VEL_AVG: -0.22, I: -6.60, D: -0.17, VEL_OUT: -17.16, MS_MPC: 22657.76, ax: -0.01, ay: -0.02, az:  1.00, gx: -0.15, gy: -0.06, gz:  0.58, OX:  0.01
1746536648.5859723 N:   45, t: 28699531, dt: 23474, ENC_DEG:  7.34, REF:  0.00, VEL_RAW:  2.81, VEL_AVG: -0.14, I: -6.74, D:  0.08, VEL_OUT: -14.05, MS_MPC: 22672.73, ax: -0.01, ay: -0.02, az:  1.00, gx: -0.15, gy: -0.31, gz:  0.09, OX:  0.03
1746536648.5924957 N:   46, t: 28714714, dt: 15183, ENC_DEG:  7.32, REF:  0.00, VEL_RAW: -1.45, VEL_AVG: -0.15, I: -6.89, D: -0.01, VEL_OUT: -15.32, MS_MPC: 22667.74, ax: -0.01, ay: -0.02, az:  1.00, gx: -0.09, gy: -0.49, gz: -0.27, OX:  0.00
1746536648.5985622 N:   47, t: 28736238, dt: 21524, ENC_DEG:  7.34, REF:  0.00, VEL_RAW:  1.02, VEL_AVG:  0.02, I: -6.91, D:  0.13, VEL_OUT: -12.70, MS_MPC: 22672.73, ax: -0.01, ay: -0.02, az:  1.00, gx:  0.21, gy: -0.12, gz: -0.27, OX: -0.02
1746536648.645079  N:   50, t: 28798577, dt: 23208, ENC_DEG:  7.27, REF:  0.00, VEL_RAW: -3.79, VEL_AVG: -0.10, I: -7.36, D:  0.04, VEL_OUT: -15.29, MS_MPC: 22657.76, ax: -0.01, ay: -0.02, az:  1.00, gx: -0.15, gy: -0.24, gz: -0.09, OX:  0.06
1746536648.706473  N:   52, t: 28836323, dt: 21335, ENC_DEG:  7.32, REF:  0.00, VEL_RAW:  1.03, VEL_AVG:  0.35, I: -7.73, D: -0.33, VEL_OUT: -22.21, MS_MPC: 22667.74, ax: -0.01, ay: -0.02, az:  1.00, gx: -0.64, gy: -0.37, gz: -0.58, OX: -0.03
1746536648.7676096 N:   53, t: 28878543, dt: 42220, ENC_DEG:  7.32, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.12, I: -7.84, D:  0.23, VEL_OUT: -14.53, MS_MPC: 22667.74, ax: -0.01, ay: -0.03, az:  1.00, gx: -1.56, gy: -0.55, gz: -0.09, OX: -0.03
1746536648.887654  N:   54, t: 28894656, dt: 16113, ENC_DEG:  7.30, REF:  0.00, VEL_RAW: -1.36, VEL_AVG:  0.00, I: -7.85, D:  0.11, VEL_OUT: -14.57, MS_MPC: 22662.74, ax: -0.01, ay: -0.03, az:  1.00, gx: -1.56, gy: -0.49, gz:  0.27, OX: -0.01
1746536648.893622  N:   55, t: 28918499, dt: 23843, ENC_DEG:  7.32, REF:  0.00, VEL_RAW:  0.92, VEL_AVG:  0.17, I: -8.02, D: -0.17, VEL_OUT: -19.49, MS_MPC: 22667.74, ax: -0.01, ay: -0.02, az:  1.00, gx: -1.74, gy: -0.43, gz:  0.76, OX:  0.02
1746536648.8995724 N:   58, t: 28975088, dt: 16061, ENC_DEG:  7.32, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.09, I: -8.19, D: -0.06, VEL_OUT: -17.86, MS_MPC: 22667.74, ax: -0.01, ay: -0.01, az:  0.99, gx: -0.82, gy: -0.31, gz:  0.46, OX:  0.02
1746536648.9047837 N:   61, t: 29038395, dt: 22299, ENC_DEG:  7.27, REF:  0.00, VEL_RAW: -1.97, VEL_AVG: -0.38, I: -8.81, D: -0.13, VEL_OUT: -22.69, MS_MPC: 22657.76, ax: -0.01, ay: -0.03, az:  1.01, gx:  0.58, gy:  0.06, gz: -0.21, OX: -0.01
1746536648.91127   N:   64, t: 29096544, dt: 21135, ENC_DEG:  7.32, REF:  0.00, VEL_RAW:  2.08, VEL_AVG: -0.08, I: -9.12, D:  0.09, VEL_OUT: -18.21, MS_MPC: 22667.74, ax: -0.00, ay: -0.01, az:  1.00, gx:  0.76, gy:  0.79, gz:  0.82, OX:  0.02
1746536648.91763   N:   65, t: 29176269, dt: 79725, ENC_DEG:  7.34, REF:  0.00, VEL_RAW:  0.28, VEL_AVG: -0.06, I: -9.19, D:  0.02, VEL_OUT: -18.75, MS_MPC: 22672.73, ax: -0.01, ay: -0.02, az:  1.01, gx:  0.40, gy:  0.67, gz:  1.31, OX: -0.06
1746536648.9494572 N:   66, t: 29196092, dt: 19823, ENC_DEG:  7.30, REF:  0.00, VEL_RAW: -2.22, VEL_AVG: -0.13, I: -9.32, D: -0.07, VEL_OUT: -20.67, MS_MPC: 22662.74, ax: -0.00, ay: -0.02, az:  1.00, gx:  0.27, gy:  0.73, gz:  1.80, OX:  0.07
1746536649.0695622 N:   67, t: 29217003, dt: 20911, ENC_DEG:  7.30, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.21, I: -9.53, D: -0.08, VEL_OUT: -21.91, MS_MPC: 22662.74, ax: -0.00, ay: -0.01, az:  1.00, gx:  0.09, gy:  0.43, gz:  2.11, OX:  0.06
1746536649.0748703 N:   68, t: 29235309, dt: 18306, ENC_DEG:  7.30, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.00, I: -9.53, D:  0.20, VEL_OUT: -17.06, MS_MPC: 22662.74, ax: -0.01, ay: -0.02, az:  1.00, gx: -0.40, gy:  0.55, gz:  1.37, OX: -0.09
1746536649.3665793 N:   69, t: 29255625, dt: 20316, ENC_DEG:  7.32, REF:  0.00, VEL_RAW:  1.08, VEL_AVG: -0.06, I: -9.59, D: -0.06, VEL_OUT: -20.40, MS_MPC: 22667.74, ax: -0.01, ay: -0.02, az:  1.01, gx: -0.40, gy:  0.49, gz:  1.13, OX: -0.05
1746536649.4288516 N:   70, t: 29275076, dt: 19451, ENC_DEG:  7.34, REF:  0.00, VEL_RAW:  1.13, VEL_AVG:  0.03, I: -9.62, D:  0.03, VEL_OUT: -19.25, MS_MPC: 22672.73, ax: -0.01, ay: -0.02, az:  1.00, gx: -0.76, gy:  0.43, gz:  0.82, OX:  0.01
1746536649.604595  N:   73, t: 29337585, dt: 21150, ENC_DEG:  7.34, REF:  0.00, VEL_RAW:  2.08, VEL_AVG:  0.21, I: -10.09, D: -0.08, VEL_OUT: -23.13, MS_MPC: 22672.73, ax: -0.01, ay: -0.01, az:  1.00, gx: -0.64, gy:  0.49, gz:  0.34, OX:  0.01
1746536649.6109905 N:   74, t: 29355230, dt: 17645, ENC_DEG:  7.34, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.21, I: -10.30, D:  0.00, VEL_OUT: -22.71, MS_MPC: 22672.73, ax: -0.01, ay: -0.01, az:  1.00, gx: -0.21, gy:  0.49, gz:  0.15, OX:  0.01
1746536649.7243614 N:   78, t: 29434746, dt: 19437, ENC_DEG:  7.30, REF:  0.00, VEL_RAW: -2.26, VEL_AVG:  0.09, I: -10.90, D:  0.00, VEL_OUT: -22.68, MS_MPC: 22662.74, ax: -0.01, ay: -0.02, az:  1.00, gx:  0.27, gy:  0.06, gz: -1.50, OX: -0.03
1746536649.7297792 N:   80, t: 29678252, dt: 23312, ENC_DEG:  7.32, REF:  0.00, VEL_RAW:  1.89, VEL_AVG:  0.24, I: -11.22, D: -0.16, VEL_OUT: -26.43, MS_MPC: 22667.74, ax: -0.00, ay: -0.02, az:  1.00, gx: -1.13, gy:  0.37, gz:  1.62, OX:  0.15
