1746534950.68776   N:   47, t: 66035480, dt: 20247, ENC_DEG: 31.31, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.06, I: -10.48, D:  0.05, VEL_OUT: -21.07, MS_MPC: 27306.64, ax:  0.00, ay: -0.01, az:  1.01, gx:  0.79, gy: -0.37, gz: -0.55, OX:  0.04
1746534950.6937797 N:   48, t: 66053865, dt: 18385, ENC_DEG: 31.31, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.16, I: -10.64, D: -0.09, VEL_OUT: -23.74, MS_MPC: 27306.64, ax:  0.01, ay: -0.01, az:  1.01, gx:  0.55, gy: -0.12, gz: -0.18, OX:  0.00
1746534950.7438323 N:   49, t: 66080138, dt: 26273, ENC_DEG: 31.33, REF:  0.00, VEL_RAW:  0.84, VEL_AVG: -0.09, I: -10.72, D:  0.07, VEL_OUT: -21.61, MS_MPC: 27310.02, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.79, gy:  0.12, gz:  0.12, OX:  0.02
1746534950.8659341 N:   50, t: 66096286, dt: 16148, ENC_DEG: 31.38, REF:  0.00, VEL_RAW:  2.72, VEL_AVG:  0.05, I: -10.77, D:  0.04, VEL_OUT: -21.69, MS_MPC: 27316.77, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.85, gy:  0.06, gz:  0.24, OX: -0.02
1746534950.8716917 N:   51, t: 66113795, dt: 17509, ENC_DEG: 31.36, REF:  0.00, VEL_RAW: -1.26, VEL_AVG: -0.04, I: -10.81, D:  0.01, VEL_OUT: -21.85, MS_MPC: 27313.40, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.85, gy:  0.06, gz:  0.61, OX:  0.03
1746534950.9246216 N:   52, t: 66134535, dt: 20740, ENC_DEG: 31.38, REF:  0.00, VEL_RAW:  1.06, VEL_AVG:  0.34, I: -11.15, D: -0.31, VEL_OUT: -28.82, MS_MPC: 27316.77, ax: -0.00, ay: -0.00, az:  1.00, gx:  1.10, gy:  0.55, gz:  0.73, OX: -0.01
1746534950.9296062 N:   53, t: 66154815, dt: 20280, ENC_DEG: 31.31, REF:  0.00, VEL_RAW: -3.25, VEL_AVG: -0.11, I: -11.26, D:  0.24, VEL_OUT: -21.24, MS_MPC: 27306.64, ax:  0.00, ay: -0.00, az:  1.00, gx:  1.16, gy:  0.49, gz:  1.04, OX: -0.01
1746534950.9359047 N:   58, t: 66255815, dt: 21270, ENC_DEG: 31.33, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.19, I: -12.18, D: -0.19, VEL_OUT: -28.13, MS_MPC: 27310.02, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.24, gy:  0.67, gz:  0.06, OX:  0.04
1746534950.9419234 N:   59, t: 66294726, dt: 38911, ENC_DEG: 31.33, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.19, I: -12.37, D:  0.00, VEL_OUT: -26.64, MS_MPC: 27310.02, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.55, gy:  0.24, gz: -0.49, OX:  0.01
1746534950.9489326 N:   61, t: 66334097, dt: 19260, ENC_DEG: 31.31, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.03, I: -12.50, D:  0.07, VEL_OUT: -24.59, MS_MPC: 27306.64, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.31, gy:  0.12, gz: -0.79, OX:  0.03
