1746019584.882186  N:   39, t: 29482776, dt: 22378, ENC_DEG: 74.14, REF:  0.00, VEL_RAW: -2.95, VEL_AVG: -0.30, I: -7.31, D: -0.25, VEL_OUT: -20.04, MS_MPC: 28010.74, ax:  0.01, ay:  0.01, az:  0.99, gx: -0.24, gy:  0.24, gz:  0.55, OX:  0.06
1746019584.888177  N:   40, t: 29500067, dt: 17291, ENC_DEG: 74.11, REF:  0.00, VEL_RAW: -1.27, VEL_AVG: -0.65, I: -7.95, D: -0.35, VEL_OUT: -25.86, MS_MPC: 28015.70, ax:  0.01, ay:  0.02, az:  0.98, gx:  0.06, gy:  0.31, gz:  0.18, OX:  0.05
1746019584.8941581 N:   44, t: 29579060, dt: 19053, ENC_DEG: 74.22, REF:  0.00, VEL_RAW:  1.15, VEL_AVG:  0.21, I: -8.56, D: -0.01, VEL_OUT: -19.34, MS_MPC: 27990.80, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.85, gy: -0.55, gz: -0.61, OX: -0.07
1746019584.9001396 N:   45, t: 29599195, dt: 20135, ENC_DEG: 74.16, REF:  0.00, VEL_RAW: -3.27, VEL_AVG:  0.09, I: -8.65, D:  0.12, VEL_OUT: -17.01, MS_MPC: 28005.77, ax:  0.01, ay:  0.01, az:  0.99, gx:  0.61, gy: -0.61, gz: -0.37, OX:  0.00
1746019584.9322815 N:   46, t: 29619752, dt: 20557, ENC_DEG: 74.20, REF:  0.00, VEL_RAW:  2.14, VEL_AVG: -0.07, I: -8.72, D:  0.02, VEL_OUT: -17.87, MS_MPC: 27995.80, ax:  0.01, ay:  0.01, az:  0.99, gx:  0.24, gy: -0.55, gz: -0.73, OX: -0.04
1746019584.9383652 N:   47, t: 29643991, dt: 24239, ENC_DEG: 74.20, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.11, I: -8.83, D: -0.05, VEL_OUT: -19.26, MS_MPC: 27995.80, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.06, gy: -0.43, gz: -0.67, OX: -0.04
1746019584.9927886 N:   48, t: 29664439, dt: 20448, ENC_DEG: 74.18, REF:  0.00, VEL_RAW: -1.07, VEL_AVG: -0.15, I: -8.98, D: -0.03, VEL_OUT: -19.73, MS_MPC: 28000.79, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.18, gy: -0.49, gz: -0.12, OX:  0.09
1746019584.9981668 N:   49, t: 29681577, dt: 17138, ENC_DEG: 74.18, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.04, I: -9.02, D:  0.11, VEL_OUT: -17.37, MS_MPC: 28000.79, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.12, gy: -0.43, gz:  0.06, OX:  0.06
1746019585.0051353 N:   50, t: 29699602, dt: 18025, ENC_DEG: 74.20, REF:  0.00, VEL_RAW:  1.22, VEL_AVG:  0.06, I: -9.08, D: -0.02, VEL_OUT: -18.99, MS_MPC: 27995.80, ax:  0.00, ay:  0.02, az:  1.00, gx: -0.24, gy: -0.24, gz: -0.12, OX:  0.02
1746019585.1091611 N:   51, t: 29724882, dt: 25280, ENC_DEG: 74.22, REF:  0.00, VEL_RAW:  0.87, VEL_AVG:  0.38, I: -9.46, D: -0.32, VEL_OUT: -25.89, MS_MPC: 27990.80, ax:  0.00, ay:  0.02, az:  0.99, gx: -0.06, gy: -0.37, gz: -0.18, OX:  0.02
1746019585.1151438 N:   52, t: 29740400, dt: 15518, ENC_DEG: 74.20, REF:  0.00, VEL_RAW: -1.42, VEL_AVG:  0.37, I: -9.82, D:  0.01, VEL_OUT: -23.20, MS_MPC: 27995.80, ax:  0.00, ay:  0.02, az:  0.99, gx:  0.18, gy: -0.55, gz: -0.49, OX: -0.01
1746019585.121128  N:   53, t: 29759666, dt: 19266, ENC_DEG: 74.14, REF:  0.00, VEL_RAW: -3.42, VEL_AVG: -0.30, I: -10.12, D:  0.07, VEL_OUT: -22.49, MS_MPC: 28010.74, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.79, gy: -0.79, gz: -1.16, OX: -0.06
1746019585.12615   N:   54, t: 29779007, dt: 19341, ENC_DEG: 74.22, REF:  0.00, VEL_RAW:  4.54, VEL_AVG:  0.25, I: -10.37, D:  0.04, VEL_OUT: -22.85, MS_MPC: 27990.80, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.92, gy: -0.73, gz: -1.10, OX: -0.02
1746019585.133097  N:   57, t: 29840149, dt: 20752, ENC_DEG: 74.16, REF:  0.00, VEL_RAW: -2.12, VEL_AVG: -0.02, I: -10.54, D:  0.10, VEL_OUT: -20.37, MS_MPC: 28005.77, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.98, gy: -0.55, gz: -0.06, OX:  0.02
1746019585.1729841 N:   58, t: 29859893, dt: 19744, ENC_DEG: 74.16, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.20, I: -10.75, D: -0.18, VEL_OUT: -25.30, MS_MPC: 28005.77, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.73, gy: -0.31, gz: -0.24, OX:  0.03
1746019585.1789849 N:   59, t: 29878976, dt: 19083, ENC_DEG: 74.18, REF:  0.00, VEL_RAW:  1.15, VEL_AVG: -0.11, I: -10.85, D:  0.10, VEL_OUT: -21.81, MS_MPC: 28000.79, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.73, gy: -0.37, gz: -0.61, OX:  0.01
