1746019969.2556653 N:   35, t: 27144595, dt: 20865, ENC_DEG: 59.79, REF:  0.00, VEL_RAW: -1.05, VEL_AVG: -0.12, I: -6.21, D: -0.05, VEL_OUT: -14.19, MS_MPC: 29597.97, ax: -0.00, ay:  0.01, az:  1.00, gx:  1.10, gy: -0.49, gz: -0.98, OX:  0.01
1746019969.297786  N:   36, t: 27162570, dt: 17975, ENC_DEG: 59.79, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.21, I: -6.43, D: -0.09, VEL_OUT: -15.85, MS_MPC: 29597.97, ax:  0.00, ay:  0.01, az:  1.00, gx:  1.04, gy: -0.85, gz: -0.98, OX:  0.00
1746019969.303214  N:   37, t: 27182793, dt: 20223, ENC_DEG: 59.81, REF:  0.00, VEL_RAW:  1.09, VEL_AVG:  0.06, I: -6.49, D:  0.15, VEL_OUT: -12.06, MS_MPC: 29597.53, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.92, gy: -0.98, gz: -1.40, OX: -0.10
1746019969.3583457 N:   38, t: 27201949, dt: 19156, ENC_DEG: 59.74, REF:  0.00, VEL_RAW: -3.44, VEL_AVG: -0.23, I: -6.71, D: -0.17, VEL_OUT: -17.35, MS_MPC: 29598.84, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.55, gy: -0.85, gz: -0.73, OX: -0.01
1746019969.36433   N:   39, t: 27221456, dt: 19507, ENC_DEG: 59.74, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.12, I: -6.83, D:  0.11, VEL_OUT: -13.70, MS_MPC: 29598.84, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.24, gy: -0.49, gz: -0.55, OX:  0.02
1746019969.3713157 N:   40, t: 27241614, dt: 20158, ENC_DEG: 59.74, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.02, I: -6.85, D:  0.10, VEL_OUT: -12.93, MS_MPC: 29598.84, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.06, gy: -0.31, gz: -0.55, OX:  0.02
1746019969.376301  N:   41, t: 27265418, dt: 23804, ENC_DEG: 59.74, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.20, I: -7.04, D: -0.18, VEL_OUT: -17.82, MS_MPC: 29598.84, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.12, gy: -0.24, gz: -0.85, OX: -0.00
1746019969.4169765 N:   42, t: 27281211, dt: 15793, ENC_DEG: 59.79, REF:  0.00, VEL_RAW:  2.78, VEL_AVG:  0.04, I: -7.08, D:  0.16, VEL_OUT: -12.90, MS_MPC: 29597.97, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.06, gy: -0.61, gz: -0.92, OX: -0.02
1746019969.423541  N:   43, t: 27302385, dt: 21174, ENC_DEG: 59.81, REF:  0.00, VEL_RAW:  1.04, VEL_AVG:  0.12, I: -7.20, D: -0.09, VEL_OUT: -16.48, MS_MPC: 29597.53, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.18, gy: -0.31, gz: -0.92, OX: -0.09
1746019969.47776   N:   44, t: 27326419, dt: 24034, ENC_DEG: 59.74, REF:  0.00, VEL_RAW: -2.74, VEL_AVG: -0.11, I: -7.31, D:  0.02, VEL_OUT: -15.53, MS_MPC: 29598.84, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.12, gy: -0.18, gz: -0.61, OX:  0.00
1746019969.4835224 N:   45, t: 27341577, dt: 15158, ENC_DEG: 59.79, REF:  0.00, VEL_RAW:  2.90, VEL_AVG:  0.13, I: -7.44, D: -0.03, VEL_OUT: -16.52, MS_MPC: 29597.97, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.37, gy:  0.00, gz: -0.06, OX:  0.09
1746019969.4896445 N:   46, t: 27361792, dt: 20215, ENC_DEG: 59.79, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.05, I: -7.49, D:  0.09, VEL_OUT: -14.58, MS_MPC: 29597.97, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.31, gy:  0.12, gz: -0.18, OX:  0.04
1746019969.5370069 N:   47, t: 27388007, dt: 26215, ENC_DEG: 59.83, REF:  0.00, VEL_RAW:  1.68, VEL_AVG:  0.27, I: -7.76, D: -0.23, VEL_OUT: -20.55, MS_MPC: 29597.08, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.67, gy:  0.12, gz: -0.61, OX: -0.05
1746019969.5428596 N:   48, t: 27403437, dt: 15430, ENC_DEG: 59.83, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.27, I: -8.04, D:  0.00, VEL_OUT: -18.83, MS_MPC: 29597.08, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.73, gy:  0.49, gz: -0.61, OX: -0.03
1746019969.54925   N:   49, t: 27421497, dt: 18060, ENC_DEG: 59.77, REF:  0.00, VEL_RAW: -3.65, VEL_AVG: -0.12, I: -8.16, D:  0.16, VEL_OUT: -15.97, MS_MPC: 29598.41, ax:  0.00, ay: -0.00, az:  1.01, gx:  0.55, gy:  0.49, gz: -0.18, OX: -0.03
1746019969.5562327 N:   50, t: 27447266, dt: 25769, ENC_DEG: 59.77, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.17, I: -8.33, D: -0.05, VEL_OUT: -18.79, MS_MPC: 29598.41, ax:  0.00, ay:  0.00, az:  1.01, gx:  0.24, gy:  0.49, gz:  0.49, OX:  0.05
1746019969.5968544 N:   51, t: 27466002, dt: 18736, ENC_DEG: 59.77, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.17, I: -8.49, D:  0.00, VEL_OUT: -18.66, MS_MPC: 29598.41, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.00, gy:  0.43, gz:  0.31, OX:  0.06
1746019969.6028388 N:   52, t: 27481998, dt: 15996, ENC_DEG: 59.79, REF:  0.00, VEL_RAW:  1.37, VEL_AVG:  0.28, I: -8.77, D: -0.11, VEL_OUT: -21.51, MS_MPC: 29597.97, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.06, gy:  0.37, gz:  0.24, OX:  0.00
1746019969.6578064 N:   53, t: 27504754, dt: 22756, ENC_DEG: 59.77, REF:  0.00, VEL_RAW: -0.97, VEL_AVG:  0.20, I: -8.98, D:  0.08, VEL_OUT: -19.16, MS_MPC: 29598.41, ax:  0.01, ay:  0.00, az:  0.99, gx:  0.00, gy:  0.37, gz: -0.12, OX: -0.01
1746019969.6636264 N:   54, t: 27523976, dt: 19222, ENC_DEG: 59.77, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.03, I: -9.01, D:  0.17, VEL_OUT: -16.62, MS_MPC: 29598.41, ax:  0.00, ay:  0.00, az:  0.99, gx:  0.06, gy:  0.24, gz: -0.12, OX: -0.03
