1746019314.089806  N:   66, t: 54212384, dt: 13737, ENC_DEG: 51.70, REF:  0.00, VEL_RAW:  1.60, VEL_AVG:  0.36, I: -12.83, D:  0.06, VEL_OUT: -28.71, MS_MPC: 29470.96, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.31, gy:  0.06, gz:  0.43, OX:  0.02
1746019314.0957882 N:   67, t: 54237891, dt: 25507, ENC_DEG: 51.72, REF:  0.00, VEL_RAW:  0.86, VEL_AVG:  0.11, I: -12.94, D:  0.25, VEL_OUT: -24.54, MS_MPC: 29472.00, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.00, gy:  0.06, gz:  0.06, OX: -0.03
1746019314.1017718 N:   68, t: 54253946, dt: 16055, ENC_DEG: 51.61, REF:  0.00, VEL_RAW: -6.84, VEL_AVG: -0.21, I: -13.15, D: -0.09, VEL_OUT: -29.35, MS_MPC: 29466.73, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.06, gy:  0.37, gz:  0.00, OX:  0.02
1746019314.1502774 N:   69, t: 54271974, dt: 18028, ENC_DEG: 51.68, REF:  0.00, VEL_RAW:  3.66, VEL_AVG:  0.04, I: -13.19, D:  0.17, VEL_OUT: -24.99, MS_MPC: 29469.90, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.12, gy:  0.18, gz: -0.24, OX: -0.00
1746019314.155261  N:   70, t: 54295880, dt: 23906, ENC_DEG: 51.70, REF:  0.00, VEL_RAW:  0.92, VEL_AVG:  0.19, I: -13.38, D: -0.16, VEL_OUT: -30.31, MS_MPC: 29470.96, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.24, gy: -0.12, gz: -0.55, OX: -0.07
1746019314.1612446 N:   71, t: 54313255, dt: 17375, ENC_DEG: 51.68, REF:  0.00, VEL_RAW: -1.26, VEL_AVG: -0.25, I: -13.63, D: -0.05, VEL_OUT: -30.28, MS_MPC: 29469.90, ax: -0.00, ay: -0.00, az:  1.00, gx: -0.24, gy: -0.24, gz: -0.18, OX:  0.00
1746019314.264467  N:   72, t: 54331978, dt: 18723, ENC_DEG: 51.66, REF:  0.00, VEL_RAW: -1.17, VEL_AVG: -0.35, I: -13.98, D: -0.10, VEL_OUT: -32.40, MS_MPC: 29468.85, ax: -0.00, ay:  0.00, az:  1.00, gx: -0.12, gy:  0.12, gz:  0.12, OX:  0.02
1746019314.2704728 N:   73, t: 54353322, dt: 21344, ENC_DEG: 51.61, REF:  0.00, VEL_RAW: -2.06, VEL_AVG: -0.43, I: -14.41, D: -0.08, VEL_OUT: -33.96, MS_MPC: 29466.73, ax:  0.00, ay:  0.00, az:  0.99, gx:  0.18, gy:  0.18, gz:  0.06, OX:  0.00
1746019314.276482  N:   74, t: 54373474, dt: 20152, ENC_DEG: 51.66, REF:  0.00, VEL_RAW:  2.18, VEL_AVG: -0.34, I: -14.75, D:  0.09, VEL_OUT: -31.92, MS_MPC: 29468.85, ax:  0.00, ay:  0.01, az:  0.99, gx:  0.18, gy: -0.12, gz: -0.31, OX:  0.01
1746019314.2825048 N:   75, t: 54393152, dt: 19678, ENC_DEG: 51.70, REF:  0.00, VEL_RAW:  2.23, VEL_AVG:  0.01, I: -14.75, D:  0.33, VEL_OUT: -26.33, MS_MPC: 29470.96, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.49, gy: -0.18, gz: -0.55, OX: -0.03
