1746176009.4742095 N:   37, t: 24274263, dt: 20043, ENC_DEG: 80.14, REF:  0.00, VEL_RAW: -1.10, VEL_AVG:  0.21, I: -5.59, D: -0.00, VEL_OUT: -13.36, MS_MPC: 26244.09, ax:  0.02, ay: -0.01, az:  1.00, gx:  0.37, gy:  1.37, gz:  2.50, OX: -0.04
1746176009.5281355 N:   38, t: 24295671, dt: 21408, ENC_DEG: 80.14, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.14, I: -5.74, D:  0.07, VEL_OUT: -12.19, MS_MPC: 26244.09, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.31, gy:  1.43, gz:  2.56, OX:  0.08
1746176009.5347493 N:   39, t: 24317531, dt: 21860, ENC_DEG: 80.16, REF:  0.00, VEL_RAW:  1.01, VEL_AVG:  0.39, I: -6.12, D: -0.24, VEL_OUT: -18.57, MS_MPC: 26235.94, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.49, gy:  1.56, gz:  2.75, OX:  0.06
1746176009.5407293 N:   40, t: 24333764, dt: 16233, ENC_DEG: 80.14, REF:  0.00, VEL_RAW: -1.35, VEL_AVG:  0.27, I: -6.40, D:  0.11, VEL_OUT: -14.42, MS_MPC: 26244.09, ax:  0.02, ay: -0.00, az:  0.99, gx:  0.61, gy:  1.50, gz:  2.50, OX:  0.03
1746176009.546339  N:   41, t: 24355065, dt: 21301, ENC_DEG: 80.14, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.07, I: -6.47, D:  0.20, VEL_OUT: -11.66, MS_MPC: 26244.09, ax:  0.02, ay: -0.01, az:  1.00, gx:  0.67, gy:  1.13, gz:  2.01, OX: -0.06
1746176009.588068  N:   42, t: 24374955, dt: 19890, ENC_DEG: 80.11, REF:  0.00, VEL_RAW: -1.10, VEL_AVG:  0.14, I: -6.61, D: -0.06, VEL_OUT: -15.22, MS_MPC: 26252.24, ax:  0.02, ay: -0.01, az:  1.01, gx:  0.43, gy:  1.13, gz:  2.08, OX: -0.02
1746176009.594383  N:   43, t: 24394276, dt: 19321, ENC_DEG: 80.16, REF:  0.00, VEL_RAW:  2.27, VEL_AVG:  0.11, I: -6.72, D:  0.02, VEL_OUT: -14.35, MS_MPC: 26235.94, ax:  0.02, ay: -0.01, az:  1.01, gx:  0.12, gy:  1.37, gz:  2.08, OX:  0.00
1746176009.6481504 N:   44, t: 24416707, dt: 22431, ENC_DEG: 80.11, REF:  0.00, VEL_RAW: -1.96, VEL_AVG:  0.03, I: -6.75, D:  0.08, VEL_OUT: -12.95, MS_MPC: 26252.24, ax:  0.02, ay: -0.01, az:  1.00, gx: -0.18, gy:  1.31, gz:  2.38, OX: -0.01
1746176009.6547222 N:   45, t: 24434707, dt: 18000, ENC_DEG: 80.11, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.03, I: -6.78, D:  0.00, VEL_OUT: -13.85, MS_MPC: 26252.24, ax:  0.02, ay: -0.01, az:  0.99, gx: -0.31, gy:  1.19, gz:  2.32, OX:  0.03
1746176009.6607068 N:   46, t: 24453954, dt: 19247, ENC_DEG: 80.14, REF:  0.00, VEL_RAW:  1.14, VEL_AVG:  0.12, I: -6.91, D: -0.10, VEL_OUT: -16.00, MS_MPC: 26244.09, ax:  0.02, ay: -0.00, az:  0.99, gx:  0.00, gy:  1.50, gz:  2.50, OX:  0.02
