1746175733.6638017 N:   42, t: 51208648, dt: 20107, ENC_DEG: 14.24, REF:  0.00, VEL_RAW:  2.18, VEL_AVG: -0.02, I: -7.50, D:  0.08, VEL_OUT: -14.37, MS_MPC: 24179.23, ax:  0.03, ay: -0.04, az:  1.00, gx:  2.04, gy:  2.17, gz:  0.70, OX: -0.02
1746175733.6699955 N:   45, t: 51268734, dt: 16305, ENC_DEG: 14.26, REF:  0.00, VEL_RAW:  1.35, VEL_AVG: -0.21, I: -8.15, D:  0.02, VEL_OUT: -18.26, MS_MPC: 24183.83, ax:  0.03, ay: -0.03, az:  0.99, gx:  1.13, gy:  1.43, gz:  1.80, OX:  0.10
1746175733.7658556 N:   46, t: 51286899, dt: 18165, ENC_DEG: 14.24, REF:  0.00, VEL_RAW: -1.21, VEL_AVG:  0.07, I: -8.22, D:  0.15, VEL_OUT: -15.60, MS_MPC: 24179.23, ax:  0.03, ay: -0.02, az:  0.99, gx:  0.70, gy:  1.31, gz:  1.74, OX:  0.06
1746175733.7718933 N:   47, t: 51307665, dt: 20766, ENC_DEG: 14.22, REF:  0.00, VEL_RAW: -1.06, VEL_AVG: -0.11, I: -8.33, D: -0.04, VEL_OUT: -18.18, MS_MPC: 24174.63, ax:  0.03, ay: -0.02, az:  0.99, gx:  0.46, gy:  0.34, gz:  0.70, OX: -0.03
1746175733.7774465 N:   48, t: 51328018, dt: 20353, ENC_DEG: 14.26, REF:  0.00, VEL_RAW:  2.16, VEL_AVG:  0.14, I: -8.47, D: -0.03, VEL_OUT: -18.73, MS_MPC: 24183.83, ax:  0.03, ay: -0.03, az:  0.99, gx:  0.21, gy:  0.27, gz:  0.27, OX: -0.06
1746175733.782937  N:   49, t: 51347248, dt: 19230, ENC_DEG: 14.26, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.14, I: -8.62, D:  0.00, VEL_OUT: -18.67, MS_MPC: 24183.83, ax:  0.03, ay: -0.03, az:  0.99, gx:  0.03, gy:  0.03, gz:  0.15, OX: -0.01
1746175733.789533  N:   51, t: 51387898, dt: 15175, ENC_DEG: 14.22, REF:  0.00, VEL_RAW: -1.45, VEL_AVG: -0.04, I: -8.68, D: -0.02, VEL_OUT: -18.03, MS_MPC: 24174.63, ax:  0.03, ay: -0.03, az:  0.99, gx: -0.52, gy: -0.15, gz: -0.09, OX:  0.04
1746175733.8851395 N:   52, t: 51407629, dt: 19731, ENC_DEG: 14.24, REF:  0.00, VEL_RAW:  1.11, VEL_AVG:  0.05, I: -8.73, D: -0.00, VEL_OUT: -17.98, MS_MPC: 24179.23, ax:  0.03, ay: -0.06, az:  0.99, gx: -0.58, gy: -0.27, gz: -0.58, OX: -0.77
1746175733.8924017 N:   53, t: 51413346, dt: 5717, ENC_DEG: 14.26, REF:  0.00, VEL_RAW:  3.84, VEL_AVG:  0.47, I: -8.73, D: -0.00, VEL_OUT: -17.98, MS_MPC: 24179.23, ax:  0.03, ay: -0.06, az:  0.99, gx: -0.58, gy: -0.27, gz: -0.58, OX: -0.77
1746175733.9446042 N:   58, t: 51436047, dt: 2719, ENC_DEG: 13.91, REF:  0.00, VEL_RAW: -40.42, VEL_AVG: -7.96, I: -8.73, D: -0.00, VEL_OUT: -17.98, MS_MPC: 24179.23, ax:  0.03, ay: -0.06, az:  0.99, gx: -0.58, gy: -0.27, gz: -0.58, OX: -0.77
1746175733.950193  N:   60, t: 51449785, dt: 2751, ENC_DEG: 13.82, REF:  0.00, VEL_RAW: -7.99, VEL_AVG: -9.22, I: -8.73, D: -0.00, VEL_OUT: -17.98, MS_MPC: 24179.23, ax:  0.03, ay: -0.06, az:  0.99, gx: -0.58, gy: -0.27, gz: -0.58, OX: -0.77
1746175733.956195  N:   61, t: 51511212, dt: 61427, ENC_DEG: 12.64, REF:  0.00, VEL_RAW: -19.32, VEL_AVG: -10.83, I: -8.73, D: -0.00, VEL_OUT: -17.98, MS_MPC: 24179.23, ax:  0.03, ay: -0.06, az:  0.99, gx: -0.58, gy: -0.27, gz: -0.58, OX: -0.77
1746175733.9621682 N:   62, t: 51514163, dt: 2951, ENC_DEG: 12.55, REF:  0.00, VEL_RAW: -29.78, VEL_AVG: -13.24, I: -8.73, D: -0.00, VEL_OUT: -17.98, MS_MPC: 24179.23, ax:  0.03, ay: -0.06, az:  0.99, gx: -0.58, gy: -0.27, gz: -0.58, OX: -0.77
1746175733.9681554 N:   66, t: 51531901, dt: 3854, ENC_DEG: 12.33, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -17.60, I: -8.73, D: -0.00, VEL_OUT: -17.98, MS_MPC: 24179.23, ax:  0.03, ay: -0.06, az:  0.99, gx: -0.58, gy: -0.27, gz: -0.58, OX: -0.77
1746175733.99984   N:   67, t: 51573029, dt: 41128, ENC_DEG: 11.76, REF:  0.00, VEL_RAW: -13.89, VEL_AVG: -18.05, I: -8.73, D: -0.00, VEL_OUT: -17.98, MS_MPC: 24179.23, ax:  0.03, ay: -0.06, az:  0.99, gx: -0.58, gy: -0.27, gz: -0.58, OX: -0.77
1746175734.0650716 N:   68, t: 51576008, dt: 2979, ENC_DEG: 11.69, REF:  0.00, VEL_RAW: -22.13, VEL_AVG: -17.18, I: -8.73, D: -0.00, VEL_OUT: -17.98, MS_MPC: 24179.23, ax:  0.03, ay: -0.06, az:  0.99, gx: -0.58, gy: -0.27, gz: -0.58, OX: -0.77
1746175734.071395  N:   70, t: 51583301, dt: 2953, ENC_DEG: 11.51, REF:  0.00, VEL_RAW: -22.30, VEL_AVG: -16.97, I: -8.73, D: -0.00, VEL_OUT: -17.98, MS_MPC: 24179.23, ax:  0.03, ay: -0.06, az:  0.99, gx: -0.58, gy: -0.27, gz: -0.58, OX: -0.77
