1746176114.893396  N:   33, t: 24261147, dt: 23209, ENC_DEG: 74.80, REF:  0.00, VEL_RAW:  3.79, VEL_AVG:  0.41, I: -8.25, D: -0.32, VEL_OUT: -23.76, MS_MPC: 27857.29, ax:  0.01, ay: -0.02, az:  0.99, gx: -1.65, gy:  0.61, gz: -1.31, OX: -0.03
1746176114.8995647 N:   34, t: 24278356, dt: 17209, ENC_DEG: 74.73, REF:  0.00, VEL_RAW: -3.83, VEL_AVG:  0.01, I: -8.26, D:  0.40, VEL_OUT: -12.52, MS_MPC: 27873.04, ax:  0.01, ay: -0.01, az:  0.99, gx: -1.77, gy:  0.61, gz: -0.70, OX:  0.08
1746176114.9471953 N:   35, t: 24297638, dt: 19282, ENC_DEG: 74.69, REF:  0.00, VEL_RAW: -2.28, VEL_AVG: -0.02, I: -8.28, D: -0.02, VEL_OUT: -16.92, MS_MPC: 27883.49, ax:  0.00, ay:  0.02, az:  0.99, gx: -1.53, gy:  0.43, gz:  0.34, OX:  0.23
1746176114.9526556 N:   36, t: 24318867, dt: 21229, ENC_DEG: 74.66, REF:  0.00, VEL_RAW: -1.03, VEL_AVG:  0.01, I: -8.28, D:  0.02, VEL_OUT: -16.47, MS_MPC: 27888.70, ax: -0.00, ay:  0.02, az:  1.00, gx: -1.28, gy:  0.00, gz: -0.09, OX:  0.03
1746176114.960225  N:   37, t: 24338396, dt: 19529, ENC_DEG: 74.64, REF:  0.00, VEL_RAW: -1.13, VEL_AVG: -0.31, I: -8.59, D: -0.30, VEL_OUT: -23.23, MS_MPC: 27893.90, ax: -0.00, ay:  0.03, az:  1.00, gx: -1.34, gy: -0.18, gz: -0.21, OX:  0.05
1746176115.0666797 N:   38, t: 24358646, dt: 20250, ENC_DEG: 74.69, REF:  0.00, VEL_RAW:  2.17, VEL_AVG:  0.10, I: -8.69, D:  0.20, VEL_OUT: -16.34, MS_MPC: 27883.49, ax:  0.01, ay:  0.03, az:  1.00, gx: -0.98, gy: -0.31, gz: -0.70, OX:  0.01
1746176115.0728118 N:   39, t: 24378092, dt: 19446, ENC_DEG: 74.58, REF:  0.00, VEL_RAW: -5.65, VEL_AVG: -0.34, I: -9.03, D: -0.24, VEL_OUT: -23.84, MS_MPC: 27909.44, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.61, gy: -0.67, gz: -1.50, OX: -0.24
1746176115.0786996 N:   40, t: 24397394, dt: 19302, ENC_DEG: 74.64, REF:  0.00, VEL_RAW:  3.42, VEL_AVG: -0.15, I: -9.18, D:  0.19, VEL_OUT: -18.04, MS_MPC: 27893.90, ax:  0.01, ay:  0.01, az:  1.01, gx: -0.55, gy: -0.61, gz: -0.95, OX: -0.07
1746176115.084673  N:   41, t: 24416958, dt: 19564, ENC_DEG: 74.66, REF:  0.00, VEL_RAW:  1.12, VEL_AVG: -0.06, I: -9.24, D:  0.09, VEL_OUT: -18.15, MS_MPC: 27888.70, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.92, gy: -0.31, gz: -0.58, OX: -0.05
1746176115.0908203 N:   44, t: 24477065, dt: 18413, ENC_DEG: 74.71, REF:  0.00, VEL_RAW:  3.58, VEL_AVG: -0.07, I: -9.91, D:  0.48, VEL_OUT: -15.75, MS_MPC: 27878.27, ax: -0.01, ay:  0.01, az:  1.00, gx: -1.71, gy: -0.37, gz:  0.34, OX:  0.04
1746176115.0967562 N:   45, t: 24497777, dt: 20712, ENC_DEG: 74.71, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.38, I: -10.30, D: -0.32, VEL_OUT: -27.60, MS_MPC: 27878.27, ax: -0.00, ay:  0.02, az:  1.00, gx: -1.40, gy: -0.73, gz:  0.34, OX:  0.01
1746176115.130082  N:   46, t: 24517342, dt: 19565, ENC_DEG: 74.62, REF:  0.00, VEL_RAW: -4.49, VEL_AVG: -0.44, I: -10.74, D: -0.06, VEL_OUT: -26.42, MS_MPC: 27899.09, ax: -0.00, ay:  0.02, az:  1.01, gx: -0.79, gy: -1.34, gz:  1.01, OX:  0.07
1746176115.190074  N:   47, t: 24542133, dt: 24791, ENC_DEG: 74.69, REF:  0.00, VEL_RAW:  2.66, VEL_AVG: -0.03, I: -10.76, D:  0.41, VEL_OUT: -17.70, MS_MPC: 27883.49, ax:  0.01, ay:  0.04, az:  1.00, gx:  0.00, gy: -1.28, gz:  1.19, OX:  0.04
1746176115.1954875 N:   48, t: 24561339, dt: 19206, ENC_DEG: 74.66, REF:  0.00, VEL_RAW: -1.14, VEL_AVG: -0.04, I: -10.80, D: -0.01, VEL_OUT: -22.07, MS_MPC: 27888.70, ax:  0.02, ay:  0.03, az:  1.00, gx:  0.98, gy: -1.28, gz:  0.89, OX: -0.05
1746176115.2016761 N:   49, t: 24579582, dt: 18243, ENC_DEG: 74.62, REF:  0.00, VEL_RAW: -2.41, VEL_AVG: -0.14, I: -10.95, D: -0.11, VEL_OUT: -24.41, MS_MPC: 27899.09, ax:  0.01, ay:  0.02, az:  1.01, gx:  1.16, gy: -1.04, gz:  0.52, OX: -0.09
1746176115.2075033 N:   50, t: 24598776, dt: 19194, ENC_DEG: 74.66, REF:  0.00, VEL_RAW:  2.29, VEL_AVG: -0.13, I: -11.08, D:  0.01, VEL_OUT: -23.41, MS_MPC: 27888.70, ax:  0.01, ay:  0.02, az:  1.02, gx:  1.16, gy:  0.06, gz:  0.58, OX: -0.09
1746176115.213452  N:   51, t: 24617860, dt: 19084, ENC_DEG: 74.64, REF:  0.00, VEL_RAW: -1.15, VEL_AVG:  0.24, I: -11.32, D: -0.11, VEL_OUT: -26.10, MS_MPC: 27893.90, ax:  0.01, ay:  0.02, az:  1.02, gx:  1.28, gy:  0.37, gz:  0.95, OX:  0.03
1746176115.2498374 N:   52, t: 24636935, dt: 19075, ENC_DEG: 74.69, REF:  0.00, VEL_RAW:  2.30, VEL_AVG:  0.15, I: -11.47, D:  0.09, VEL_OUT: -23.49, MS_MPC: 27883.49, ax:  0.01, ay:  0.03, az:  1.00, gx:  1.04, gy:  1.10, gz:  1.50, OX:  0.15
1746176115.2555518 N:   53, t: 24659151, dt: 22216, ENC_DEG: 74.69, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.05, I: -11.52, D:  0.09, VEL_OUT: -22.65, MS_MPC: 27883.49, ax:  0.01, ay:  0.04, az:  1.00, gx:  0.92, gy:  1.16, gz:  0.95, OX:  0.11
1746176115.3097742 N:   54, t: 24678130, dt: 18979, ENC_DEG: 74.73, REF:  0.00, VEL_RAW:  2.32, VEL_AVG:  0.16, I: -11.68, D: -0.10, VEL_OUT: -25.97, MS_MPC: 27873.04, ax: -0.00, ay:  0.03, az:  1.00, gx:  0.49, gy:  0.73, gz: -0.58, OX: -0.08
