1746017175.1243243 N:   30, t: 43074993, dt: 21733, ENC_DEG: 61.02, REF:  0.00, VEL_RAW: -1.01, VEL_AVG: -0.13, I: -4.55, D:  0.04, VEL_OUT: -10.08, MS_MPC: 29565.65, ax:  0.04, ay:  0.01, az:  0.99, gx:  0.52, gy: -0.67, gz:  1.83, OX:  0.05
1746017175.131006  N:   31, t: 43093389, dt: 18396, ENC_DEG: 61.06, REF:  0.00, VEL_RAW:  2.39, VEL_AVG:  0.07, I: -4.62, D:  0.07, VEL_OUT: -9.25, MS_MPC: 29564.21, ax:  0.05, ay:  0.01, az:  0.99, gx:  0.95, gy: -1.28, gz:  1.71, OX:  0.02
1746017175.17821   N:   32, t: 43112057, dt: 18668, ENC_DEG: 61.04, REF:  0.00, VEL_RAW: -1.18, VEL_AVG: -0.21, I: -4.83, D: -0.15, VEL_OUT: -13.23, MS_MPC: 29564.93, ax:  0.05, ay:  0.01, az:  0.99, gx:  1.07, gy: -1.40, gz:  1.59, OX:  0.02
1746017175.184146  N:   33, t: 43132463, dt: 20406, ENC_DEG: 61.00, REF:  0.00, VEL_RAW: -2.15, VEL_AVG: -0.11, I: -4.94, D:  0.11, VEL_OUT: -9.86, MS_MPC: 29566.36, ax:  0.04, ay:  0.02, az:  0.99, gx:  1.31, gy: -1.10, gz:  1.40, OX:  0.02
1746017175.1901572 N:   34, t: 43151822, dt: 19359, ENC_DEG: 61.06, REF:  0.00, VEL_RAW:  3.40, VEL_AVG:  0.18, I: -5.11, D: -0.07, VEL_OUT: -12.75, MS_MPC: 29564.21, ax:  0.05, ay:  0.01, az:  0.99, gx:  1.37, gy: -0.18, gz:  1.10, OX: -0.01
1746017175.238063  N:   35, t: 43173952, dt: 22130, ENC_DEG: 61.04, REF:  0.00, VEL_RAW: -0.99, VEL_AVG:  0.17, I: -5.29, D:  0.01, VEL_OUT: -12.24, MS_MPC: 29564.93, ax:  0.04, ay:  0.02, az:  0.99, gx:  1.43, gy: -0.24, gz:  0.92, OX:  0.03
1746017175.2958705 N:   36, t: 43194661, dt: 20709, ENC_DEG: 61.06, REF:  0.00, VEL_RAW:  1.06, VEL_AVG:  0.26, I: -5.55, D: -0.09, VEL_OUT: -14.59, MS_MPC: 29564.21, ax:  0.04, ay:  0.01, az:  0.99, gx:  1.62, gy: -0.49, gz: -0.06, OX: -0.04
1746017175.3018193 N:   37, t: 43211817, dt: 17156, ENC_DEG: 61.09, REF:  0.00, VEL_RAW:  1.28, VEL_AVG:  0.37, I: -5.92, D: -0.11, VEL_OUT: -16.58, MS_MPC: 29563.48, ax:  0.04, ay:  0.02, az:  0.99, gx:  1.50, gy: -0.49, gz: -0.18, OX:  0.06
1746017175.3085122 N:   38, t: 43235607, dt: 23790, ENC_DEG: 61.04, REF:  0.00, VEL_RAW: -1.85, VEL_AVG:  0.21, I: -6.13, D:  0.15, VEL_OUT: -12.86, MS_MPC: 29564.93, ax:  0.04, ay:  0.01, az:  0.99, gx:  1.43, gy: -0.37, gz: -0.79, OX: -0.13
1746017175.314466  N:   39, t: 43253081, dt: 17474, ENC_DEG: 61.02, REF:  0.00, VEL_RAW: -1.26, VEL_AVG:  0.00, I: -6.14, D:  0.21, VEL_OUT: -10.23, MS_MPC: 29565.65, ax:  0.05, ay:  0.01, az:  0.99, gx:  1.31, gy: -0.31, gz: -0.55, OX: -0.02
