1746017434.811382  N:   33, t: 33562112, dt: 17476, ENC_DEG: 74.99, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.40, I: -6.31, D: -0.04, VEL_OUT: -17.00, MS_MPC: 27809.47, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.24, gy: -0.67, gz:  0.18, OX: -0.01
1746017434.8173702 N:   34, t: 33582786, dt: 20674, ENC_DEG: 74.97, REF:  0.00, VEL_RAW: -1.06, VEL_AVG: -0.31, I: -6.62, D:  0.09, VEL_OUT: -15.44, MS_MPC: 27814.83, ax:  0.01, ay: -0.00, az:  1.01, gx:  0.12, gy: -0.43, gz:  0.73, OX: -0.02
1746017434.8621795 N:   35, t: 33600718, dt: 17932, ENC_DEG: 75.02, REF:  0.00, VEL_RAW:  2.45, VEL_AVG: -0.25, I: -6.87, D:  0.06, VEL_OUT: -15.55, MS_MPC: 27804.11, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.12, gy: -0.12, gz:  1.22, OX:  0.05
1746017434.86745   N:   36, t: 33623880, dt: 23162, ENC_DEG: 75.02, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.11, I: -6.98, D:  0.13, VEL_OUT: -13.73, MS_MPC: 27804.11, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.06, gy:  0.12, gz:  1.53, OX: -0.00
1746017434.8737874 N:   37, t: 33640425, dt: 16545, ENC_DEG: 75.02, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.11, I: -7.09, D:  0.00, VEL_OUT: -15.30, MS_MPC: 27804.11, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.31, gy:  0.24, gz:  1.28, OX:  0.02
1746017434.9241393 N:   38, t: 33661276, dt: 20851, ENC_DEG: 74.99, REF:  0.00, VEL_RAW: -1.05, VEL_AVG: -0.09, I: -7.18, D:  0.02, VEL_OUT: -15.03, MS_MPC: 27809.47, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.12, gy:  0.00, gz:  0.67, OX: -0.02
1746017434.9291701 N:   39, t: 33681813, dt: 20537, ENC_DEG: 75.02, REF:  0.00, VEL_RAW:  1.07, VEL_AVG: -0.00, I: -7.18, D:  0.09, VEL_OUT: -13.47, MS_MPC: 27804.11, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.61, gy: -0.49, gz:  0.61, OX:  0.00
1746017434.9361084 N:   40, t: 33700077, dt: 18264, ENC_DEG: 74.99, REF:  0.00, VEL_RAW: -1.20, VEL_AVG:  0.07, I: -7.25, D: -0.07, VEL_OUT: -15.93, MS_MPC: 27809.47, ax:  0.01, ay:  0.00, az:  1.01, gx: -0.37, gy: -0.49, gz:  0.61, OX:  0.04
1746017434.9818573 N:   41, t: 33722201, dt: 22124, ENC_DEG: 75.04, REF:  0.00, VEL_RAW:  1.99, VEL_AVG:  0.14, I: -7.39, D: -0.07, VEL_OUT: -16.92, MS_MPC: 27798.73, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.55, gy:  0.55, gz:  1.28, OX: -0.01
1746017434.9880478 N:   42, t: 33739575, dt: 17374, ENC_DEG: 74.99, REF:  0.00, VEL_RAW: -2.53, VEL_AVG: -0.23, I: -7.63, D: -0.09, VEL_OUT: -18.46, MS_MPC: 27809.47, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.61, gy:  0.85, gz:  1.53, OX:  0.00
