1746017902.8059077 N:   36, t: 25803501, dt: 17152, ENC_DEG: 62.18, REF:  0.00, VEL_RAW: -3.84, VEL_AVG:  0.02, I: -5.18, D:  0.32, VEL_OUT: -7.34, MS_MPC: 29520.47, ax:  0.01, ay: -0.01, az:  1.00, gx: -1.59, gy:  0.06, gz:  0.24, OX:  0.04
1746017902.811019  N:   37, t: 25824497, dt: 20996, ENC_DEG: 62.18, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.11, I: -5.29, D: -0.09, VEL_OUT: -12.51, MS_MPC: 29520.47, ax:  0.01, ay: -0.01, az:  1.00, gx: -1.28, gy:  0.18, gz:  0.61, OX:  0.07
1746017902.8170102 N:   38, t: 25843832, dt: 19335, ENC_DEG: 62.14, REF:  0.00, VEL_RAW: -2.27, VEL_AVG: -0.47, I: -5.76, D: -0.36, VEL_OUT: -19.84, MS_MPC: 29522.44, ax:  0.01, ay:  0.00, az:  1.00, gx: -1.10, gy:  0.37, gz:  0.18, OX:  0.03
1746017902.8236992 N:   39, t: 25865041, dt: 21209, ENC_DEG: 62.18, REF:  0.00, VEL_RAW:  2.07, VEL_AVG: -0.13, I: -5.89, D:  0.34, VEL_OUT: -9.72, MS_MPC: 29520.47, ax:  0.01, ay:  0.01, az:  0.99, gx: -0.49, gy:  0.06, gz: -0.12, OX:  0.03
1746017902.8678582 N:   40, t: 25884535, dt: 19494, ENC_DEG: 62.18, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.13, I: -6.02, D:  0.00, VEL_OUT: -13.36, MS_MPC: 29520.47, ax:  0.02, ay:  0.00, az:  1.00, gx: -0.06, gy: -0.37, gz: -1.77, OX: -0.03
1746017903.0424166 N:   41, t: 25903042, dt: 18507, ENC_DEG: 62.14, REF:  0.00, VEL_RAW: -2.38, VEL_AVG: -0.41, I: -6.43, D: -0.28, VEL_OUT: -19.79, MS_MPC: 29522.44, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.73, gy: -1.04, gz: -2.32, OX: -0.08
1746017903.0485082 N:   42, t: 25927313, dt: 24271, ENC_DEG: 62.14, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.11, I: -6.54, D:  0.30, VEL_OUT: -11.18, MS_MPC: 29522.44, ax:  0.01, ay: -0.02, az:  1.01, gx:  0.79, gy: -0.79, gz: -1.71, OX: -0.05
1746017903.0544941 N:   43, t: 25949053, dt: 21740, ENC_DEG: 62.12, REF:  0.00, VEL_RAW: -1.01, VEL_AVG: -0.28, I: -6.83, D: -0.17, VEL_OUT: -18.20, MS_MPC: 29523.42, ax:  0.01, ay: -0.02, az:  1.00, gx:  0.85, gy: -0.31, gz: -0.49, OX:  0.00
1746017903.0604842 N:   45, t: 25984735, dt: 18333, ENC_DEG: 62.16, REF:  0.00, VEL_RAW: -3.60, VEL_AVG: -0.13, I: -7.29, D:  0.21, VEL_OUT: -13.79, MS_MPC: 29521.46, ax:  0.02, ay: -0.01, az:  0.99, gx:  0.67, gy:  0.12, gz:  0.85, OX:  0.07
1746017903.066466  N:   48, t: 26047306, dt: 22463, ENC_DEG: 62.16, REF:  0.00, VEL_RAW:  0.98, VEL_AVG: -0.14, I: -8.02, D:  0.40, VEL_OUT: -13.38, MS_MPC: 29521.46, ax:  0.01, ay:  0.01, az:  1.01, gx:  0.67, gy:  0.92, gz:  1.04, OX:  0.02
