1746017547.9203174 N:   56, t: 29215622, dt: 21599, ENC_DEG: 36.74, REF:  0.00, VEL_RAW: -1.02, VEL_AVG:  0.01, I: -11.19, D:  0.27, VEL_OUT: -19.86, MS_MPC: 28081.95, ax: -0.01, ay: -0.04, az:  1.01, gx:  0.64, gy:  0.67, gz: -0.61, OX: -0.00
1746017548.0191026 N:   57, t: 29235037, dt: 19415, ENC_DEG: 36.70, REF:  0.00, VEL_RAW: -2.26, VEL_AVG: -0.17, I: -11.36, D: -0.16, VEL_OUT: -26.06, MS_MPC: 28076.18, ax: -0.01, ay: -0.04, az:  1.01, gx:  0.46, gy:  0.92, gz: -0.12, OX: -0.03
1746017548.0250566 N:   58, t: 29255202, dt: 20165, ENC_DEG: 36.74, REF:  0.00, VEL_RAW:  2.18, VEL_AVG:  0.01, I: -11.37, D:  0.17, VEL_OUT: -21.14, MS_MPC: 28081.95, ax: -0.01, ay: -0.04, az:  1.01, gx:  0.40, gy:  1.10, gz:  0.37, OX:  0.02
1746017548.0310972 N:   60, t: 29294554, dt: 19971, ENC_DEG: 36.74, REF:  0.00, VEL_RAW: -2.20, VEL_AVG:  0.32, I: -11.72, D: -0.29, VEL_OUT: -29.51, MS_MPC: 28081.95, ax: -0.01, ay: -0.03, az:  1.01, gx:  0.40, gy:  0.73, gz:  0.06, OX:  0.01
1746017548.0370822 N:   61, t: 29314141, dt: 19587, ENC_DEG: 36.70, REF:  0.00, VEL_RAW: -2.25, VEL_AVG: -0.23, I: -11.95, D:  0.09, VEL_OUT: -25.34, MS_MPC: 28076.18, ax: -0.01, ay: -0.04, az:  1.01, gx:  0.21, gy:  0.49, gz: -0.18, OX: -0.01
1746017548.04221   N:   64, t: 29376026, dt: 17164, ENC_DEG: 36.70, REF:  0.00, VEL_RAW: -2.56, VEL_AVG:  0.07, I: -12.32, D:  0.12, VEL_OUT: -24.14, MS_MPC: 28076.18, ax: -0.00, ay: -0.04, az:  1.01, gx:  1.19, gy: -0.12, gz: -0.67, OX:  0.03
1746017548.143563  N:   65, t: 29417584, dt: 41558, ENC_DEG: 36.70, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.07, I: -12.38, D:  0.00, VEL_OUT: -25.46, MS_MPC: 28076.18, ax: -0.00, ay: -0.05, az:  1.01, gx:  1.68, gy:  0.00, gz:  0.00, OX: -0.06
1746017548.149544  N:   66, t: 29435010, dt: 17426, ENC_DEG: 36.67, REF:  0.00, VEL_RAW: -1.26, VEL_AVG: -0.20, I: -12.58, D: -0.13, VEL_OUT: -28.43, MS_MPC: 28073.29, ax: -0.00, ay: -0.05, az:  1.01, gx:  1.68, gy:  0.18, gz:  0.43, OX: -0.01
1746017548.1555333 N:   67, t: 29456532, dt: 21522, ENC_DEG: 36.76, REF:  0.00, VEL_RAW:  4.08, VEL_AVG: -0.09, I: -12.67, D:  0.11, VEL_OUT: -25.11, MS_MPC: 28084.83, ax: -0.00, ay: -0.05, az:  1.01, gx:  1.98, gy:  0.18, gz:  1.10, OX:  0.01
1746017548.1605108 N:   68, t: 29474986, dt: 18454, ENC_DEG: 36.72, REF:  0.00, VEL_RAW: -2.38, VEL_AVG: -0.20, I: -12.87, D: -0.11, VEL_OUT: -28.89, MS_MPC: 28079.07, ax: -0.00, ay: -0.05, az:  1.01, gx:  1.98, gy:  0.18, gz:  1.22, OX:  0.01
1746017548.1675112 N:   70, t: 29514950, dt: 19447, ENC_DEG: 36.70, REF:  0.00, VEL_RAW: -2.26, VEL_AVG: -0.29, I: -13.24, D: -0.22, VEL_OUT: -31.57, MS_MPC: 28076.18, ax: -0.00, ay: -0.04, az:  1.01, gx:  2.29, gy: -0.24, gz:  1.89, OX:  0.02
1746017548.2027662 N:   71, t: 29555960, dt: 41010, ENC_DEG: 36.72, REF:  0.00, VEL_RAW:  0.54, VEL_AVG: -0.44, I: -13.68, D: -0.14, VEL_OUT: -33.17, MS_MPC: 28079.07, ax: -0.00, ay: -0.04, az:  1.01, gx:  2.11, gy:  0.12, gz: 17.52, OX: -0.08
1746017548.2091274 N:   72, t: 29575351, dt: 19391, ENC_DEG: 36.70, REF:  0.00, VEL_RAW: -1.13, VEL_AVG: -0.35, I: -14.03, D:  0.09, VEL_OUT: -30.65, MS_MPC: 28076.18, ax: -0.00, ay: -0.04, az:  1.01, gx:  2.23, gy:  0.06, gz:  1.89, OX:  0.02
1746017548.263655  N:   73, t: 29594224, dt: 18873, ENC_DEG: 36.76, REF:  0.00, VEL_RAW:  3.49, VEL_AVG:  0.13, I: -14.16, D:  0.22, VEL_OUT: -27.42, MS_MPC: 28084.83, ax: -0.00, ay: -0.04, az:  1.01, gx:  1.80, gy:  0.06, gz:  1.04, OX: -0.01
1746017548.269312  N:   74, t: 29613788, dt: 19564, ENC_DEG: 36.76, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.04, I: -14.20, D:  0.09, VEL_OUT: -27.99, MS_MPC: 28084.83, ax: -0.00, ay: -0.04, az:  1.02, gx:  1.92, gy:  0.00, gz:  0.85, OX: -0.01
1746017548.2752645 N:   75, t: 29639055, dt: 25267, ENC_DEG: 36.72, REF:  0.00, VEL_RAW: -1.74, VEL_AVG: -0.18, I: -14.38, D: -0.13, VEL_OUT: -31.90, MS_MPC: 28079.07, ax: -0.00, ay: -0.04, az:  1.03, gx:  1.56, gy: -0.18, gz:  0.61, OX: -0.01
1746017548.3228676 N:   76, t: 29654812, dt: 15757, ENC_DEG: 36.74, REF:  0.00, VEL_RAW:  1.39, VEL_AVG:  0.15, I: -14.53, D:  0.03, VEL_OUT: -30.27, MS_MPC: 28081.95, ax: -0.00, ay: -0.03, az:  1.03, gx:  1.07, gy:  0.49, gz:  0.73, OX:  0.10
1746017548.328841  N:   77, t: 29675859, dt: 21047, ENC_DEG: 36.72, REF:  0.00, VEL_RAW: -1.04, VEL_AVG:  0.06, I: -14.59, D:  0.09, VEL_OUT: -28.95, MS_MPC: 28079.07, ax: -0.00, ay: -0.04, az:  1.02, gx:  1.19, gy:  0.67, gz:  0.67, OX: -0.02
1746017548.3356493 N:   78, t: 29695199, dt: 19340, ENC_DEG: 36.76, REF:  0.00, VEL_RAW:  2.27, VEL_AVG:  0.36, I: -14.95, D: -0.29, VEL_OUT: -36.42, MS_MPC: 28084.83, ax: -0.00, ay: -0.04, az:  1.01, gx:  1.01, gy:  0.79, gz:  0.43, OX: -0.00
1746017548.3835866 N:   79, t: 29719737, dt: 24538, ENC_DEG: 36.70, REF:  0.00, VEL_RAW: -2.69, VEL_AVG: -0.21, I: -15.16, D:  0.15, VEL_OUT: -30.87, MS_MPC: 28076.18, ax: -0.01, ay: -0.04, az:  1.01, gx:  1.19, gy:  0.92, gz:  0.06, OX:  0.18
1746017548.3901358 N:   80, t: 29737136, dt: 17399, ENC_DEG: 36.76, REF:  0.00, VEL_RAW:  3.79, VEL_AVG:  0.31, I: -15.47, D: -0.10, VEL_OUT: -35.02, MS_MPC: 28084.83, ax: -0.01, ay: -0.05, az:  1.01, gx:  1.07, gy:  1.10, gz: -0.18, OX: -0.02
1746017548.4426122 N:   81, t: 29755538, dt: 18402, ENC_DEG: 36.70, REF:  0.00, VEL_RAW: -3.58, VEL_AVG: -0.08, I: -15.55, D:  0.23, VEL_OUT: -29.62, MS_MPC: 28076.18, ax: -0.00, ay: -0.04, az:  1.01, gx:  1.13, gy:  1.34, gz: -0.37, OX:  0.03
1746017548.4479806 N:   82, t: 29774509, dt: 18971, ENC_DEG: 36.67, REF:  0.00, VEL_RAW: -1.16, VEL_AVG:  0.01, I: -15.56, D:  0.07, VEL_OUT: -30.55, MS_MPC: 28073.29, ax: -0.00, ay: -0.04, az:  1.02, gx:  1.43, gy:  1.10, gz: -0.67, OX:  0.01
1746017548.4535358 N:   83, t: 29793794, dt: 19285, ENC_DEG: 36.76, REF:  0.00, VEL_RAW:  4.56, VEL_AVG:  0.35, I: -15.90, D: -0.34, VEL_OUT: -38.63, MS_MPC: 28084.83, ax: -0.00, ay: -0.05, az:  1.02, gx:  1.31, gy:  1.10, gz: -1.04, OX: -0.08
1746017548.4601765 N:   84, t: 29814320, dt: 20526, ENC_DEG: 36.72, REF:  0.00, VEL_RAW: -2.14, VEL_AVG:  0.26, I: -16.17, D:  0.08, VEL_OUT: -34.12, MS_MPC: 28079.07, ax:  0.00, ay: -0.05, az:  1.01, gx:  1.13, gy:  1.46, gz: -0.92, OX: -0.06
1746017548.4656456 N:   85, t: 29836493, dt: 22173, ENC_DEG: 36.70, REF:  0.00, VEL_RAW: -0.99, VEL_AVG: -0.11, I: -16.28, D:  0.15, VEL_OUT: -32.14, MS_MPC: 28076.18, ax:  0.00, ay: -0.06, az:  1.01, gx:  0.76, gy:  1.46, gz: -0.31, OX: -0.01
