1746025554.9777462 N:   66, t: 35767587, dt: 19087, ENC_DEG: 64.73, REF:  0.00, VEL_RAW: -2.30, VEL_AVG: -0.04, I: -9.25, D:  0.11, VEL_OUT: -17.87, MS_MPC: 29368.12, ax: -0.01, ay: -0.05, az:  1.02, gx: -0.43, gy: -0.43, gz: -1.62, OX: -0.06
1746025555.0216408 N:   69, t: 35827009, dt: 18604, ENC_DEG: 64.75, REF:  0.00, VEL_RAW:  2.36, VEL_AVG:  0.06, I: -9.49, D:  0.07, VEL_OUT: -18.92, MS_MPC: 29366.47, ax: -0.01, ay: -0.05, az:  1.03, gx: -1.28, gy:  0.00, gz: -0.76, OX:  0.00
1746025555.027612  N:   70, t: 35848889, dt: 21880, ENC_DEG: 64.75, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.06, I: -9.55, D:  0.00, VEL_OUT: -19.74, MS_MPC: 29366.47, ax: -0.01, ay: -0.05, az:  1.03, gx: -1.59, gy: -0.06, gz: -0.58, OX:  0.01
1746025555.0336206 N:   71, t: 35867952, dt: 19063, ENC_DEG: 64.71, REF:  0.00, VEL_RAW: -2.31, VEL_AVG: -0.13, I: -9.68, D: -0.06, VEL_OUT: -21.30, MS_MPC: 29369.76, ax: -0.01, ay: -0.06, az:  1.03, gx: -2.14, gy:  0.12, gz: -1.01, OX: -0.05
1746025555.1383538 N:   72, t: 35887167, dt: 19215, ENC_DEG: 64.78, REF:  0.00, VEL_RAW:  3.43, VEL_AVG:  0.25, I: -9.93, D: -0.12, VEL_OUT: -23.59, MS_MPC: 29364.81, ax: -0.01, ay: -0.05, az:  1.03, gx: -2.32, gy:  0.43, gz: -0.82, OX:  0.03
1746025555.144335  N:   73, t: 35907524, dt: 20357, ENC_DEG: 64.75, REF:  0.00, VEL_RAW: -1.08, VEL_AVG: -0.03, I: -9.96, D:  0.22, VEL_OUT: -17.98, MS_MPC: 29366.47, ax: -0.00, ay: -0.05, az:  1.02, gx: -2.50, gy:  0.49, gz: -0.52, OX:  0.02
1746025555.1512814 N:   74, t: 35926971, dt: 19447, ENC_DEG: 64.75, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.07, I: -10.03, D: -0.04, VEL_OUT: -21.09, MS_MPC: 29366.47, ax: -0.00, ay: -0.05, az:  1.02, gx: -2.38, gy:  1.22, gz:  0.52, OX:  0.07
1746025555.1573052 N:   75, t: 35947439, dt: 20468, ENC_DEG: 64.75, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.30, I: -10.33, D: -0.24, VEL_OUT: -26.07, MS_MPC: 29366.47, ax: -0.01, ay: -0.04, az:  1.02, gx: -1.95, gy:  1.89, gz:  1.07, OX:  0.04
1746025555.2011788 N:   78, t: 36010043, dt: 22893, ENC_DEG: 64.78, REF:  0.00, VEL_RAW:  0.96, VEL_AVG:  0.13, I: -10.77, D:  0.00, VEL_OUT: -22.83, MS_MPC: 29364.81, ax: -0.01, ay: -0.04, az:  1.01, gx: -1.65, gy:  2.20, gz:  0.89, OX: -0.01
1746025555.2071702 N:   79, t: 36027594, dt: 17551, ENC_DEG: 64.73, REF:  0.00, VEL_RAW: -2.50, VEL_AVG: -0.08, I: -10.85, D:  0.06, VEL_OUT: -21.85, MS_MPC: 29368.12, ax: -0.01, ay: -0.04, az:  1.01, gx: -1.71, gy:  1.95, gz:  1.31, OX:  0.12
1746025555.2141123 N:   80, t: 36047077, dt: 19483, ENC_DEG: 64.75, REF:  0.00, VEL_RAW:  1.13, VEL_AVG:  0.11, I: -10.95, D: -0.03, VEL_OUT: -23.34, MS_MPC: 29366.47, ax: -0.01, ay: -0.03, az:  1.01, gx: -1.71, gy:  2.08, gz:  1.80, OX:  0.03
