1746025651.0284152 N:   59, t: 29848811, dt: 19076, ENC_DEG:  4.33, REF:  0.00, VEL_RAW: -2.30, VEL_AVG: -0.27, I: -12.27, D: -0.19, VEL_OUT: -29.13, MS_MPC: 21978.52, ax:  0.00, ay: -0.01, az:  1.01, gx: -0.18, gy: -0.24, gz:  0.61, OX: -0.05
1746025651.1399658 N:   60, t: 29872007, dt: 23196, ENC_DEG:  4.37, REF:  0.00, VEL_RAW:  1.89, VEL_AVG:  0.05, I: -12.32, D:  0.22, VEL_OUT: -23.00, MS_MPC: 21988.80, ax:  0.00, ay: -0.01, az:  1.01, gx: -0.06, gy:  0.18, gz:  0.79, OX:  0.00
1746025651.1459506 N:   61, t: 29890058, dt: 18051, ENC_DEG:  4.35, REF:  0.00, VEL_RAW: -1.22, VEL_AVG: -0.21, I: -12.53, D: -0.16, VEL_OUT: -28.83, MS_MPC: 21983.66, ax: -0.00, ay: -0.01, az:  1.01, gx:  0.43, gy:  0.49, gz:  1.22, OX:  0.01
1746025651.151934  N:   62, t: 29912317, dt: 22259, ENC_DEG:  4.35, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.11, I: -12.64, D:  0.11, VEL_OUT: -25.28, MS_MPC: 21983.66, ax: -0.01, ay: -0.01, az:  1.00, gx:  0.18, gy:  0.79, gz:  1.40, OX:  0.00
1746025651.157918  N:   63, t: 29931725, dt: 19408, ENC_DEG:  4.35, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.12, I: -12.76, D: -0.01, VEL_OUT: -26.76, MS_MPC: 21983.66, ax: -0.01, ay: -0.01, az:  1.00, gx:  0.55, gy:  1.10, gz:  1.71, OX:  0.03
1746025651.163901  N:   66, t: 29989295, dt: 15175, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  4.34, VEL_AVG:  0.26, I: -13.23, D: -0.15, VEL_OUT: -30.57, MS_MPC: 21993.95, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.31, gy:  1.71, gz:  1.53, OX:  0.00
1746025651.3222098 N:   67, t: 30014482, dt: 25187, ENC_DEG:  4.35, REF:  0.00, VEL_RAW: -1.74, VEL_AVG:  0.11, I: -13.35, D:  0.15, VEL_OUT: -26.36, MS_MPC: 21983.66, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.06, gy:  1.16, gz:  1.34, OX:  0.00
1746025651.328194  N:   68, t: 30030765, dt: 16283, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  2.70, VEL_AVG:  0.34, I: -13.68, D: -0.22, VEL_OUT: -32.98, MS_MPC: 21993.95, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.43, gy:  1.04, gz:  1.53, OX: -0.01
1746025651.3341808 N:   69, t: 30050165, dt: 19400, ENC_DEG:  4.33, REF:  0.00, VEL_RAW: -3.40, VEL_AVG: -0.05, I: -13.73, D:  0.28, VEL_OUT: -25.15, MS_MPC: 21978.52, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.79, gy:  0.79, gz:  0.92, OX:  0.00
1746025651.3401566 N:   70, t: 30072380, dt: 22215, ENC_DEG:  4.37, REF:  0.00, VEL_RAW:  1.98, VEL_AVG:  0.11, I: -13.85, D: -0.06, VEL_OUT: -29.42, MS_MPC: 21988.80, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.73, gy:  0.67, gz:  0.73, OX:  0.02
1746025651.3461409 N:   74, t: 30149189, dt: 18183, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  1.21, VEL_AVG:  0.33, I: -14.66, D: -0.10, VEL_OUT: -33.64, MS_MPC: 21993.95, ax: -0.00, ay:  0.00, az:  1.00, gx: -0.06, gy: -0.73, gz: -0.55, OX: -0.01
1746025651.3520942 N:   75, t: 30191658, dt: 42469, ENC_DEG:  4.35, REF:  0.00, VEL_RAW: -1.03, VEL_AVG:  0.25, I: -14.91, D:  0.09, VEL_OUT: -31.40, MS_MPC: 21983.66, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.31, gy: -1.65, gz: -0.92, OX: -0.02
1746025651.3830109 N:   76, t: 30210757, dt: 19099, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  2.30, VEL_AVG:  0.44, I: -15.34, D: -0.19, VEL_OUT: -36.97, MS_MPC: 21993.95, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.24, gy: -1.77, gz: -0.98, OX: -0.02
