1746024875.5711532 N:   29, t: 26415738, dt: 18760, ENC_DEG: 77.81, REF:  0.00, VEL_RAW: -2.34, VEL_AVG: -0.01, I: -8.59, D:  0.18, VEL_OUT: -15.45, MS_MPC: 27034.38, ax:  0.01, ay:  0.00, az:  1.01, gx: -2.20, gy: -2.87, gz: -6.35, OX: -0.07
1746024875.5771368 N:   30, t: 26438555, dt: 22817, ENC_DEG: 77.87, REF:  0.00, VEL_RAW:  2.89, VEL_AVG:  0.23, I: -8.83, D: -0.23, VEL_OUT: -22.25, MS_MPC: 27013.95, ax:  0.01, ay: -0.00, az:  1.00, gx: -2.14, gy: -2.08, gz: -6.53, OX: -0.02
1746024875.5841196 N:   31, t: 26456324, dt: 17769, ENC_DEG: 77.87, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.05, I: -8.88, D:  0.18, VEL_OUT: -16.47, MS_MPC: 27013.95, ax:  0.02, ay: -0.01, az:  1.00, gx: -1.65, gy: -1.16, gz: -6.10, OX: -0.12
1746024875.5891073 N:   32, t: 26475663, dt: 19339, ENC_DEG: 77.83, REF:  0.00, VEL_RAW: -2.27, VEL_AVG: -0.31, I: -9.19, D: -0.26, VEL_OUT: -24.00, MS_MPC: 27027.58, ax:  0.02, ay: -0.02, az:  1.00, gx: -0.79, gy: -0.73, gz: -4.82, OX: -0.06
1746024875.5960886 N:   33, t: 26497967, dt: 22304, ENC_DEG: 77.78, REF:  0.00, VEL_RAW: -1.97, VEL_AVG: -0.38, I: -9.57, D: -0.08, VEL_OUT: -23.73, MS_MPC: 27041.16, ax:  0.02, ay: -0.02, az:  1.00, gx: -0.12, gy:  0.67, gz: -2.75, OX: -0.01
1746024875.633986  N:   34, t: 26517363, dt: 19396, ENC_DEG: 77.83, REF:  0.00, VEL_RAW:  2.27, VEL_AVG: -0.35, I: -9.92, D:  0.03, VEL_OUT: -23.09, MS_MPC: 27027.58, ax:  0.01, ay: -0.02, az:  1.00, gx:  1.34, gy:  2.32, gz: -2.01, OX:  0.02
1746024875.6390057 N:   35, t: 26536178, dt: 18815, ENC_DEG: 77.85, REF:  0.00, VEL_RAW:  1.17, VEL_AVG: -0.14, I: -10.06, D:  0.22, VEL_OUT: -19.29, MS_MPC: 27020.77, ax:  0.01, ay: -0.02, az:  1.00, gx:  2.20, gy:  3.66, gz: -1.04, OX: -0.08
1746024875.645955  N:   36, t: 26557592, dt: 21414, ENC_DEG: 77.83, REF:  0.00, VEL_RAW: -1.03, VEL_AVG: -0.41, I: -10.47, D: -0.27, VEL_OUT: -27.77, MS_MPC: 27027.58, ax:  0.02, ay: -0.02, az:  1.00, gx:  2.44, gy:  3.66, gz:  0.00, OX:  0.03
1746024875.6938245 N:   37, t: 26579491, dt: 21899, ENC_DEG: 77.87, REF:  0.00, VEL_RAW:  2.01, VEL_AVG:  0.01, I: -10.48, D:  0.40, VEL_OUT: -17.07, MS_MPC: 27013.95, ax:  0.02, ay: -0.02, az:  1.00, gx:  2.93, gy:  2.99, gz:  1.10, OX:  0.03
1746024875.6998086 N:   38, t: 26596737, dt: 17246, ENC_DEG: 77.85, REF:  0.00, VEL_RAW: -1.27, VEL_AVG: -0.19, I: -10.67, D: -0.18, VEL_OUT: -25.05, MS_MPC: 27020.77, ax:  0.01, ay: -0.01, az:  0.99, gx:  2.75, gy:  2.44, gz:  1.22, OX:  0.07
