1746174080.9876432 N:   34, t: 22351613, dt: 25371, ENC_DEG:  5.56, REF:  0.00, VEL_RAW:  2.60, VEL_AVG:  0.04, I: -6.82, D:  0.09, VEL_OUT: -13.18, MS_MPC: 22264.86, ax:  0.05, ay:  0.01, az:  1.00, gx: -0.64, gy:  0.21, gz:  0.06, OX: -0.02
1746174081.0969644 N:   35, t: 22365853, dt: 14240, ENC_DEG:  5.49, REF:  0.00, VEL_RAW: -4.63, VEL_AVG: -0.43, I: -7.25, D: -0.39, VEL_OUT: -22.67, MS_MPC: 22249.61, ax:  0.05, ay:  0.01, az:  1.00, gx: -0.70, gy:  0.09, gz:  0.06, OX: -0.02
1746174081.2227223 N:   36, t: 22385264, dt: 19411, ENC_DEG:  5.47, REF:  0.00, VEL_RAW: -1.13, VEL_AVG: -0.34, I: -7.59, D:  0.09, VEL_OUT: -17.72, MS_MPC: 22244.52, ax:  0.06, ay:  0.01, az:  1.00, gx: -0.58, gy:  0.40, gz: -0.06, OX: -0.00
1746174081.2277474 N:   37, t: 22406164, dt: 20900, ENC_DEG:  5.47, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.13, I: -7.73, D:  0.21, VEL_OUT: -14.72, MS_MPC: 22244.52, ax:  0.07, ay:  0.00, az:  0.99, gx: -0.58, gy:  0.34, gz: -0.18, OX: -0.02
1746174081.2341776 N:   38, t: 22430720, dt: 24556, ENC_DEG:  5.49, REF:  0.00, VEL_RAW:  0.89, VEL_AVG: -0.41, I: -8.14, D: -0.28, VEL_OUT: -23.16, MS_MPC: 22249.61, ax:  0.06, ay:  0.01, az:  0.98, gx: -0.21, gy:  0.27, gz:  0.00, OX:  0.01
1746174081.2401495 N:   41, t: 22487191, dt: 21954, ENC_DEG:  5.47, REF:  0.00, VEL_RAW: -3.00, VEL_AVG: -0.35, I: -8.77, D: -0.25, VEL_OUT: -23.51, MS_MPC: 22244.52, ax:  0.05, ay:  0.01, az:  1.00, gx:  0.03, gy: -0.64, gz: -1.53, OX: -0.02
1746174081.2461317 N:   44, t: 22545085, dt: 20407, ENC_DEG:  5.54, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.15, I: -9.32, D:  0.08, VEL_OUT: -19.33, MS_MPC: 22259.77, ax:  0.06, ay: -0.01, az:  0.99, gx:  0.46, gy: -0.52, gz: -1.34, OX: -0.06
1746174081.33909   N:   45, t: 22625763, dt: 80678, ENC_DEG:  5.49, REF:  0.00, VEL_RAW: -0.54, VEL_AVG:  0.02, I: -9.34, D:  0.13, VEL_OUT: -17.57, MS_MPC: 22249.61, ax:  0.05, ay:  0.00, az:  0.99, gx:  0.21, gy: -0.89, gz:  0.31, OX: -0.01
1746174081.345757  N:   46, t: 22646146, dt: 20383, ENC_DEG:  5.54, REF:  0.00, VEL_RAW:  2.16, VEL_AVG: -0.02, I: -9.35, D:  0.01, VEL_OUT: -18.81, MS_MPC: 22259.77, ax:  0.05, ay: -0.00, az:  0.99, gx:  0.27, gy: -0.46, gz:  0.73, OX: -0.01
1746174081.395378  N:   47, t: 22665506, dt: 19360, ENC_DEG:  5.54, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.37, I: -9.72, D: -0.35, VEL_OUT: -26.69, MS_MPC: 22259.77, ax:  0.06, ay: -0.00, az:  0.99, gx:  0.09, gy: -0.21, gz:  1.04, OX: -0.00
1746174081.4020567 N:   48, t: 22685451, dt: 19945, ENC_DEG:  5.56, REF:  0.00, VEL_RAW:  1.10, VEL_AVG:  0.56, I: -10.28, D: -0.19, VEL_OUT: -27.98, MS_MPC: 22264.86, ax:  0.06, ay: -0.00, az:  0.99, gx:  0.03, gy: -0.27, gz:  1.22, OX:  0.01
1746174081.4098125 N:   50, t: 22725079, dt: 13482, ENC_DEG:  5.49, REF:  0.00, VEL_RAW:  3.26, VEL_AVG:  0.40, I: -10.89, D: -0.20, VEL_OUT: -27.78, MS_MPC: 22249.61, ax:  0.05, ay:  0.01, az:  0.99, gx:  0.03, gy: -0.40, gz:  1.10, OX:  0.02
1746174081.415795  N:   51, t: 22744891, dt: 19812, ENC_DEG:  5.49, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.28, I: -11.17, D:  0.12, VEL_OUT: -23.99, MS_MPC: 22249.61, ax:  0.06, ay:  0.01, az:  1.00, gx:  0.27, gy: -0.58, gz:  0.49, OX:  0.05
1746174081.5820582 N:   53, t: 22788747, dt: 23664, ENC_DEG:  5.52, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.53, I: -11.98, D: -0.25, VEL_OUT: -31.75, MS_MPC: 22254.69, ax:  0.06, ay:  0.01, az:  1.00, gx:  0.70, gy: -0.58, gz: -0.31, OX:  0.01
1746174081.588042  N:   54, t: 22805482, dt: 16735, ENC_DEG:  5.49, REF:  0.00, VEL_RAW: -1.31, VEL_AVG:  0.32, I: -12.30, D:  0.21, VEL_OUT: -25.70, MS_MPC: 22249.61, ax:  0.06, ay:  0.01, az:  1.00, gx:  0.76, gy: -0.58, gz: -0.67, OX: -0.02
1746174081.639978  N:   55, t: 22824796, dt: 19314, ENC_DEG:  5.54, REF:  0.00, VEL_RAW:  2.28, VEL_AVG:  0.32, I: -12.62, D:  0.00, VEL_OUT: -28.41, MS_MPC: 22259.77, ax:  0.05, ay:  0.01, az:  1.00, gx:  0.76, gy: -0.58, gz: -0.73, OX: -0.04
1746174081.701485  N:   56, t: 22851440, dt: 26644, ENC_DEG:  5.49, REF:  0.00, VEL_RAW: -1.65, VEL_AVG:  0.18, I: -12.80, D:  0.14, VEL_OUT: -26.03, MS_MPC: 22249.61, ax:  0.05, ay:  0.01, az:  0.99, gx:  0.95, gy: -0.40, gz: -0.43, OX:  0.01
1746174081.7070887 N:   60, t: 22924992, dt: 17084, ENC_DEG:  5.47, REF:  0.00, VEL_RAW: -1.29, VEL_AVG: -0.04, I: -13.40, D:  0.11, VEL_OUT: -26.15, MS_MPC: 22244.52, ax:  0.05, ay:  0.00, az:  1.00, gx:  0.27, gy: -0.46, gz:  0.18, OX:  0.02
1746174081.7131166 N:   61, t: 22985703, dt: 60711, ENC_DEG:  5.47, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.31, I: -13.71, D: -0.26, VEL_OUT: -33.09, MS_MPC: 22244.52, ax:  0.06, ay:  0.00, az:  1.00, gx: -0.27, gy: -0.03, gz:  0.06, OX: -0.04
1746174081.7190533 N:   63, t: 23031102, dt: 26293, ENC_DEG:  5.43, REF:  0.00, VEL_RAW: -3.34, VEL_AVG: -0.05, I: -13.99, D:  0.17, VEL_OUT: -26.78, MS_MPC: 22234.35, ax:  0.05, ay:  0.00, az:  0.99, gx: -0.09, gy:  0.09, gz:  0.49, OX:  0.00
1746174081.7250354 N:   66, t: 23088129, dt: 20927, ENC_DEG:  5.49, REF:  0.00, VEL_RAW:  2.10, VEL_AVG:  0.37, I: -14.69, D: -0.28, VEL_OUT: -35.91, MS_MPC: 22249.61, ax:  0.05, ay:  0.01, az:  1.00, gx: -0.21, gy: -0.09, gz: -0.12, OX: -0.01
1746174081.7614644 N:   67, t: 23108497, dt: 20368, ENC_DEG:  5.52, REF:  0.00, VEL_RAW:  1.08, VEL_AVG:  0.27, I: -14.96, D:  0.10, VEL_OUT: -31.61, MS_MPC: 22254.69, ax:  0.06, ay:  0.00, az:  1.00, gx: -0.09, gy:  0.09, gz: -0.31, OX: -0.06
