1746174369.7299223 N:   53, t: 23944124, dt: 19483, ENC_DEG: 81.81, REF:  0.00, VEL_RAW: -1.13, VEL_AVG: -0.31, I: -15.22, D: -0.27, VEL_OUT: -36.28, MS_MPC: 25583.90, ax: -0.03, ay:  0.02, az:  1.01, gx: -1.04, gy: -0.82, gz:  2.96, OX:  0.07
1746174369.7643986 N:   54, t: 23964402, dt: 20278, ENC_DEG: 81.87, REF:  0.00, VEL_RAW:  3.25, VEL_AVG:  0.16, I: -15.38, D:  0.15, VEL_OUT: -30.82, MS_MPC: 25556.12, ax: -0.02, ay:  0.02, az:  1.00, gx: -1.22, gy: -0.89, gz:  2.47, OX:  0.26
1746174369.770895  N:   55, t: 23983255, dt: 18853, ENC_DEG: 81.85, REF:  0.00, VEL_RAW: -1.17, VEL_AVG: -0.20, I: -15.58, D: -0.04, VEL_OUT: -33.51, MS_MPC: 25565.40, ax: -0.02, ay:  0.04, az:  0.99, gx: -1.22, gy: -1.56, gz:  2.17, OX:  0.13
1746174369.8819776 N:   56, t: 24008865, dt: 25610, ENC_DEG: 81.78, REF:  0.00, VEL_RAW: -2.57, VEL_AVG: -0.22, I: -15.80, D: -0.02, VEL_OUT: -34.05, MS_MPC: 25593.13, ax: -0.02, ay:  0.02, az:  1.02, gx: -0.79, gy: -2.11, gz: -2.35, OX: -0.15
1746174370.0029256 N:   57, t: 24022968, dt: 14103, ENC_DEG: 81.89, REF:  0.00, VEL_RAW:  7.79, VEL_AVG:  0.34, I: -16.14, D: -0.12, VEL_OUT: -36.87, MS_MPC: 25546.83, ax: -0.03, ay: -0.01, az:  1.02, gx: -1.10, gy: -1.98, gz: -1.43, OX: -0.25
1746174370.0087907 N:   58, t: 24044041, dt: 21073, ENC_DEG: 81.92, REF:  0.00, VEL_RAW:  1.04, VEL_AVG:  0.43, I: -16.57, D: -0.09, VEL_OUT: -38.27, MS_MPC: 25537.52, ax: -0.04, ay:  0.00, az:  1.02, gx: -1.16, gy: -0.21, gz:  2.23, OX:  0.04
1746174370.062335  N:   59, t: 24065650, dt: 21609, ENC_DEG: 81.83, REF:  0.00, VEL_RAW: -4.07, VEL_AVG:  0.35, I: -16.92, D:  0.08, VEL_OUT: -36.53, MS_MPC: 25574.66, ax: -0.01, ay:  0.03, az:  1.01, gx: -0.61, gy:  0.70, gz:  1.80, OX:  0.12
1746174370.0686755 N:   62, t: 24124391, dt: 21387, ENC_DEG: 81.85, REF:  0.00, VEL_RAW:  1.03, VEL_AVG:  0.27, I: -17.29, D: -0.27, VEL_OUT: -39.96, MS_MPC: 25565.40, ax: -0.03, ay:  0.01, az:  1.02, gx:  0.43, gy:  0.09, gz: -0.27, OX: -0.07
1746174370.0747495 N:   66, t: 24202950, dt: 17085, ENC_DEG: 81.85, REF:  0.00, VEL_RAW:  1.29, VEL_AVG:  0.18, I: -18.98, D:  0.16, VEL_OUT: -38.11, MS_MPC: 25565.40, ax: -0.03, ay:  0.01, az:  1.01, gx:  0.92, gy:  0.46, gz:  0.70, OX: -0.00
1746174370.0803518 N:   67, t: 24263435, dt: 60485, ENC_DEG: 81.83, REF:  0.00, VEL_RAW: -0.36, VEL_AVG:  0.24, I: -19.23, D: -0.07, VEL_OUT: -41.57, MS_MPC: 25574.66, ax: -0.03, ay:  0.01, az:  0.99, gx:  1.22, gy:  0.40, gz:  1.86, OX:  0.01
1746174370.087334  N:   69, t: 24306210, dt: 22596, ENC_DEG: 81.81, REF:  0.00, VEL_RAW: -1.94, VEL_AVG: -0.26, I: -20.04, D:  0.29, VEL_OUT: -39.80, MS_MPC: 25583.90, ax: -0.02, ay:  0.03, az:  1.01, gx:  1.22, gy: -0.64, gz:  0.58, OX:  0.02
1746174370.183697  N:   70, t: 24324569, dt: 18359, ENC_DEG: 81.87, REF:  0.00, VEL_RAW:  3.59, VEL_AVG: -0.05, I: -20.09, D:  0.21, VEL_OUT: -38.54, MS_MPC: 25556.12, ax: -0.02, ay: -0.00, az:  1.01, gx:  0.67, gy: -0.58, gz: -0.34, OX: -0.26
1746174370.1908245 N:   72, t: 24335413, dt: 2661, ENC_DEG: 81.83, REF:  0.00, VEL_RAW: -16.52, VEL_AVG: -0.98, I: -20.09, D:  0.21, VEL_OUT: -38.54, MS_MPC: 25556.12, ax: -0.02, ay: -0.00, az:  1.01, gx:  0.67, gy: -0.58, gz: -0.34, OX: -0.26
1746174370.1971097 N:   73, t: 24358834, dt: 23421, ENC_DEG: 81.67, REF:  0.00, VEL_RAW: -6.57, VEL_AVG: -1.63, I: -20.09, D:  0.21, VEL_OUT: -38.54, MS_MPC: 25556.12, ax: -0.02, ay: -0.00, az:  1.01, gx:  0.67, gy: -0.58, gz: -0.34, OX: -0.26
