1746173753.683172  N:   36, t: 27442664, dt: 20225, ENC_DEG: 78.66, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.18, I: -8.34, D: -0.16, VEL_OUT: -20.11, MS_MPC: 26760.30, ax: -0.00, ay:  0.01, az:  0.99, gx:  0.55, gy:  0.85, gz:  0.64, OX:  0.08
1746173753.7370553 N:   37, t: 27462290, dt: 19626, ENC_DEG: 78.71, REF:  0.00, VEL_RAW:  2.24, VEL_AVG:  0.37, I: -8.71, D: -0.19, VEL_OUT: -22.94, MS_MPC: 26745.74, ax: -0.00, ay:  0.01, az:  0.99, gx:  0.85, gy:  0.61, gz:  1.13, OX: -0.01
1746173753.7443793 N:   38, t: 27483592, dt: 21302, ENC_DEG: 78.71, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.46, I: -9.17, D: -0.09, VEL_OUT: -23.89, MS_MPC: 26745.74, ax: -0.01, ay:  0.01, az:  1.00, gx:  0.98, gy:  0.49, gz:  1.86, OX:  0.04
1746173753.7503622 N:   39, t: 27503834, dt: 20242, ENC_DEG: 78.64, REF:  0.00, VEL_RAW: -3.26, VEL_AVG: -0.11, I: -9.28, D:  0.35, VEL_OUT: -16.16, MS_MPC: 26767.57, ax: -0.01, ay:  0.03, az:  1.01, gx:  0.67, gy:  0.24, gz:  1.56, OX:  0.09
1746173753.7573488 N:   40, t: 27524097, dt: 20263, ENC_DEG: 78.62, REF:  0.00, VEL_RAW: -1.08, VEL_AVG: -0.20, I: -9.48, D: -0.09, VEL_OUT: -21.87, MS_MPC: 26774.81, ax: -0.01, ay:  0.02, az:  1.01, gx:  0.43, gy: -0.06, gz:  0.34, OX: -0.08
1746173753.7976964 N:   41, t: 27542791, dt: 18694, ENC_DEG: 78.64, REF:  0.00, VEL_RAW:  1.18, VEL_AVG: -0.10, I: -9.58, D:  0.10, VEL_OUT: -19.22, MS_MPC: 26767.57, ax: -0.00, ay:  0.02, az:  1.00, gx: -0.37, gy: -0.31, gz: -0.52, OX: -0.07
1746173753.8046813 N:   42, t: 27563844, dt: 21053, ENC_DEG: 78.64, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.01, I: -9.59, D:  0.09, VEL_OUT: -18.39, MS_MPC: 26767.57, ax: -0.00, ay:  0.01, az:  1.00, gx: -0.55, gy: -0.24, gz: -0.64, OX: -0.07
1746173753.8577378 N:   43, t: 27582504, dt: 18660, ENC_DEG: 78.62, REF:  0.00, VEL_RAW: -1.18, VEL_AVG: -0.29, I: -9.89, D: -0.28, VEL_OUT: -25.50, MS_MPC: 26774.81, ax: -0.01, ay: -0.00, az:  1.01, gx: -0.61, gy:  0.06, gz: -0.09, OX: -0.04
1746173753.9726124 N:   44, t: 27603852, dt: 21348, ENC_DEG: 78.60, REF:  0.00, VEL_RAW: -1.03, VEL_AVG: -0.46, I: -10.35, D: -0.17, VEL_OUT: -27.06, MS_MPC: 26782.06, ax: -0.01, ay:  0.01, az:  1.01, gx: -0.92, gy:  0.00, gz:  0.58, OX:  0.08
1746173753.9785962 N:   45, t: 27623929, dt: 20077, ENC_DEG: 78.66, REF:  0.00, VEL_RAW:  3.28, VEL_AVG: -0.38, I: -10.73, D:  0.08, VEL_OUT: -24.47, MS_MPC: 26760.30, ax: -0.02, ay:  0.01, az:  1.00, gx: -0.92, gy:  0.06, gz:  0.03, OX: -0.00
1746173753.9848573 N:   46, t: 27646532, dt: 22603, ENC_DEG: 78.60, REF:  0.00, VEL_RAW: -2.92, VEL_AVG: -0.47, I: -11.21, D: -0.09, VEL_OUT: -28.07, MS_MPC: 26782.06, ax: -0.01, ay:  0.01, az:  0.99, gx: -1.10, gy: -0.37, gz: -0.40, OX: -0.00
1746173753.9908416 N:   47, t: 27663833, dt: 17301, ENC_DEG: 78.66, REF:  0.00, VEL_RAW:  3.81, VEL_AVG:  0.09, I: -11.29, D:  0.39, VEL_OUT: -19.58, MS_MPC: 26760.30, ax: -0.02, ay:  0.01, az:  1.00, gx: -0.73, gy: -0.31, gz: -0.52, OX: -0.09
1746173753.996862  N:   50, t: 27722527, dt: 20212, ENC_DEG: 78.64, REF:  0.00, VEL_RAW: -1.09, VEL_AVG: -0.20, I: -11.62, D: -0.09, VEL_OUT: -26.13, MS_MPC: 26767.57, ax: -0.02, ay: -0.00, az:  1.01, gx: -0.24, gy: -0.24, gz: -0.70, OX:  0.01
1746173754.0029263 N:   51, t: 27762490, dt: 39963, ENC_DEG: 78.66, REF:  0.00, VEL_RAW:  0.55, VEL_AVG:  0.12, I: -11.73, D:  0.08, VEL_OUT: -23.82, MS_MPC: 26760.30, ax: -0.01, ay:  0.01, az:  1.00, gx:  0.37, gy:  0.85, gz:  0.27, OX:  0.19
1746173754.0950341 N:   52, t: 27782769, dt: 20279, ENC_DEG: 78.58, REF:  0.00, VEL_RAW: -4.33, VEL_AVG: -0.15, I: -11.89, D: -0.04, VEL_OUT: -25.66, MS_MPC: 26789.28, ax: -0.02, ay:  0.00, az:  1.02, gx:  0.92, gy:  0.61, gz: -0.09, OX: -0.03
1746173754.1018574 N:   53, t: 27801962, dt: 19193, ENC_DEG: 78.69, REF:  0.00, VEL_RAW:  5.72, VEL_AVG:  0.23, I: -12.11, D: -0.07, VEL_OUT: -27.21, MS_MPC: 26753.03, ax: -0.02, ay:  0.00, az:  1.02, gx:  0.79, gy:  0.55, gz: -0.52, OX: -0.03
1746173754.107531  N:   54, t: 27822134, dt: 20172, ENC_DEG: 78.62, REF:  0.00, VEL_RAW: -3.27, VEL_AVG: -0.05, I: -12.16, D:  0.18, VEL_OUT: -22.99, MS_MPC: 26774.81, ax: -0.02, ay:  0.00, az:  1.01, gx:  0.61, gy:  0.49, gz: -0.89, OX: -0.00
