1746174674.5919216 N:   37, t: 22956416, dt: 14291, ENC_DEG: 74.91, REF:  0.00, VEL_RAW: -1.54, VEL_AVG: -0.08, I: -7.29, D:  0.06, VEL_OUT: -14.83, MS_MPC: 27830.83, ax:  0.02, ay: -0.01, az:  1.00, gx: -0.37, gy: -0.34, gz: -2.20, OX: -0.02
1746174674.6833277 N:   38, t: 22979014, dt: 22598, ENC_DEG: 74.93, REF:  0.00, VEL_RAW:  0.97, VEL_AVG:  0.14, I: -7.43, D: -0.06, VEL_OUT: -16.82, MS_MPC: 27825.50, ax:  0.02, ay: -0.00, az:  1.00, gx: -0.37, gy:  0.09, gz: -1.53, OX:  0.02
1746174674.6896093 N:   39, t: 22997207, dt: 18193, ENC_DEG: 74.86, REF:  0.00, VEL_RAW: -3.62, VEL_AVG: -0.43, I: -7.85, D: -0.29, VEL_OUT: -22.82, MS_MPC: 27841.44, ax:  0.02, ay: -0.00, az:  1.00, gx: -0.24, gy:  0.46, gz: -1.04, OX:  0.01
1746174674.695581  N:   40, t: 23017703, dt: 20496, ENC_DEG: 74.88, REF:  0.00, VEL_RAW:  1.07, VEL_AVG: -0.11, I: -7.96, D:  0.31, VEL_OUT: -13.93, MS_MPC: 27836.14, ax:  0.02, ay:  0.00, az:  1.00, gx:  0.12, gy:  0.09, gz: -0.98, OX:  0.02
1746174674.7015657 N:   41, t: 23037894, dt: 20191, ENC_DEG: 74.95, REF:  0.00, VEL_RAW:  3.26, VEL_AVG: -0.04, I: -8.00, D:  0.07, VEL_OUT: -15.64, MS_MPC: 27820.17, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.12, gy: -0.21, gz: -1.04, OX: -0.02
1746174674.707582  N:   43, t: 23081453, dt: 24389, ENC_DEG: 74.88, REF:  0.00, VEL_RAW:  0.90, VEL_AVG: -0.10, I: -8.44, D:  0.23, VEL_OUT: -15.67, MS_MPC: 27836.14, ax:  0.02, ay:  0.00, az:  1.00, gx:  0.24, gy: -0.70, gz: -0.55, OX: -0.00
1746174674.7474089 N:   44, t: 23102399, dt: 20946, ENC_DEG: 74.93, REF:  0.00, VEL_RAW:  2.10, VEL_AVG: -0.06, I: -8.50, D:  0.04, VEL_OUT: -17.17, MS_MPC: 27825.50, ax:  0.02, ay:  0.00, az:  1.00, gx:  0.43, gy: -0.70, gz: -0.37, OX: -0.01
1746174674.7540483 N:   45, t: 23120699, dt: 18300, ENC_DEG: 74.91, REF:  0.00, VEL_RAW: -1.20, VEL_AVG: -0.41, I: -8.91, D: -0.35, VEL_OUT: -25.41, MS_MPC: 27830.83, ax:  0.02, ay:  0.00, az:  1.00, gx:  0.24, gy: -0.52, gz: -0.12, OX: -0.01
1746174674.806653  N:   46, t: 23138431, dt: 17732, ENC_DEG: 74.97, REF:  0.00, VEL_RAW:  3.72, VEL_AVG:  0.09, I: -9.00, D:  0.32, VEL_OUT: -15.69, MS_MPC: 27814.83, ax:  0.02, ay:  0.01, az:  1.00, gx: -0.12, gy: -0.27, gz:  0.24, OX:  0.07
1746174674.9239492 N:   47, t: 23157996, dt: 19565, ENC_DEG: 74.93, REF:  0.00, VEL_RAW: -2.25, VEL_AVG: -0.10, I: -9.10, D: -0.01, VEL_OUT: -19.24, MS_MPC: 27825.50, ax:  0.02, ay:  0.01, az:  1.00, gx: -0.12, gy:  0.03, gz:  0.37, OX:  0.05
1746174674.9305558 N:   48, t: 23176071, dt: 18075, ENC_DEG: 74.95, REF:  0.00, VEL_RAW:  1.22, VEL_AVG:  0.00, I: -9.10, D:  0.09, VEL_OUT: -17.31, MS_MPC: 27820.17, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.18, gy: -0.03, gz:  0.43, OX:  0.01
1746174674.9365716 N:   49, t: 23197251, dt: 21180, ENC_DEG: 74.93, REF:  0.00, VEL_RAW: -1.04, VEL_AVG:  0.05, I: -9.15, D: -0.04, VEL_OUT: -19.17, MS_MPC: 27825.50, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.24, gy: -0.03, gz:  0.37, OX:  0.01
1746174674.9425747 N:   50, t: 23216446, dt: 19195, ENC_DEG: 74.91, REF:  0.00, VEL_RAW: -1.14, VEL_AVG: -0.13, I: -9.28, D: -0.08, VEL_OUT: -20.71, MS_MPC: 27830.83, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.12, gy: -0.40, gz:  0.06, OX:  0.00
1746174674.9483469 N:   55, t: 23316550, dt: 19204, ENC_DEG: 74.91, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.10, I: -10.11, D:  0.08, VEL_OUT: -20.44, MS_MPC: 27830.83, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.67, gy:  0.21, gz:  0.00, OX:  0.01
1746174675.0418773 N:   56, t: 23335926, dt: 19376, ENC_DEG: 74.91, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.08, I: -10.19, D:  0.02, VEL_OUT: -20.99, MS_MPC: 27830.83, ax:  0.01, ay:  0.01, az:  1.03, gx: -0.79, gy:  0.09, gz: -0.06, OX:  0.01
1746174675.049456  N:   58, t: 23346059, dt: 3920, ENC_DEG: 74.86, REF:  0.00, VEL_RAW: -5.61, VEL_AVG: -1.05, I: -10.19, D:  0.02, VEL_OUT: -20.99, MS_MPC: 27830.83, ax:  0.01, ay:  0.01, az:  1.03, gx: -0.79, gy:  0.09, gz: -0.06, OX:  0.01
1746174675.0554829 N:   59, t: 23371949, dt: 25890, ENC_DEG: 74.66, REF:  0.00, VEL_RAW: -7.64, VEL_AVG: -1.50, I: -10.19, D:  0.02, VEL_OUT: -20.99, MS_MPC: 27830.83, ax:  0.01, ay:  0.01, az:  1.03, gx: -0.79, gy:  0.09, gz: -0.06, OX:  0.01
1746174675.0615203 N:   61, t: 23378968, dt: 4013, ENC_DEG: 74.51, REF:  0.00, VEL_RAW: -27.38, VEL_AVG: -5.01, I: -10.19, D:  0.02, VEL_OUT: -20.99, MS_MPC: 27830.83, ax:  0.01, ay:  0.01, az:  1.03, gx: -0.79, gy:  0.09, gz: -0.06, OX:  0.01
1746174675.0675104 N:   62, t: 23433994, dt: 55026, ENC_DEG: 73.54, REF:  0.00, VEL_RAW: -17.57, VEL_AVG: -6.38, I: -10.19, D:  0.02, VEL_OUT: -20.99, MS_MPC: 27830.83, ax:  0.01, ay:  0.01, az:  1.03, gx: -0.79, gy:  0.09, gz: -0.06, OX:  0.01
1746174675.0735934 N:   63, t: 23436962, dt: 2968, ENC_DEG: 73.50, REF:  0.00, VEL_RAW: -14.79, VEL_AVG: -7.79, I: -10.19, D:  0.02, VEL_OUT: -20.99, MS_MPC: 27830.83, ax:  0.01, ay:  0.01, az:  1.03, gx: -0.79, gy:  0.09, gz: -0.06, OX:  0.01
