1746526794.8146248 N:   82, t: 27916188, dt: 21666, ENC_DEG: 33.60, REF:  0.00, VEL_RAW: -7.10, VEL_AVG: -1.25, I: -26.07, D: -0.96, VEL_OUT: -74.22, MS_MPC: 27647.91, ax: -0.01, ay: -0.09, az:  1.03, gx: -2.08, gy: -1.46, gz:  4.52, OX: -0.02
1746526794.821198  N:   83, t: 27931240, dt: 15052, ENC_DEG: 33.73, REF:  0.00, VEL_RAW:  8.76, VEL_AVG: -0.26, I: -26.34, D:  0.99, VEL_OUT: -45.41, MS_MPC: 27666.95, ax: -0.01, ay: -0.10, az:  1.02, gx: -1.77, gy: -0.98, gz:  4.21, OX: -0.03
1746526794.8686335 N:   84, t: 27953510, dt: 22270, ENC_DEG: 33.73, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.45, I: -26.79, D: -0.19, VEL_OUT: -59.95, MS_MPC: 27666.95, ax: -0.01, ay: -0.10, az:  1.02, gx: -1.83, gy: -0.18, gz:  4.94, OX: -0.00
1746526794.875043  N:   85, t: 27970757, dt: 17247, ENC_DEG: 33.69, REF:  0.00, VEL_RAW: -2.55, VEL_AVG: -0.66, I: -27.45, D: -0.21, VEL_OUT: -63.65, MS_MPC: 27660.61, ax: -0.00, ay: -0.11, az:  1.02, gx: -1.65, gy:  0.24, gz:  5.62, OX: -0.05
1746526794.8800273 N:   86, t: 27989918, dt: 19161, ENC_DEG: 33.64, REF:  0.00, VEL_RAW: -2.29, VEL_AVG: -0.85, I: -28.30, D: -0.19, VEL_OUT: -67.05, MS_MPC: 27654.26, ax: -0.01, ay: -0.08, az:  1.03, gx: -1.89, gy:  0.92, gz:  6.77, OX:  0.24
1746526794.9280503 N:   87, t: 28011001, dt: 21083, ENC_DEG: 33.69, REF:  0.00, VEL_RAW:  2.08, VEL_AVG: -0.41, I: -28.72, D:  0.44, VEL_OUT: -57.19, MS_MPC: 27660.61, ax:  0.01, ay: -0.07, az:  1.04, gx: -1.16, gy:  1.65, gz:  6.16, OX:  0.06
1746526794.9346504 N:   88, t: 28031889, dt: 20888, ENC_DEG: 33.66, REF:  0.00, VEL_RAW: -1.05, VEL_AVG: -0.58, I: -29.29, D: -0.16, VEL_OUT: -65.98, MS_MPC: 27657.44, ax: -0.01, ay: -0.07, az:  1.06, gx: -1.22, gy:  1.89, gz:  5.49, OX:  0.01
1746526794.9409075 N:   89, t: 28050924, dt: 19035, ENC_DEG: 33.66, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.05, I: -29.35, D:  0.52, VEL_OUT: -54.02, MS_MPC: 27657.44, ax: -0.02, ay: -0.08, az:  1.07, gx: -0.92, gy:  4.15, gz:  5.74, OX: -0.02
1746526794.9880958 N:   90, t: 28074225, dt: 23301, ENC_DEG: 33.66, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.24, I: -29.59, D: -0.18, VEL_OUT: -63.40, MS_MPC: 27657.44, ax: -0.04, ay: -0.05, az:  1.03, gx: -0.92, gy:  5.55, gz:  6.71, OX:  0.11
1746526794.99472   N:   91, t: 28090190, dt: 15965, ENC_DEG: 33.73, REF:  0.00, VEL_RAW:  4.13, VEL_AVG:  0.45, I: -30.04, D: -0.22, VEL_OUT: -66.77, MS_MPC: 27666.95, ax: -0.03, ay: -0.05, az:  0.99, gx: -0.73, gy:  6.65, gz:  5.62, OX:  0.02
1746526795.000183  N:   92, t: 28110203, dt: 20013, ENC_DEG: 33.73, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.16, I: -30.21, D:  0.29, VEL_OUT: -59.17, MS_MPC: 27666.95, ax: -0.02, ay: -0.06, az:  0.96, gx: -0.79, gy:  6.84, gz:  2.62, OX: -0.25
