1746526904.246246  N:   32, t: 40397559, dt: 26502, ENC_DEG: 40.19, REF:  0.00, VEL_RAW: -2.49, VEL_AVG: -0.06, I: -4.89, D:  0.27, VEL_OUT: -7.62, MS_MPC: 28507.87, ax:  0.00, ay:  0.01, az:  0.99, gx:  0.06, gy:  0.27, gz:  0.85, OX:  0.07
1746526904.2521338 N:   33, t: 40413005, dt: 15446, ENC_DEG: 40.10, REF:  0.00, VEL_RAW: -5.69, VEL_AVG: -0.29, I: -5.18, D: -0.23, VEL_OUT: -15.54, MS_MPC: 28497.71, ax:  0.00, ay:  0.01, az:  0.99, gx: -0.37, gy: -0.46, gz:  0.55, OX:  0.01
1746526904.258237  N:   34, t: 40431935, dt: 18930, ENC_DEG: 40.10, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.36, I: -5.54, D: -0.07, VEL_OUT: -15.35, MS_MPC: 28497.71, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.73, gy: -0.95, gz: -0.00, OX: -0.08
1746526904.2642128 N:   35, t: 40452993, dt: 21058, ENC_DEG: 40.15, REF:  0.00, VEL_RAW:  2.09, VEL_AVG: -0.28, I: -5.82, D:  0.07, VEL_OUT: -13.72, MS_MPC: 28502.79, ax: -0.00, ay:  0.00, az:  1.01, gx: -0.73, gy: -1.19, gz:  0.12, OX: -0.02
1746526904.2701478 N:   36, t: 40471964, dt: 18971, ENC_DEG: 40.15, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.07, I: -5.89, D:  0.22, VEL_OUT: -10.29, MS_MPC: 28502.79, ax: -0.00, ay:  0.01, az:  1.01, gx: -0.18, gy: -0.76, gz:  0.12, OX:  0.13
1746526904.276131  N:   37, t: 40491124, dt: 19160, ENC_DEG: 40.15, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.11, I: -6.00, D: -0.05, VEL_OUT: -13.58, MS_MPC: 28502.79, ax:  0.00, ay:  0.01, az:  1.01, gx:  0.31, gy:  0.21, gz: -0.31, OX: -0.01
1746526904.3677015 N:   38, t: 40512304, dt: 21180, ENC_DEG: 40.21, REF:  0.00, VEL_RAW:  3.11, VEL_AVG:  0.24, I: -6.24, D: -0.13, VEL_OUT: -16.18, MS_MPC: 28510.40, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.37, gy:  0.46, gz:  0.12, OX:  0.02
1746526904.373685  N:   39, t: 40532524, dt: 20220, ENC_DEG: 40.23, REF:  0.00, VEL_RAW:  1.09, VEL_AVG:  0.15, I: -6.39, D:  0.09, VEL_OUT: -13.39, MS_MPC: 28512.93, ax:  0.00, ay:  0.01, az:  1.01, gx:  0.12, gy:  0.15, gz: -0.12, OX:  0.00
1746526904.3796685 N:   40, t: 40551638, dt: 19114, ENC_DEG: 40.15, REF:  0.00, VEL_RAW: -4.60, VEL_AVG: -0.07, I: -6.47, D:  0.08, VEL_OUT: -12.92, MS_MPC: 28502.79, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.12, gy: -0.03, gz: -0.37, OX: -0.08
1746526904.3856506 N:   41, t: 40576927, dt: 25289, ENC_DEG: 40.15, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.13, I: -6.59, D: -0.05, VEL_OUT: -14.96, MS_MPC: 28502.79, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.12, gy: -0.03, gz: -0.55, OX: -0.05
