1746526683.3264413 N:   61, t: 24842560, dt: 33310, ENC_DEG:  4.73, REF:  0.00, VEL_RAW: -2.64, VEL_AVG:  0.01, I: -9.60, D:  0.22, VEL_OUT: -17.09, MS_MPC: 22070.94, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.43, gy:  0.55, gz: -0.21, OX: -0.03
1746526683.3314285 N:   62, t: 24864956, dt: 22396, ENC_DEG:  4.68, REF:  0.00, VEL_RAW: -1.96, VEL_AVG: -0.16, I: -9.76, D: -0.15, VEL_OUT: -22.56, MS_MPC: 22060.69, ax: -0.00, ay:  0.00, az:  1.00, gx: -0.67, gy:  0.61, gz:  0.27, OX:  0.03
1746526683.3374116 N:   63, t: 24882984, dt: 18028, ENC_DEG:  4.73, REF:  0.00, VEL_RAW:  2.44, VEL_AVG: -0.18, I: -9.94, D: -0.02, VEL_OUT: -21.91, MS_MPC: 22070.94, ax: -0.00, ay:  0.01, az:  1.00, gx: -0.67, gy:  0.43, gz:  0.21, OX:  0.03
1746526683.4459882 N:   64, t: 24903282, dt: 20298, ENC_DEG:  4.79, REF:  0.00, VEL_RAW:  3.25, VEL_AVG:  0.09, I: -10.03, D:  0.09, VEL_OUT: -20.09, MS_MPC: 22086.31, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.61, gy:  0.31, gz: -0.15, OX:  0.03
1746526683.4519737 N:   66, t: 24948719, dt: 25122, ENC_DEG:  4.75, REF:  0.00, VEL_RAW: -0.87, VEL_AVG:  0.29, I: -10.50, D: -0.12, VEL_OUT: -25.11, MS_MPC: 22076.06, ax: -0.00, ay:  0.00, az:  1.00, gx:  0.31, gy:  0.61, gz: -0.70, OX: -0.02
1746526683.4569912 N:   67, t: 24965223, dt: 16504, ENC_DEG:  4.70, REF:  0.00, VEL_RAW: -2.66, VEL_AVG: -0.02, I: -10.52, D:  0.28, VEL_OUT: -18.44, MS_MPC: 22065.81, ax: -0.00, ay: -0.00, az:  1.00, gx:  0.37, gy:  0.67, gz: -0.76, OX: -0.04
1746526683.4639573 N:   68, t: 24983249, dt: 18026, ENC_DEG:  4.75, REF:  0.00, VEL_RAW:  2.44, VEL_AVG:  0.00, I: -10.52, D:  0.01, VEL_OUT: -20.95, MS_MPC: 22076.06, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.43, gy:  0.06, gz: -1.25, OX: -0.06
1746526683.4699254 N:   72, t: 25063477, dt: 20582, ENC_DEG:  4.73, REF:  0.00, VEL_RAW: -2.13, VEL_AVG: -0.13, I: -11.31, D:  0.27, VEL_OUT: -21.16, MS_MPC: 22070.94, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.31, gy: -0.12, gz: -0.21, OX: -0.02
1746526683.5067346 N:   73, t: 25087526, dt: 24049, ENC_DEG:  4.75, REF:  0.00, VEL_RAW:  0.91, VEL_AVG:  0.17, I: -11.48, D: -0.04, VEL_OUT: -25.03, MS_MPC: 22076.06, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.00, gy: -0.31, gz:  0.15, OX: -0.02
1746526683.5126247 N:   74, t: 25103585, dt: 16059, ENC_DEG:  4.79, REF:  0.00, VEL_RAW:  2.74, VEL_AVG:  0.56, I: -12.04, D: -0.39, VEL_OUT: -33.59, MS_MPC: 22086.31, ax:  0.00, ay: -0.01, az:  1.00, gx:  0.00, gy: -0.43, gz:  0.95, OX: -0.03
1746526683.5685468 N:   75, t: 25124169, dt: 20584, ENC_DEG:  4.75, REF:  0.00, VEL_RAW: -2.14, VEL_AVG:  0.18, I: -12.22, D:  0.38, VEL_OUT: -22.41, MS_MPC: 22076.06, ax: -0.00, ay:  0.00, az:  1.00, gx: -0.43, gy: -0.61, gz:  1.19, OX:  0.07
1746526683.5725372 N:   76, t: 25143658, dt: 19489, ENC_DEG:  4.81, REF:  0.00, VEL_RAW:  3.38, VEL_AVG:  0.19, I: -12.41, D: -0.01, VEL_OUT: -26.82, MS_MPC: 22091.43, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.31, gy: -0.49, gz:  0.70, OX:  0.02
1746526683.626913  N:   77, t: 25168726, dt: 25068, ENC_DEG:  4.70, REF:  0.00, VEL_RAW: -4.38, VEL_AVG: -0.09, I: -12.49, D:  0.10, VEL_OUT: -24.79, MS_MPC: 22065.81, ax:  0.00, ay:  0.00, az:  1.01, gx: -0.18, gy: -0.43, gz:  0.03, OX: -0.05
1746526683.6873915 N:   78, t: 25187041, dt: 18315, ENC_DEG:  4.77, REF:  0.00, VEL_RAW:  3.60, VEL_AVG:  0.29, I: -12.78, D: -0.20, VEL_OUT: -30.45, MS_MPC: 22081.18, ax:  0.00, ay:  0.01, az:  1.01, gx: -0.37, gy: -0.18, gz:  1.07, OX:  0.14
1746526683.693374  N:   79, t: 25203081, dt: 16040, ENC_DEG:  4.70, REF:  0.00, VEL_RAW: -4.11, VEL_AVG:  0.17, I: -12.95, D:  0.12, VEL_OUT: -26.35, MS_MPC: 22065.81, ax: -0.00, ay:  0.01, az:  1.00, gx: -0.06, gy: -0.06, gz:  1.01, OX:  0.07
1746526683.6983905 N:   80, t: 25223307, dt: 20226, ENC_DEG:  4.75, REF:  0.00, VEL_RAW:  2.17, VEL_AVG:  0.14, I: -13.09, D:  0.02, VEL_OUT: -27.40, MS_MPC: 22076.06, ax: -0.00, ay:  0.02, az:  1.00, gx: -0.06, gy:  0.31, gz:  0.46, OX:  0.05
1746526683.7043462 N:   81, t: 25247820, dt: 24513, ENC_DEG:  4.77, REF:  0.00, VEL_RAW:  0.90, VEL_AVG:  0.29, I: -13.38, D: -0.15, VEL_OUT: -31.15, MS_MPC: 22081.18, ax:  0.00, ay: -0.00, az:  1.01, gx:  0.37, gy:  0.43, gz: -1.07, OX: -0.24
