1746526525.7308686 N:   65, t: 31390119, dt: 25601, ENC_DEG:  3.34, REF:  0.00, VEL_RAW: -0.86, VEL_AVG:  0.20, I: -11.60, D: -0.07, VEL_OUT: -25.85, MS_MPC: 21745.90, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.76, gy:  0.06, gz:  0.55, OX: -0.05
1746526525.8258147 N:   66, t: 31407093, dt: 16974, ENC_DEG:  3.32, REF:  0.00, VEL_RAW: -1.29, VEL_AVG: -0.41, I: -12.01, D: -0.21, VEL_OUT: -30.21, MS_MPC: 21740.71, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.76, gy: -0.06, gz:  0.79, OX: -0.04
1746526526.0016437 N:   67, t: 31426384, dt: 19291, ENC_DEG:  3.32, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.01, I: -12.02, D:  0.40, VEL_OUT: -20.18, MS_MPC: 21740.71, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.27, gy:  0.31, gz:  0.37, OX:  0.07
1746526526.007274  N:   68, t: 31444478, dt: 18094, ENC_DEG:  3.36, REF:  0.00, VEL_RAW:  2.43, VEL_AVG:  0.01, I: -12.03, D: -0.00, VEL_OUT: -24.19, MS_MPC: 21751.10, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.03, gy:  0.37, gz:  0.61, OX:  0.04
1746526526.0132625 N:   69, t: 31465829, dt: 21351, ENC_DEG:  3.34, REF:  0.00, VEL_RAW: -1.03, VEL_AVG:  0.13, I: -12.16, D: -0.12, VEL_OUT: -26.76, MS_MPC: 21745.90, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.09, gy:  0.12, gz:  0.24, OX: -0.05
1746526526.0192652 N:   71, t: 31508781, dt: 22830, ENC_DEG:  3.32, REF:  0.00, VEL_RAW: -1.92, VEL_AVG: -0.21, I: -12.59, D:  0.01, VEL_OUT: -27.24, MS_MPC: 21740.71, ax:  0.01, ay: -0.01, az:  1.01, gx: -0.09, gy: -0.06, gz:  0.18, OX: -0.01
1746526526.0252702 N:   74, t: 31565465, dt: 19294, ENC_DEG:  3.41, REF:  0.00, VEL_RAW:  1.14, VEL_AVG:  0.34, I: -13.41, D: -0.09, VEL_OUT: -31.13, MS_MPC: 21761.48, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.03, gy:  0.43, gz:  0.85, OX:  0.05
1746526526.0310483 N:   75, t: 31684802, dt: 119337, ENC_DEG:  3.32, REF:  0.00, VEL_RAW: -0.74, VEL_AVG:  0.28, I: -13.68, D:  0.06, VEL_OUT: -29.51, MS_MPC: 21740.71, ax:  0.01, ay: -0.04, az:  1.00, gx:  0.52, gy:  0.61, gz: -0.24, OX: -1.00
1746526526.1230252 N:   76, t: 31708174, dt: 23372, ENC_DEG:  3.36, REF:  0.00, VEL_RAW:  1.88, VEL_AVG:  0.34, I: -14.02, D: -0.06, VEL_OUT: -32.01, MS_MPC: 21751.10, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.27, gy:  0.49, gz:  0.31, OX: -0.00
1746526526.128801  N:   77, t: 31724491, dt: 16317, ENC_DEG:  3.36, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.41, I: -14.43, D: -0.07, VEL_OUT: -33.65, MS_MPC: 21751.10, ax:  0.02, ay: -0.01, az:  1.00, gx:  0.03, gy:  0.61, gz:  0.98, OX:  0.02
1746526526.1338167 N:   78, t: 31749091, dt: 24600, ENC_DEG:  3.34, REF:  0.00, VEL_RAW: -0.89, VEL_AVG:  0.44, I: -14.87, D: -0.03, VEL_OUT: -34.48, MS_MPC: 21745.90, ax:  0.02, ay: -0.00, az:  1.00, gx: -0.46, gy:  0.24, gz:  1.04, OX:  0.00
1746526526.139839  N:   79, t: 31769107, dt: 20016, ENC_DEG:  3.32, REF:  0.00, VEL_RAW: -1.10, VEL_AVG:  0.35, I: -15.22, D:  0.09, VEL_OUT: -33.02, MS_MPC: 21740.71, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.82, gy:  0.12, gz:  0.85, OX: -0.04
1746526526.146749  N:   81, t: 31806754, dt: 21628, ENC_DEG:  3.39, REF:  0.00, VEL_RAW:  1.02, VEL_AVG:  0.55, I: -16.14, D: -0.17, VEL_OUT: -39.45, MS_MPC: 21756.29, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.52, gy: -0.18, gz:  0.92, OX:  0.02
1746526526.2443764 N:   82, t: 31830854, dt: 24100, ENC_DEG:  3.36, REF:  0.00, VEL_RAW: -0.91, VEL_AVG:  0.38, I: -16.52, D:  0.17, VEL_OUT: -35.16, MS_MPC: 21751.10, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.15, gy: -0.24, gz:  0.49, OX:  0.01
1746526526.2503629 N:   83, t: 31846174, dt: 15320, ENC_DEG:  3.30, REF:  0.00, VEL_RAW: -4.30, VEL_AVG:  0.18, I: -16.70, D:  0.20, VEL_OUT: -33.23, MS_MPC: 21735.52, ax:  0.00, ay:  0.01, az:  0.99, gx:  0.09, gy: -0.06, gz:  0.67, OX:  0.10
1746526526.256309  N:   84, t: 31865464, dt: 19290, ENC_DEG:  3.36, REF:  0.00, VEL_RAW:  3.42, VEL_AVG:  0.57, I: -17.27, D: -0.39, VEL_OUT: -44.07, MS_MPC: 21751.10, ax:  0.01, ay:  0.00, az:  0.99, gx:  0.15, gy:  0.06, gz:  0.18, OX: -0.11
1746526526.2993786 N:   85, t: 31886827, dt: 21363, ENC_DEG:  3.30, REF:  0.00, VEL_RAW: -3.09, VEL_AVG: -0.07, I: -17.34, D:  0.50, VEL_OUT: -30.39, MS_MPC: 21735.52, ax:  0.01, ay: -0.01, az:  1.01, gx:  0.09, gy: -0.24, gz:  0.37, OX: -0.06
