1746526288.0027788 N:   40, t: 26186510, dt: 21174, ENC_DEG: 13.95, REF:  0.00, VEL_RAW:  2.08, VEL_AVG:  0.09, I: -4.63, D:  0.11, VEL_OUT: -9.03, MS_MPC: 24119.33, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.43, gy:  0.46, gz: -0.85, OX: -0.04
1746526288.0418267 N:   41, t: 26206771, dt: 20261, ENC_DEG: 13.91, REF:  0.00, VEL_RAW: -2.17, VEL_AVG: -0.16, I: -4.79, D: -0.08, VEL_OUT: -12.01, MS_MPC: 24110.10, ax:  0.02, ay: -0.01, az:  1.00, gx:  0.37, gy:  0.34, gz: -0.43, OX: -0.02
1746526288.101348  N:   42, t: 26226004, dt: 19233, ENC_DEG: 13.91, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.06, I: -4.85, D:  0.11, VEL_OUT: -9.19, MS_MPC: 24110.10, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.12, gy:  0.34, gz: -0.06, OX:  0.04
1746526288.108325  N:   43, t: 26247785, dt: 21781, ENC_DEG: 13.87, REF:  0.00, VEL_RAW: -2.02, VEL_AVG: -0.32, I: -5.17, D: -0.27, VEL_OUT: -16.26, MS_MPC: 24100.86, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.43, gy:  0.70, gz:  0.24, OX: -0.02
1746526288.1133099 N:   44, t: 26268714, dt: 20929, ENC_DEG: 13.91, REF:  0.00, VEL_RAW:  2.10, VEL_AVG: -0.06, I: -5.23, D:  0.26, VEL_OUT: -8.41, MS_MPC: 24110.10, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.67, gy:  0.58, gz:  0.06, OX: -0.08
1746526288.1192932 N:   45, t: 26287635, dt: 18921, ENC_DEG: 13.91, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.15, I: -5.38, D: -0.09, VEL_OUT: -13.10, MS_MPC: 24110.10, ax:  0.01, ay: -0.01, az:  0.99, gx:  0.67, gy:  0.46, gz: -0.06, OX: -0.01
1746526288.1242793 N:   46, t: 26307763, dt: 20128, ENC_DEG: 13.95, REF:  0.00, VEL_RAW:  2.18, VEL_AVG: -0.04, I: -5.42, D:  0.11, VEL_OUT: -10.17, MS_MPC: 24119.33, ax:  0.01, ay: -0.00, az:  0.99, gx:  0.55, gy:  0.46, gz: -0.43, OX:  0.02
1746526288.2165601 N:   47, t: 26327040, dt: 19277, ENC_DEG: 13.91, REF:  0.00, VEL_RAW: -2.28, VEL_AVG: -0.11, I: -5.53, D: -0.07, VEL_OUT: -12.81, MS_MPC: 24110.10, ax:  0.01, ay: -0.00, az:  0.98, gx:  0.55, gy:  0.34, gz: -0.61, OX:  0.00
1746526288.2223353 N:   48, t: 26345175, dt: 18135, ENC_DEG: 13.91, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.11, I: -5.63, D:  0.00, VEL_OUT: -12.35, MS_MPC: 24110.10, ax:  0.01, ay: -0.00, az:  0.99, gx:  0.43, gy: -0.15, gz: -0.49, OX:  0.01
1746526288.2285285 N:   49, t: 26366805, dt: 21630, ENC_DEG: 13.89, REF:  0.00, VEL_RAW: -1.02, VEL_AVG: -0.37, I: -6.01, D: -0.27, VEL_OUT: -18.41, MS_MPC: 24105.47, ax:  0.01, ay: -0.01, az:  0.99, gx:  0.55, gy: -0.27, gz: -0.18, OX: -0.03
1746526288.234495  N:   50, t: 26387701, dt: 20896, ENC_DEG: 13.91, REF:  0.00, VEL_RAW:  1.05, VEL_AVG: -0.20, I: -6.20, D:  0.18, VEL_OUT: -12.60, MS_MPC: 24110.10, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.24, gy: -0.46, gz: -0.18, OX: -0.04
1746526288.339174  N:   51, t: 26407040, dt: 19339, ENC_DEG: 13.89, REF:  0.00, VEL_RAW: -1.14, VEL_AVG: -0.10, I: -6.30, D:  0.10, VEL_OUT: -12.66, MS_MPC: 24105.47, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.06, gy: -0.70, gz: -0.31, OX: -0.04
1746526288.4586706 N:   52, t: 26429753, dt: 22713, ENC_DEG: 13.93, REF:  0.00, VEL_RAW:  1.93, VEL_AVG: -0.11, I: -6.42, D: -0.01, VEL_OUT: -14.08, MS_MPC: 24114.71, ax:  0.02, ay: -0.01, az:  1.00, gx: -0.49, gy: -0.76, gz: -0.18, OX: -0.01
1746526288.4648602 N:   53, t: 26445275, dt: 15522, ENC_DEG: 13.89, REF:  0.00, VEL_RAW: -2.83, VEL_AVG: -0.17, I: -6.58, D: -0.06, VEL_OUT: -15.40, MS_MPC: 24105.47, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.43, gy: -0.82, gz:  0.06, OX:  0.02
1746526288.6394818 N:   54, t: 26465350, dt: 20075, ENC_DEG: 13.87, REF:  0.00, VEL_RAW: -1.09, VEL_AVG: -0.26, I: -6.84, D: -0.09, VEL_OUT: -17.19, MS_MPC: 24100.86, ax:  0.01, ay: -0.01, az:  1.01, gx: -0.31, gy: -0.58, gz:  0.06, OX:  0.01
