1746526026.1528049 N:   46, t: 89963183, dt: 23011, ENC_DEG: 27.77, REF:  0.00, VEL_RAW: -0.95, VEL_AVG: -0.25, I: -6.48, D: -0.08, VEL_OUT: -16.27, MS_MPC: 26738.78, ax:  0.01, ay: -0.02, az:  1.01, gx: -0.06, gy:  0.55, gz:  0.52, OX:  0.00
1746526026.254271  N:   48, t: 90000174, dt: 19014, ENC_DEG: 27.77, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.18, I: -7.13, D:  0.28, VEL_OUT: -13.27, MS_MPC: 26738.78, ax:  0.01, ay: -0.02, az:  1.00, gx: -0.92, gy:  1.53, gz:  0.82, OX: -0.05
1746526026.260721  N:   49, t: 90019545, dt: 19371, ENC_DEG: 27.82, REF:  0.00, VEL_RAW:  2.27, VEL_AVG: -0.07, I: -7.20, D:  0.11, VEL_OUT: -14.00, MS_MPC: 26746.12, ax:  0.01, ay: -0.02, az:  1.00, gx: -1.16, gy:  1.16, gz:  1.19, OX:  0.06
1746526026.2663553 N:   50, t: 90043933, dt: 24388, ENC_DEG: 27.82, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.38, I: -7.58, D: -0.31, VEL_OUT: -22.14, MS_MPC: 26746.12, ax:  0.01, ay: -0.01, az:  0.99, gx: -0.92, gy:  0.79, gz:  1.31, OX:  0.11
1746526026.314964  N:   51, t: 90061465, dt: 17532, ENC_DEG: 27.82, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.29, I: -7.88, D:  0.09, VEL_OUT: -17.77, MS_MPC: 26746.12, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.31, gy:  1.59, gz:  0.89, OX: -0.05
1746526026.3210425 N:   53, t: 90103722, dt: 24178, ENC_DEG: 27.80, REF:  0.00, VEL_RAW:  2.73, VEL_AVG: -0.07, I: -8.24, D:  0.23, VEL_OUT: -14.85, MS_MPC: 26742.45, ax:  0.01, ay:  0.01, az:  0.99, gx:  0.43, gy:  1.16, gz:  0.70, OX:  0.04
1746526026.3272197 N:   54, t: 90120865, dt: 17143, ENC_DEG: 27.82, REF:  0.00, VEL_RAW:  1.28, VEL_AVG:  0.04, I: -8.28, D:  0.02, VEL_OUT: -16.73, MS_MPC: 26746.12, ax:  0.00, ay:  0.01, az:  0.99, gx:  0.85, gy:  0.61, gz: -0.27, OX: -0.00
1746526026.3329167 N:   55, t: 90141153, dt: 20288, ENC_DEG: 27.75, REF:  0.00, VEL_RAW: -3.25, VEL_AVG: -0.23, I: -8.51, D: -0.19, VEL_OUT: -21.19, MS_MPC: 26735.11, ax:  0.00, ay: -0.02, az:  1.01, gx:  0.85, gy: -0.18, gz: -1.37, OX: -0.18
1746526026.3386643 N:   56, t: 90161442, dt: 20289, ENC_DEG: 27.84, REF:  0.00, VEL_RAW:  4.33, VEL_AVG: -0.05, I: -8.56, D:  0.18, VEL_OUT: -15.82, MS_MPC: 26749.78, ax:  0.01, ay: -0.03, az:  1.02, gx:  0.37, gy: -0.18, gz: -1.31, OX: -0.17
1746526026.4365914 N:   57, t: 90182440, dt: 20998, ENC_DEG: 27.82, REF:  0.00, VEL_RAW: -1.05, VEL_AVG:  0.04, I: -8.60, D:  0.01, VEL_OUT: -17.52, MS_MPC: 26746.12, ax:  0.01, ay: -0.03, az:  1.01, gx: -0.06, gy:  0.12, gz: -0.40, OX:  0.02
1746526026.4416602 N:   58, t: 90201004, dt: 18564, ENC_DEG: 27.82, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.12, I: -8.72, D: -0.08, VEL_OUT: -19.44, MS_MPC: 26746.12, ax:  0.01, ay: -0.03, az:  1.01, gx: -0.24, gy:  0.43, gz:  0.82, OX:  0.03
1746526026.4475217 N:   59, t: 90221232, dt: 20228, ENC_DEG: 27.77, REF:  0.00, VEL_RAW: -2.17, VEL_AVG: -0.06, I: -8.78, D:  0.06, VEL_OUT: -17.55, MS_MPC: 26738.78, ax:  0.01, ay: -0.02, az:  0.99, gx: -0.73, gy:  0.49, gz:  1.43, OX:  0.04
1746526026.4534848 N:   60, t: 90245463, dt: 24231, ENC_DEG: 27.77, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.06, I: -8.84, D:  0.00, VEL_OUT: -18.28, MS_MPC: 26738.78, ax:  0.01, ay: -0.01, az:  0.98, gx: -0.92, gy:  0.24, gz:  1.68, OX:  0.06
1746526026.4594693 N:   62, t: 90280521, dt: 17062, ENC_DEG: 27.82, REF:  0.00, VEL_RAW:  2.58, VEL_AVG: -0.03, I: -9.12, D:  0.21, VEL_OUT: -16.44, MS_MPC: 26746.12, ax:  0.00, ay: -0.00, az:  0.98, gx: -1.10, gy:  0.00, gz:  1.19, OX: -0.02
1746526026.4658208 N:   63, t: 90301449, dt: 20928, ENC_DEG: 27.77, REF:  0.00, VEL_RAW: -2.10, VEL_AVG: -0.21, I: -9.33, D: -0.17, VEL_OUT: -22.51, MS_MPC: 26738.78, ax:  0.00, ay: -0.04, az:  0.99, gx: -0.85, gy: -0.31, gz:  0.82, OX: -0.81
1746526026.4992707 N:   64, t: 90325558, dt: 24109, ENC_DEG: 27.77, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.20, I: -9.53, D:  0.01, VEL_OUT: -20.87, MS_MPC: 26738.78, ax:  0.00, ay: -0.01, az:  1.00, gx: -0.61, gy: -0.73, gz:  0.40, OX:  0.01
1746526026.5583205 N:   65, t: 90345875, dt: 20317, ENC_DEG: 27.84, REF:  0.00, VEL_RAW:  3.24, VEL_AVG:  0.24, I: -9.77, D: -0.04, VEL_OUT: -22.35, MS_MPC: 26749.78, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.49, gy: -0.61, gz:  0.15, OX:  0.02
