1746528362.3295343 N:   65, t: 33917665, dt: 23529, ENC_DEG: 60.82, REF:  0.00, VEL_RAW:  0.93, VEL_AVG:  0.06, I: -10.42, D: -0.05, VEL_OUT: -21.98, MS_MPC: 29571.89, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.00, gy: -0.09, gz: -0.12, OX:  0.00
1746528362.38714   N:   66, t: 33937845, dt: 20180, ENC_DEG: 60.78, REF:  0.00, VEL_RAW: -2.18, VEL_AVG: -0.04, I: -10.46, D:  0.03, VEL_OUT: -21.00, MS_MPC: 29573.22, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.18, gy: -0.15, gz: -0.12, OX: -0.05
1746528362.3931444 N:   67, t: 33955275, dt: 17430, ENC_DEG: 60.80, REF:  0.00, VEL_RAW:  1.26, VEL_AVG:  0.07, I: -10.53, D: -0.03, VEL_OUT: -22.08, MS_MPC: 29572.56, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.43, gy: -0.15, gz: -0.18, OX:  0.02
1746528362.399155  N:   68, t: 33974690, dt: 19415, ENC_DEG: 60.82, REF:  0.00, VEL_RAW:  1.13, VEL_AVG:  0.25, I: -10.78, D: -0.18, VEL_OUT: -25.90, MS_MPC: 29571.89, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.24, gy: -0.15, gz: -0.73, OX:  0.01
1746528362.405272  N:   69, t: 33997118, dt: 22428, ENC_DEG: 60.82, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.01, I: -10.79, D:  0.24, VEL_OUT: -19.35, MS_MPC: 29571.89, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.12, gy: -0.03, gz: -0.37, OX: -0.01
1746528362.4112573 N:   72, t: 34054481, dt: 18363, ENC_DEG: 60.80, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.11, I: -11.00, D: -0.11, VEL_OUT: -24.22, MS_MPC: 29572.56, ax:  0.01, ay: -0.01, az:  1.00, gx: -0.37, gy: -0.15, gz:  0.06, OX: -0.05
1746528362.451861  N:   73, t: 34075074, dt: 20593, ENC_DEG: 60.80, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.11, I: -11.11, D:  0.00, VEL_OUT: -23.34, MS_MPC: 29572.56, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.49, gy:  0.21, gz:  0.67, OX:  0.12
1746528362.4588606 N:   74, t: 34094369, dt: 19295, ENC_DEG: 60.84, REF:  0.00, VEL_RAW:  2.28, VEL_AVG:  0.16, I: -11.27, D: -0.05, VEL_OUT: -24.69, MS_MPC: 29571.22, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.43, gy:  0.34, gz:  0.85, OX:  0.04
1746528362.4638355 N:   75, t: 34117076, dt: 22707, ENC_DEG: 60.78, REF:  0.00, VEL_RAW: -2.90, VEL_AVG: -0.15, I: -11.43, D:  0.01, VEL_OUT: -24.31, MS_MPC: 29573.22, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.37, gy:  0.03, gz:  1.16, OX: -0.05
1746528362.5206826 N:   76, t: 34138182, dt: 21106, ENC_DEG: 60.80, REF:  0.00, VEL_RAW:  1.04, VEL_AVG:  0.06, I: -11.49, D:  0.09, VEL_OUT: -22.71, MS_MPC: 29572.56, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.31, gy:  0.09, gz:  1.16, OX:  0.01
1746528362.52168   N:   77, t: 34155615, dt: 17433, ENC_DEG: 60.82, REF:  0.00, VEL_RAW:  1.26, VEL_AVG:  0.09, I: -11.58, D: -0.03, VEL_OUT: -24.34, MS_MPC: 29571.89, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.31, gy:  0.15, gz:  1.34, OX:  0.05
1746528362.5256696 N:   78, t: 34176333, dt: 20718, ENC_DEG: 60.82, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.27, I: -11.85, D: -0.18, VEL_OUT: -28.24, MS_MPC: 29571.89, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.06, gy:  0.21, gz:  0.49, OX: -0.10
1746528362.5708091 N:   79, t: 34199168, dt: 22835, ENC_DEG: 60.80, REF:  0.00, VEL_RAW: -0.96, VEL_AVG:  0.09, I: -11.94, D:  0.19, VEL_OUT: -22.90, MS_MPC: 29572.56, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.37, gy:  0.21, gz:  0.49, OX: -0.03
1746528362.5763915 N:   80, t: 34214461, dt: 15293, ENC_DEG: 60.82, REF:  0.00, VEL_RAW:  1.44, VEL_AVG:  0.11, I: -12.05, D: -0.03, VEL_OUT: -25.48, MS_MPC: 29571.89, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.73, gy: -0.03, gz:  0.49, OX:  0.03
1746528362.582726  N:   81, t: 34234871, dt: 20410, ENC_DEG: 60.76, REF:  0.00, VEL_RAW: -3.23, VEL_AVG: -0.16, I: -12.21, D: -0.04, VEL_OUT: -26.43, MS_MPC: 29573.88, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.61, gy:  0.03, gz:  0.18, OX:  0.04
1746528362.6310213 N:   82, t: 34255919, dt: 21048, ENC_DEG: 60.71, REF:  0.00, VEL_RAW: -2.09, VEL_AVG: -0.43, I: -12.65, D: -0.28, VEL_OUT: -32.42, MS_MPC: 29575.18, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.24, gy:  0.15, gz: -0.31, OX: -0.06
1746528362.637428  N:   83, t: 34275306, dt: 19387, ENC_DEG: 60.78, REF:  0.00, VEL_RAW:  3.40, VEL_AVG:  0.02, I: -12.66, D:  0.42, VEL_OUT: -21.37, MS_MPC: 29573.22, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.12, gy:  0.52, gz: -0.06, OX: -0.00
1746528362.6437268 N:   84, t: 34296844, dt: 21538, ENC_DEG: 60.80, REF:  0.00, VEL_RAW:  1.02, VEL_AVG:  0.10, I: -12.77, D: -0.09, VEL_OUT: -27.43, MS_MPC: 29572.56, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.06, gy:  0.34, gz:  0.12, OX:  0.04
1746528362.6907148 N:   85, t: 34318174, dt: 21330, ENC_DEG: 60.78, REF:  0.00, VEL_RAW: -1.03, VEL_AVG:  0.02, I: -12.79, D:  0.09, VEL_OUT: -24.90, MS_MPC: 29573.22, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.00, gy:  0.09, gz: -0.24, OX:  0.00
1746528362.7502453 N:   86, t: 34335548, dt: 17374, ENC_DEG: 60.82, REF:  0.00, VEL_RAW:  2.53, VEL_AVG:  0.04, I: -12.83, D: -0.02, VEL_OUT: -26.26, MS_MPC: 29571.89, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.06, gy: -0.03, gz: -0.24, OX:  0.00
1746528362.7562284 N:   87, t: 34356131, dt: 20583, ENC_DEG: 60.80, REF:  0.00, VEL_RAW: -1.07, VEL_AVG:  0.19, I: -13.02, D: -0.15, VEL_OUT: -29.50, MS_MPC: 29572.56, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.06, gy: -0.03, gz: -0.18, OX:  0.02
1746528362.7627223 N:   88, t: 34374689, dt: 18558, ENC_DEG: 60.84, REF:  0.00, VEL_RAW:  2.37, VEL_AVG:  0.30, I: -13.32, D: -0.11, VEL_OUT: -30.78, MS_MPC: 29571.22, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.06, gy: -0.03, gz: -0.49, OX: -0.09
