1746527978.3952763 N:   43, t: 25374911, dt: 18114, ENC_DEG:  4.40, REF:  0.00, VEL_RAW: -1.21, VEL_AVG:  0.07, I: -7.54, D:  0.10, VEL_OUT: -14.81, MS_MPC: 21993.95, ax:  0.01, ay: -0.01, az:  1.01, gx: -0.24, gy:  0.49, gz:  1.25, OX:  0.01
1746527978.4012647 N:   44, t: 25396351, dt: 21440, ENC_DEG:  4.40, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.07, I: -7.61, D:  0.00, VEL_OUT: -15.97, MS_MPC: 21993.95, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.12, gy:  0.73, gz:  1.37, OX:  0.05
1746527978.4081464 N:   46, t: 25436310, dt: 16415, ENC_DEG:  4.42, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.08, I: -7.87, D:  0.09, VEL_OUT: -15.63, MS_MPC: 21999.09, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.31, gy:  0.85, gz:  1.43, OX:  0.00
1746527978.5064414 N:   47, t: 25457503, dt: 21193, ENC_DEG:  4.37, REF:  0.00, VEL_RAW: -2.07, VEL_AVG: -0.09, I: -7.96, D: -0.01, VEL_OUT: -16.92, MS_MPC: 21988.80, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.31, gy:  0.92, gz:  1.62, OX:  0.06
1746527978.512381  N:   48, t: 25475683, dt: 18180, ENC_DEG:  4.35, REF:  0.00, VEL_RAW: -1.21, VEL_AVG: -0.19, I: -8.15, D: -0.10, VEL_OUT: -19.23, MS_MPC: 21983.66, ax:  0.01, ay:  0.01, az:  0.99, gx: -0.12, gy:  1.22, gz:  0.58, OX:  0.00
1746527978.6261356 N:   49, t: 25496155, dt: 20472, ENC_DEG:  4.42, REF:  0.00, VEL_RAW:  3.22, VEL_AVG:  0.08, I: -8.23, D:  0.11, VEL_OUT: -16.08, MS_MPC: 21999.09, ax:  0.01, ay:  0.00, az:  0.99, gx: -0.06, gy:  0.55, gz: -0.03, OX: -0.02
1746527978.6834939 N:   50, t: 25516396, dt: 20241, ENC_DEG:  4.37, REF:  0.00, VEL_RAW: -2.17, VEL_AVG: -0.28, I: -8.51, D: -0.20, VEL_OUT: -21.75, MS_MPC: 21988.80, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.06, gy: -0.06, gz: -0.58, OX: -0.04
1746527978.6895056 N:   52, t: 25554877, dt: 19293, ENC_DEG:  4.42, REF:  0.00, VEL_RAW:  1.36, VEL_AVG:  0.10, I: -8.80, D:  0.09, VEL_OUT: -17.67, MS_MPC: 21999.09, ax:  0.01, ay: -0.01, az:  0.99, gx: -0.06, gy: -0.43, gz: -0.70, OX: -0.07
1746527978.694733  N:   53, t: 25574737, dt: 19860, ENC_DEG:  4.40, REF:  0.00, VEL_RAW: -1.11, VEL_AVG:  0.01, I: -8.81, D:  0.09, VEL_OUT: -16.77, MS_MPC: 21993.95, ax:  0.01, ay: -0.01, az:  0.99, gx: -0.12, gy: -1.04, gz: -0.76, OX:  0.02
1746527978.7414603 N:   58, t: 25677828, dt: 21767, ENC_DEG:  4.44, REF:  0.00, VEL_RAW:  2.02, VEL_AVG:  0.08, I: -9.34, D:  0.01, VEL_OUT: -19.31, MS_MPC: 22004.22, ax:  0.01, ay: -0.01, az:  1.00, gx:  0.24, gy: -1.77, gz: -1.92, OX: -0.07
