1746527867.7061434 N:   46, t: 51294192, dt: 20147, ENC_DEG: 26.57, REF:  0.00, VEL_RAW:  4.36, VEL_AVG:  0.28, I: -12.54, D: -0.18, VEL_OUT: -29.66, MS_MPC: 26534.35, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.31, gy: -0.37, gz: -0.37, OX: -0.02
1746527867.7460296 N:   47, t: 51312798, dt: 18606, ENC_DEG: 26.54, REF:  0.00, VEL_RAW: -1.18, VEL_AVG:  0.21, I: -12.75, D:  0.06, VEL_OUT: -26.99, MS_MPC: 26530.59, ax:  0.00, ay:  0.02, az:  0.99, gx:  0.18, gy: -0.37, gz: -0.18, OX:  0.07
1746527867.751418  N:   48, t: 51336677, dt: 23879, ENC_DEG: 26.52, REF:  0.00, VEL_RAW: -0.92, VEL_AVG:  0.23, I: -12.98, D: -0.01, VEL_OUT: -28.38, MS_MPC: 26526.82, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.31, gy: -0.24, gz: -0.31, OX: -0.03
1746527867.805295  N:   49, t: 51354276, dt: 17599, ENC_DEG: 26.52, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.14, I: -13.12, D:  0.09, VEL_OUT: -26.81, MS_MPC: 26526.82, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.12, gy:  0.00, gz: -0.18, OX:  0.01
1746527867.8119469 N:   50, t: 51372858, dt: 18582, ENC_DEG: 26.52, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.05, I: -13.17, D:  0.09, VEL_OUT: -25.89, MS_MPC: 26526.82, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.00, gy:  0.06, gz: -0.12, OX: -0.06
1746527867.9238539 N:   51, t: 51393098, dt: 20240, ENC_DEG: 26.48, REF:  0.00, VEL_RAW: -2.17, VEL_AVG:  0.06, I: -13.23, D: -0.01, VEL_OUT: -27.13, MS_MPC: 26519.28, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.00, gy:  0.12, gz:  0.43, OX:  0.02
1746527867.9288757 N:   52, t: 51419357, dt: 26259, ENC_DEG: 26.54, REF:  0.00, VEL_RAW:  2.51, VEL_AVG:  0.08, I: -13.30, D: -0.02, VEL_OUT: -27.59, MS_MPC: 26530.59, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.00, gy:  0.37, gz:  0.37, OX: -0.01
1746527867.9362628 N:   53, t: 51434291, dt: 14934, ENC_DEG: 26.52, REF:  0.00, VEL_RAW: -1.47, VEL_AVG:  0.04, I: -13.34, D:  0.04, VEL_OUT: -26.68, MS_MPC: 26526.82, ax:  0.00, ay:  0.02, az:  1.00, gx:  0.06, gy:  0.37, gz:  0.31, OX:  0.02
1746527867.9412494 N:   54, t: 51453557, dt: 19266, ENC_DEG: 26.50, REF:  0.00, VEL_RAW: -1.14, VEL_AVG: -0.06, I: -13.40, D: -0.02, VEL_OUT: -27.54, MS_MPC: 26523.05, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.18, gy:  0.31, gz:  0.06, OX: -0.04
1746527867.9472296 N:   58, t: 51533168, dt: 20557, ENC_DEG: 26.52, REF:  0.00, VEL_RAW:  2.14, VEL_AVG: -0.27, I: -14.08, D: -0.19, VEL_OUT: -32.68, MS_MPC: 26526.82, ax:  0.01, ay:  0.02, az:  1.00, gx:  0.37, gy:  0.43, gz: -0.06, OX: -0.01
1746527867.9851584 N:   59, t: 51552638, dt: 19470, ENC_DEG: 26.57, REF:  0.00, VEL_RAW:  2.26, VEL_AVG:  0.02, I: -14.10, D:  0.25, VEL_OUT: -25.95, MS_MPC: 26534.35, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.37, gy:  0.49, gz: -0.24, OX: -0.07
1746527867.991408  N:   60, t: 51574683, dt: 22045, ENC_DEG: 26.50, REF:  0.00, VEL_RAW: -2.99, VEL_AVG: -0.15, I: -14.25, D: -0.13, VEL_OUT: -31.35, MS_MPC: 26523.05, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.31, gy:  0.31, gz:  0.24, OX:  0.01
1746527867.9985483 N:   61, t: 51593276, dt: 18593, ENC_DEG: 26.52, REF:  0.00, VEL_RAW:  1.18, VEL_AVG: -0.05, I: -14.31, D:  0.10, VEL_OUT: -28.17, MS_MPC: 26526.82, ax:  0.00, ay:  0.01, az:  0.99, gx:  0.37, gy:  0.31, gz:  0.00, OX: -0.01
1746527868.0456395 N:   62, t: 51617156, dt: 23880, ENC_DEG: 26.54, REF:  0.00, VEL_RAW:  0.92, VEL_AVG:  0.02, I: -14.33, D:  0.03, VEL_OUT: -28.58, MS_MPC: 26530.59, ax:  0.01, ay:  0.01, az:  0.99, gx:  0.37, gy:  0.24, gz: -0.06, OX: -0.03
1746527868.0516229 N:   63, t: 51632423, dt: 15267, ENC_DEG: 26.57, REF:  0.00, VEL_RAW:  1.44, VEL_AVG:  0.32, I: -14.65, D: -0.30, VEL_OUT: -35.56, MS_MPC: 26534.35, ax:  0.01, ay:  0.00, az:  0.99, gx:  0.43, gy:  0.18, gz: -0.18, OX: -0.04
1746527868.0575225 N:   64, t: 51653927, dt: 21504, ENC_DEG: 26.48, REF:  0.00, VEL_RAW: -4.09, VEL_AVG: -0.23, I: -14.88, D:  0.10, VEL_OUT: -31.04, MS_MPC: 26519.28, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.18, gy: -0.18, gz:  0.00, OX:  0.06
1746527868.1663418 N:   65, t: 51673324, dt: 19397, ENC_DEG: 26.54, REF:  0.00, VEL_RAW:  3.40, VEL_AVG:  0.18, I: -15.06, D:  0.05, VEL_OUT: -31.46, MS_MPC: 26530.59, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.24, gy: -0.06, gz:  0.12, OX:  0.03
1746527868.1722972 N:   66, t: 51693755, dt: 20431, ENC_DEG: 26.57, REF:  0.00, VEL_RAW:  1.08, VEL_AVG:  0.36, I: -15.43, D: -0.18, VEL_OUT: -36.34, MS_MPC: 26534.35, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.00, gy: -0.18, gz: -0.24, OX: -0.03
