1746011060.5074277 N:   70, t: 26329105, dt: 23362, ENC_DEG: 73.59, REF:  0.00, VEL_RAW: -0.94, VEL_AVG: -0.07, I: -13.62, D:  0.11, VEL_OUT: -26.83, MS_MPC: 28131.83, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.70, gy:  0.37, gz:  0.85, OX:  0.08
1746011060.6060748 N:   71, t: 26427043, dt: 97938, ENC_DEG: 73.65, REF:  0.00, VEL_RAW:  0.67, VEL_AVG: -0.17, I: -13.79, D: -0.10, VEL_OUT: -30.31, MS_MPC: 28117.62, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.82, gy:  1.04, gz:  1.71, OX:  0.01
1746011060.6120248 N:   72, t: 26445367, dt: 18324, ENC_DEG: 73.65, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.07, I: -13.86, D:  0.10, VEL_OUT: -27.42, MS_MPC: 28117.62, ax: -0.00, ay:  0.01, az:  1.00, gx: -0.64, gy:  1.04, gz:  1.34, OX:  0.08
1746011060.6189647 N:   73, t: 26469829, dt: 24462, ENC_DEG: 73.63, REF:  0.00, VEL_RAW: -0.90, VEL_AVG: -0.23, I: -14.09, D: -0.16, VEL_OUT: -32.09, MS_MPC: 28122.37, ax: -0.00, ay:  0.01, az:  1.00, gx: -0.46, gy:  1.16, gz:  1.04, OX:  0.02
1746011060.624955  N:   74, t: 26484944, dt: 15115, ENC_DEG: 73.68, REF:  0.00, VEL_RAW:  2.91, VEL_AVG:  0.24, I: -14.33, D: -0.01, VEL_OUT: -31.12, MS_MPC: 28112.86, ax: -0.00, ay:  0.01, az:  1.00, gx: -0.46, gy:  0.85, gz:  0.79, OX:  0.01
1746011060.629938  N:   76, t: 26525716, dt: 15310, ENC_DEG: 73.68, REF:  0.00, VEL_RAW:  4.31, VEL_AVG:  0.41, I: -14.79, D: -0.36, VEL_OUT: -37.23, MS_MPC: 28112.86, ax: -0.00, ay:  0.01, az:  0.99, gx: -0.15, gy:  0.43, gz:  0.31, OX:  0.02
1746011060.6667466 N:   77, t: 26545313, dt: 19597, ENC_DEG: 73.70, REF:  0.00, VEL_RAW:  1.12, VEL_AVG:  0.50, I: -15.29, D: -0.09, VEL_OUT: -36.53, MS_MPC: 28108.09, ax: -0.00, ay:  0.01, az:  0.99, gx: -0.15, gy:  0.24, gz:  0.12, OX: -0.02
1746011060.6729753 N:   78, t: 26565843, dt: 20530, ENC_DEG: 73.65, REF:  0.00, VEL_RAW: -2.14, VEL_AVG:  0.14, I: -15.44, D:  0.36, VEL_OUT: -28.74, MS_MPC: 28117.62, ax:  0.00, ay:  0.00, az:  0.99, gx:  0.09, gy: -0.31, gz: -0.24, OX: -0.02
1746011060.8450444 N:   79, t: 26585715, dt: 19872, ENC_DEG: 73.65, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.22, I: -15.66, D: -0.08, VEL_OUT: -34.31, MS_MPC: 28117.62, ax:  0.00, ay:  0.01, az:  0.99, gx:  0.09, gy: -0.67, gz: -0.61, OX: -0.02
1746011060.8503797 N:   80, t: 26606140, dt: 20425, ENC_DEG: 73.61, REF:  0.00, VEL_RAW: -2.15, VEL_AVG: -0.07, I: -15.73, D:  0.15, VEL_OUT: -30.62, MS_MPC: 28127.10, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.27, gy: -0.67, gz: -0.98, OX: -0.02
