1746010295.361159  N:   34, t: 76804441, dt: 24467, ENC_DEG: 82.49, REF:  0.00, VEL_RAW: -3.59, VEL_AVG:  0.15, I: -5.03, D:  0.20, VEL_OUT: -9.61, MS_MPC: 25290.24, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.12, gy:  0.18, gz:  0.06, OX:  0.01
1746010295.365674  N:   35, t: 76821718, dt: 17277, ENC_DEG: 82.53, REF:  0.00, VEL_RAW:  2.54, VEL_AVG:  0.03, I: -5.05, D:  0.13, VEL_OUT: -9.08, MS_MPC: 25270.79, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.06, gy:  0.18, gz: -0.06, OX:  0.02
1746010295.3716586 N:   36, t: 76840148, dt: 18430, ENC_DEG: 82.53, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.03, I: -5.08, D:  0.00, VEL_OUT: -10.42, MS_MPC: 25270.79, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.24, gy:  0.37, gz:  0.00, OX: -0.03
1746010295.3786423 N:   38, t: 76882649, dt: 23347, ENC_DEG: 82.51, REF:  0.00, VEL_RAW: -0.94, VEL_AVG:  0.16, I: -5.57, D:  0.17, VEL_OUT: -10.97, MS_MPC: 25280.52, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.18, gy: -0.18, gz:  0.06, OX: -0.02
1746010295.4169407 N:   39, t: 76899773, dt: 17124, ENC_DEG: 82.53, REF:  0.00, VEL_RAW:  1.28, VEL_AVG:  0.34, I: -5.91, D: -0.19, VEL_OUT: -17.14, MS_MPC: 25270.79, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.18, gy: -0.24, gz: -0.06, OX:  0.07
1746010295.4226124 N:   40, t: 76922361, dt: 22588, ENC_DEG: 82.57, REF:  0.00, VEL_RAW:  1.95, VEL_AVG:  0.19, I: -6.10, D:  0.16, VEL_OUT: -12.49, MS_MPC: 25251.28, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.24, gy: -0.43, gz: -0.24, OX:  0.01
1746010295.428598  N:   41, t: 76941615, dt: 19254, ENC_DEG: 82.51, REF:  0.00, VEL_RAW: -3.42, VEL_AVG: -0.10, I: -6.20, D:  0.09, VEL_OUT: -12.49, MS_MPC: 25280.52, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.18, gy: -0.43, gz: -0.55, OX: -0.08
1746010295.4778028 N:   42, t: 76963373, dt: 21758, ENC_DEG: 82.51, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.10, I: -6.29, D:  0.00, VEL_OUT: -13.50, MS_MPC: 25280.52, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.18, gy: -0.06, gz: -0.43, OX: -0.03
1746010295.483787  N:   43, t: 76981587, dt: 18214, ENC_DEG: 82.53, REF:  0.00, VEL_RAW:  1.21, VEL_AVG:  0.30, I: -6.59, D: -0.20, VEL_OUT: -18.14, MS_MPC: 25270.79, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.24, gy: -0.06, gz: -0.18, OX: -0.00
1746010295.5359857 N:   44, t: 76998867, dt: 17280, ENC_DEG: 82.44, REF:  0.00, VEL_RAW: -5.09, VEL_AVG: -0.23, I: -6.81, D:  0.07, VEL_OUT: -15.23, MS_MPC: 25309.62, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.31, gy: -0.12, gz:  0.00, OX:  0.00
1746010295.6197603 N:   45, t: 77018921, dt: 20054, ENC_DEG: 82.55, REF:  0.00, VEL_RAW:  5.48, VEL_AVG: -0.05, I: -6.86, D:  0.18, VEL_OUT: -12.42, MS_MPC: 25261.04, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.24, gy:  0.18, gz:  0.18, OX: -0.01
1746010295.6207585 N:   46, t: 77040389, dt: 21468, ENC_DEG: 82.51, REF:  0.00, VEL_RAW: -2.05, VEL_AVG:  0.08, I: -6.94, D: -0.03, VEL_OUT: -15.00, MS_MPC: 25280.52, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.12, gz:  0.24, OX:  0.10
1746010295.624747  N:   47, t: 77061067, dt: 20678, ENC_DEG: 82.53, REF:  0.00, VEL_RAW:  1.06, VEL_AVG: -0.04, I: -6.99, D:  0.04, VEL_OUT: -14.04, MS_MPC: 25270.79, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.00, gy:  0.12, gz:  0.24, OX:  0.01
1746010295.6257448 N:   48, t: 77081590, dt: 20523, ENC_DEG: 82.53, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.04, I: -7.03, D:  0.00, VEL_OUT: -14.50, MS_MPC: 25270.79, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.31, gy: -0.06, gz: -0.12, OX: -0.03
1746010295.6267424 N:   50, t: 77122220, dt: 23343, ENC_DEG: 82.57, REF:  0.00, VEL_RAW: -0.94, VEL_AVG:  0.27, I: -7.58, D:  0.00, VEL_OUT: -17.90, MS_MPC: 25251.28, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.24, gy:  0.18, gz: -0.24, OX:  0.00
1746010295.6287367 N:   51, t: 77139352, dt: 17132, ENC_DEG: 82.51, REF:  0.00, VEL_RAW: -3.85, VEL_AVG: -0.15, I: -7.73, D:  0.12, VEL_OUT: -15.79, MS_MPC: 25280.52, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.18, gy: -0.06, gz: -0.37, OX: -0.00
1746010295.6571445 N:   52, t: 77161340, dt: 21988, ENC_DEG: 82.46, REF:  0.00, VEL_RAW: -2.00, VEL_AVG: -0.48, I: -8.21, D: -0.33, VEL_OUT: -24.54, MS_MPC: 25299.95, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.12, gy: -0.37, gz: -0.06, OX:  0.03
1746010295.717977  N:   53, t: 77180908, dt: 19568, ENC_DEG: 82.53, REF:  0.00, VEL_RAW:  3.37, VEL_AVG:  0.08, I: -8.30, D:  0.40, VEL_OUT: -13.46, MS_MPC: 25270.79, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.31, gy: -0.31, gz:  0.06, OX: -0.01
1746010295.724958  N:   54, t: 77201437, dt: 20529, ENC_DEG: 82.55, REF:  0.00, VEL_RAW:  1.07, VEL_AVG:  0.17, I: -8.47, D: -0.09, VEL_OUT: -19.57, MS_MPC: 25261.04, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.55, gy:  0.06, gz:  0.06, OX: -0.02
1746010295.7349312 N:   55, t: 77221603, dt: 20166, ENC_DEG: 82.53, REF:  0.00, VEL_RAW: -1.09, VEL_AVG: -0.02, I: -8.49, D:  0.16, VEL_OUT: -15.61, MS_MPC: 25270.79, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.24, gy:  0.06, gz:  0.06, OX: -0.00
1746010295.7389224 N:   56, t: 77238860, dt: 17257, ENC_DEG: 82.53, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.41, I: -8.90, D: -0.39, VEL_OUT: -25.72, MS_MPC: 25270.79, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.31, gy:  0.00, gz:  0.24, OX:  0.03
1746010295.7788172 N:   57, t: 77262906, dt: 24046, ENC_DEG: 82.51, REF:  0.00, VEL_RAW: -0.91, VEL_AVG: -0.13, I: -9.02, D:  0.28, VEL_OUT: -16.53, MS_MPC: 25280.52, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.31, gy:  0.12, gz:  0.12, OX:  0.01
1746010295.7828035 N:   58, t: 77281093, dt: 18187, ENC_DEG: 82.53, REF:  0.00, VEL_RAW:  1.21, VEL_AVG:  0.14, I: -9.17, D: -0.02, VEL_OUT: -19.95, MS_MPC: 25270.79, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.37, gy:  0.00, gz:  0.00, OX: -0.00
1746010295.8384671 N:   59, t: 77300213, dt: 19120, ENC_DEG: 82.51, REF:  0.00, VEL_RAW: -1.15, VEL_AVG: -0.04, I: -9.21, D:  0.10, VEL_OUT: -17.77, MS_MPC: 25280.52, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.24, gy: -0.18, gz: -0.31, OX: -0.05
1746010295.8444498 N:   60, t: 77319616, dt: 19403, ENC_DEG: 82.57, REF:  0.00, VEL_RAW:  3.40, VEL_AVG:  0.24, I: -9.45, D: -0.20, VEL_OUT: -23.36, MS_MPC: 25251.28, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.00, gy:  0.06, gz: -0.06, OX: -0.02
