1746010455.3172958 N:   41, t: 29981733, dt: 20777, ENC_DEG: 82.64, REF:  0.00, VEL_RAW: -1.06, VEL_AVG: -0.01, I: -6.16, D:  0.07, VEL_OUT: -11.65, MS_MPC: 25221.89, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.34, gz:  0.37, OX:  0.02
1746010455.322934  N:   42, t: 30001207, dt: 19474, ENC_DEG: 82.73, REF:  0.00, VEL_RAW:  4.51, VEL_AVG:  0.15, I: -6.31, D: -0.15, VEL_OUT: -15.65, MS_MPC: 25182.48, ax:  0.01, ay:  0.00, az:  0.99, gx:  0.12, gy:  0.21, gz:  0.49, OX:  0.01
1746010455.3282611 N:   43, t: 30022305, dt: 21098, ENC_DEG: 82.66, REF:  0.00, VEL_RAW: -3.12, VEL_AVG: -0.02, I: -6.33, D:  0.14, VEL_OUT: -11.46, MS_MPC: 25212.06, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.24, gy:  0.27, gz:  0.49, OX: -0.02
1746010455.335846  N:   46, t: 30081249, dt: 19226, ENC_DEG: 82.60, REF:  0.00, VEL_RAW: -3.43, VEL_AVG: -0.30, I: -6.89, D: -0.21, VEL_OUT: -18.91, MS_MPC: 25241.50, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.18, gy:  0.40, gz:  0.18, OX:  0.00
1746010455.4386098 N:   48, t: 30221813, dt: 19431, ENC_DEG: 82.66, REF:  0.00, VEL_RAW:  1.13, VEL_AVG: -0.34, I: -7.41, D: -0.16, VEL_OUT: -19.86, MS_MPC: 25212.06, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.15, gz: -0.12, OX:  0.00
1746010455.4442573 N:   49, t: 30265466, dt: 43653, ENC_DEG: 82.71, REF:  0.00, VEL_RAW:  1.01, VEL_AVG:  0.04, I: -7.45, D:  0.30, VEL_OUT: -12.33, MS_MPC: 25192.36, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.00, gy:  0.03, gz: -0.06, OX:  0.00
1746010455.4495091 N:   50, t: 30280569, dt: 15103, ENC_DEG: 82.75, REF:  0.00, VEL_RAW:  2.91, VEL_AVG:  0.10, I: -7.55, D: -0.06, VEL_OUT: -16.77, MS_MPC: 25172.59, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.18, gy: -0.15, gz: -0.06, OX: -0.00
1746010455.4560907 N:   51, t: 30301938, dt: 21369, ENC_DEG: 82.68, REF:  0.00, VEL_RAW: -3.08, VEL_AVG: -0.06, I: -7.62, D:  0.04, VEL_OUT: -15.49, MS_MPC: 25202.22, ax:  0.00, ay:  0.00, az:  1.00, gx:  0.06, gy:  0.15, gz: -0.24, OX: -0.00
1746010455.4617577 N:   54, t: 30362350, dt: 20696, ENC_DEG: 82.75, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.05, I: -8.01, D:  0.28, VEL_OUT: -13.73, MS_MPC: 25172.59, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.06, gy:  0.27, gz: -0.06, OX: -0.00
1746010455.618367  N:   55, t: 30381821, dt: 19471, ENC_DEG: 82.71, REF:  0.00, VEL_RAW: -2.26, VEL_AVG:  0.02, I: -8.03, D:  0.03, VEL_OUT: -16.04, MS_MPC: 25192.36, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.12, gy:  0.03, gz: -0.06, OX: -0.01
