1746010661.301095  N:   48, t: 63267391, dt: 23093, ENC_DEG: 59.02, REF:  0.00, VEL_RAW: -1.90, VEL_AVG: -0.17, I: -7.78, D:  0.03, VEL_OUT: -16.98, MS_MPC: 29610.50, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.06, gy: -0.06, gz: -0.12, OX:  0.01
1746010661.3080344 N:   49, t: 63284720, dt: 17329, ENC_DEG: 59.13, REF:  0.00, VEL_RAW:  6.34, VEL_AVG:  0.57, I: -8.34, D: -0.39, VEL_OUT: -26.25, MS_MPC: 29609.06, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.18, gy: -0.18, gz: -0.00, OX:  0.00
1746010661.3616958 N:   50, t: 63308480, dt: 23760, ENC_DEG: 59.04, REF:  0.00, VEL_RAW: -3.70, VEL_AVG:  0.15, I: -8.49, D:  0.41, VEL_OUT: -14.35, MS_MPC: 29610.23, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.31, gy: -0.12, gz:  0.18, OX:  0.00
1746010661.3670402 N:   51, t: 63326053, dt: 17573, ENC_DEG: 59.11, REF:  0.00, VEL_RAW:  3.75, VEL_AVG:  0.46, I: -8.96, D: -0.31, VEL_OUT: -25.67, MS_MPC: 29609.36, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.37, gy: -0.06, gz:  0.18, OX:  0.01
1746010661.3738015 N:   52, t: 63344375, dt: 18322, ENC_DEG: 59.04, REF:  0.00, VEL_RAW: -3.60, VEL_AVG:  0.16, I: -9.12, D:  0.30, VEL_OUT: -16.87, MS_MPC: 29610.23, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.43, gy: -0.12, gz:  0.31, OX: -0.00
1746010661.4791327 N:   53, t: 63364831, dt: 20456, ENC_DEG: 59.11, REF:  0.00, VEL_RAW:  3.22, VEL_AVG:  0.43, I: -9.55, D: -0.27, VEL_OUT: -26.10, MS_MPC: 29609.36, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.55, gy: -0.12, gz:  0.18, OX:  0.01
1746010661.487147  N:   54, t: 63391255, dt: 26424, ENC_DEG: 59.06, REF:  0.00, VEL_RAW: -1.66, VEL_AVG:  0.37, I: -9.92, D:  0.06, VEL_OUT: -22.93, MS_MPC: 29609.94, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.55, gy: -0.06, gz:  0.18, OX:  0.04
1746010661.5364933 N:   55, t: 63405351, dt: 14096, ENC_DEG: 59.04, REF:  0.00, VEL_RAW: -1.56, VEL_AVG: -0.00, I: -9.92, D:  0.37, VEL_OUT: -16.20, MS_MPC: 29610.23, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.61, gy: -0.24, gz:  0.24, OX:  0.04
1746010661.5416389 N:   56, t: 63425700, dt: 20349, ENC_DEG: 59.04, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.00, I: -9.93, D:  0.00, VEL_OUT: -19.88, MS_MPC: 29610.23, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.49, gy:  0.06, gz:  0.43, OX:  0.02
1746010661.5476253 N:   59, t: 63485622, dt: 15282, ENC_DEG: 58.98, REF:  0.00, VEL_RAW: -7.19, VEL_AVG: -0.37, I: -10.63, D: -0.05, VEL_OUT: -25.52, MS_MPC: 29611.05, ax:  0.00, ay:  0.01, az:  0.99, gx:  0.00, gy: -0.37, gz:  0.06, OX:  0.04
1746010661.6585839 N:   60, t: 63504537, dt: 18915, ENC_DEG: 59.02, REF:  0.00, VEL_RAW:  2.32, VEL_AVG: -0.02, I: -10.65, D:  0.35, VEL_OUT: -18.00, MS_MPC: 29610.50, ax:  0.00, ay:  0.01, az:  0.99, gx:  0.18, gy: -0.49, gz: -0.37, OX: -0.02
1746010661.6655214 N:   62, t: 63545290, dt: 19498, ENC_DEG: 59.13, REF:  0.00, VEL_RAW:  5.63, VEL_AVG:  0.23, I: -11.43, D:  0.32, VEL_OUT: -21.88, MS_MPC: 29609.06, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.37, gy: -1.16, gz: -1.59, OX: -0.05
1746010661.6717253 N:   63, t: 63565538, dt: 20248, ENC_DEG: 59.06, REF:  0.00, VEL_RAW: -3.26, VEL_AVG: -0.36, I: -11.78, D: -0.13, VEL_OUT: -28.42, MS_MPC: 29609.94, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.43, gy: -1.28, gz: -2.14, OX: -0.04
1746010661.715651  N:   64, t: 63584877, dt: 19339, ENC_DEG: 59.04, REF:  0.00, VEL_RAW: -1.14, VEL_AVG: -0.15, I: -11.93, D:  0.21, VEL_OUT: -23.32, MS_MPC: 29610.23, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.18, gy: -1.77, gz: -2.01, OX: -0.09
1746010661.7225902 N:   68, t: 63668660, dt: 21679, ENC_DEG: 59.04, REF:  0.00, VEL_RAW: -1.01, VEL_AVG: -0.16, I: -12.52, D: -0.08, VEL_OUT: -27.52, MS_MPC: 29610.23, ax:  0.01, ay: -0.00, az:  1.01, gx:  0.18, gy: -0.43, gz: -0.43, OX:  0.03
1746010661.7756672 N:   69, t: 63685652, dt: 16992, ENC_DEG: 59.06, REF:  0.00, VEL_RAW:  1.29, VEL_AVG: -0.06, I: -12.57, D:  0.11, VEL_OUT: -24.63, MS_MPC: 29609.94, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.06, gy: -0.37, gz: -0.00, OX:  0.02
1746010661.7820208 N:   70, t: 63706738, dt: 21086, ENC_DEG: 59.13, REF:  0.00, VEL_RAW:  3.13, VEL_AVG:  0.05, I: -12.63, D:  0.00, VEL_OUT: -25.77, MS_MPC: 29609.06, ax:  0.01, ay: -0.00, az:  0.99, gx:  0.00, gy: -0.43, gz:  0.37, OX:  0.01
1746010661.7880037 N:   71, t: 63726184, dt: 19446, ENC_DEG: 59.11, REF:  0.00, VEL_RAW: -1.13, VEL_AVG:  0.56, I: -13.19, D: -0.50, VEL_OUT: -37.01, MS_MPC: 29609.36, ax:  0.00, ay:  0.00, az:  0.99, gx:  0.06, gy: -0.37, gz:  0.37, OX:  0.04
1746010661.7945147 N:   72, t: 63747874, dt: 21690, ENC_DEG: 59.02, REF:  0.00, VEL_RAW: -4.05, VEL_AVG:  0.03, I: -13.21, D:  0.53, VEL_OUT: -21.39, MS_MPC: 29610.50, ax: -0.00, ay:  0.01, az:  1.00, gx:  0.24, gy: -0.43, gz:  0.18, OX:  0.00
1746010661.8001509 N:   74, t: 63784655, dt: 19569, ENC_DEG: 59.04, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.34, I: -13.68, D: -0.20, VEL_OUT: -32.75, MS_MPC: 29610.23, ax:  0.00, ay: -0.00, az:  1.00, gx: -0.24, gy: -0.85, gz: -0.31, OX: -0.00
1746010661.8415132 N:   75, t: 63810354, dt: 25699, ENC_DEG: 59.06, REF:  0.00, VEL_RAW:  0.86, VEL_AVG:  0.01, I: -13.69, D:  0.33, VEL_OUT: -24.16, MS_MPC: 29609.94, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.24, gy: -1.16, gz: -0.00, OX:  0.03
1746010661.9013088 N:   76, t: 63824575, dt: 14221, ENC_DEG: 59.06, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.10, I: -13.79, D: -0.09, VEL_OUT: -29.54, MS_MPC: 29609.94, ax: -0.00, ay:  0.01, az:  1.01, gx: -0.31, gy: -1.22, gz: -0.18, OX:  0.03
1746010661.9072928 N:   77, t: 63847305, dt: 22730, ENC_DEG: 59.02, REF:  0.00, VEL_RAW: -1.93, VEL_AVG: -0.24, I: -14.03, D: -0.14, VEL_OUT: -31.81, MS_MPC: 29610.50, ax: -0.00, ay:  0.00, az:  1.01, gx: -0.31, gy: -0.55, gz: -0.12, OX: -0.01
