1746003088.231832  N:   31, t: 30035362, dt: 19536, ENC_DEG: 15.49, REF:  0.00, VEL_RAW: -1.12, VEL_AVG: -0.14, I: -4.65, D: -0.10, VEL_OUT: -11.65, MS_MPC: 24439.20, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.40, gy: -0.18, gz:  0.12, OX: -0.04
1746003088.2372668 N:   32, t: 30058639, dt: 23277, ENC_DEG: 15.49, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.14, I: -4.79, D:  0.00, VEL_OUT: -10.93, MS_MPC: 24439.20, ax:  0.01, ay:  0.01, az:  0.99, gx:  0.58, gy:  0.18, gz:  0.37, OX: -0.03
1746003088.2442505 N:   33, t: 30075234, dt: 16595, ENC_DEG: 15.49, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.04, I: -4.83, D:  0.09, VEL_OUT: -9.13, MS_MPC: 24439.20, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.46, gy: -0.06, gz:  0.49, OX: -0.02
1746003088.285379  N:   34, t: 30097435, dt: 22201, ENC_DEG: 15.49, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.19, I: -5.02, D: -0.15, VEL_OUT: -13.47, MS_MPC: 24439.20, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.40, gy:  0.12, gz:  0.49, OX:  0.01
1746003088.2923627 N:   35, t: 30118544, dt: 21109, ENC_DEG: 15.51, REF:  0.00, VEL_RAW:  1.04, VEL_AVG: -0.11, I: -5.12, D:  0.09, VEL_OUT: -10.44, MS_MPC: 24443.73, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.46, gy:  0.06, gz:  0.31, OX:  0.01
1746003088.3460493 N:   36, t: 30135135, dt: 16591, ENC_DEG: 15.51, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.07, I: -5.20, D:  0.03, VEL_OUT: -10.78, MS_MPC: 24443.73, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.27, gy: -0.31, gz:  0.37, OX: -0.00
1746003088.3521187 N:   37, t: 30157727, dt: 22592, ENC_DEG: 15.49, REF:  0.00, VEL_RAW: -0.97, VEL_AVG: -0.19, I: -5.39, D: -0.12, VEL_OUT: -13.91, MS_MPC: 24439.20, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.15, gy: -0.31, gz:  0.24, OX: -0.00
1746003088.357839  N:   38, t: 30174936, dt: 17209, ENC_DEG: 15.54, REF:  0.00, VEL_RAW:  2.55, VEL_AVG:  0.10, I: -5.49, D:  0.09, VEL_OUT: -11.13, MS_MPC: 24448.24, ax:  0.00, ay:  0.01, az:  1.00, gx:  0.03, gy: -0.24, gz:  0.24, OX: -0.03
1746003088.3637767 N:   39, t: 30194401, dt: 19465, ENC_DEG: 15.60, REF:  0.00, VEL_RAW:  3.39, VEL_AVG:  0.39, I: -5.88, D: -0.28, VEL_OUT: -18.44, MS_MPC: 24461.80, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.21, gy: -0.31, gz:  0.37, OX:  0.03
1746003088.4639754 N:   40, t: 30215354, dt: 20953, ENC_DEG: 15.49, REF:  0.00, VEL_RAW: -5.24, VEL_AVG: -0.21, I: -6.09, D:  0.18, VEL_OUT: -12.52, MS_MPC: 24439.20, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.03, gy: -0.31, gz: -0.18, OX:  0.00
