1745417320.8912106 N:   34, t: 43665473, dt: 19658, ENC_DEG: 29.25, REF:  0.00, VEL_RAW:  1.12, VEL_AVG: -0.03, I: -6.16, D:  0.42, VEL_OUT: -8.43, MS_MPC: 26980.74, ax:  0.01, ay:  0.02, az:  0.99, gx:  0.00, gy: -0.92, gz:  0.49, OX:  0.05
1745417320.8981128 N:   35, t: 43689133, dt: 23660, ENC_DEG: 29.20, REF:  0.00, VEL_RAW: -1.86, VEL_AVG: -0.65, I: -6.82, D: -0.62, VEL_OUT: -26.39, MS_MPC: 26973.63, ax:  0.00, ay:  0.02, az:  0.99, gx:  0.67, gy: -1.28, gz:  0.06, OX: -0.01
1745417320.904092  N:   36, t: 43707547, dt: 18414, ENC_DEG: 29.25, REF:  0.00, VEL_RAW:  2.39, VEL_AVG: -0.11, I: -6.92, D:  0.55, VEL_OUT: -9.40, MS_MPC: 26980.74, ax:  0.00, ay:  0.01, az:  0.99, gx:  0.98, gy: -1.53, gz: -0.79, OX: -0.08
1745417320.944316  N:   37, t: 43724431, dt: 16884, ENC_DEG: 29.22, REF:  0.00, VEL_RAW: -1.30, VEL_AVG: -0.21, I: -7.14, D: -0.11, VEL_OUT: -17.50, MS_MPC: 26977.19, ax:  0.00, ay:  0.01, az:  1.00, gx:  1.22, gy: -1.65, gz: -1.59, OX: -0.03
1745417320.9503324 N:   38, t: 43746799, dt: 22368, ENC_DEG: 29.29, REF:  0.00, VEL_RAW:  2.95, VEL_AVG: -0.05, I: -7.19, D:  0.16, VEL_OUT: -13.24, MS_MPC: 26987.84, ax:  0.00, ay:  0.00, az:  1.00, gx:  1.22, gy: -1.65, gz: -1.77, OX: -0.03
1745417320.956492  N:   39, t: 43764118, dt: 17319, ENC_DEG: 29.27, REF:  0.00, VEL_RAW: -1.27, VEL_AVG:  0.04, I: -7.23, D:  0.01, VEL_OUT: -14.75, MS_MPC: 26984.29, ax:  0.00, ay: -0.00, az:  1.01, gx:  0.67, gy: -1.34, gz: -1.34, OX: -0.04
1745417321.0594292 N:   40, t: 43784244, dt: 20126, ENC_DEG: 29.22, REF:  0.00, VEL_RAW: -2.18, VEL_AVG: -0.05, I: -7.27, D: -0.01, VEL_OUT: -15.10, MS_MPC: 26977.19, ax:  0.01, ay: -0.01, az:  1.01, gx:  0.06, gy: -0.92, gz: -0.79, OX: -0.01
1745417321.0654113 N:   41, t: 43805566, dt: 21322, ENC_DEG: 29.27, REF:  0.00, VEL_RAW:  2.06, VEL_AVG:  0.03, I: -7.31, D:  0.01, VEL_OUT: -14.83, MS_MPC: 26984.29, ax:  0.01, ay: -0.01, az:  1.01, gx: -0.61, gy: -0.43, gz: -0.24, OX: -0.00
1745417321.0713942 N:   42, t: 43825678, dt: 20112, ENC_DEG: 29.29, REF:  0.00, VEL_RAW:  1.09, VEL_AVG:  0.22, I: -7.53, D: -0.19, VEL_OUT: -19.20, MS_MPC: 26987.84, ax:  0.01, ay: -0.00, az:  1.01, gx: -0.73, gy: -0.37, gz: -0.06, OX:  0.04
1745417321.07738   N:   43, t: 43845878, dt: 20200, ENC_DEG: 29.25, REF:  0.00, VEL_RAW: -2.18, VEL_AVG: -0.05, I: -7.58, D:  0.18, VEL_OUT: -13.85, MS_MPC: 26980.74, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.85, gy: -0.12, gz: -0.00, OX:  0.01
1745417321.0833797 N:   45, t: 43886572, dt: 21313, ENC_DEG: 29.33, REF:  0.00, VEL_RAW:  3.09, VEL_AVG:  0.42, I: -8.03, D: -0.39, VEL_OUT: -24.14, MS_MPC: 26994.94, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.49, gy:  0.37, gz: -0.06, OX: -0.00
1745417321.1256626 N:   46, t: 43905734, dt: 19162, ENC_DEG: 29.25, REF:  0.00, VEL_RAW: -4.59, VEL_AVG: -0.06, I: -8.09, D:  0.37, VEL_OUT: -13.07, MS_MPC: 26980.74, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.37, gy:  0.73, gz:  0.06, OX: -0.00
1745417321.13264   N:   47, t: 43929411, dt: 23677, ENC_DEG: 29.22, REF:  0.00, VEL_RAW: -0.93, VEL_AVG:  0.02, I: -8.11, D:  0.03, VEL_OUT: -16.12, MS_MPC: 26977.19, ax:  0.01, ay: -0.00, az:  1.00, gx:  0.00, gy:  0.67, gz:  0.12, OX: -0.02
1745417321.1853943 N:   48, t: 43946069, dt: 16658, ENC_DEG: 29.29, REF:  0.00, VEL_RAW:  3.96, VEL_AVG:  0.15, I: -8.26, D: -0.13, VEL_OUT: -19.37, MS_MPC: 26987.84, ax:  0.01, ay: -0.00, az:  1.00, gx: -0.06, gy:  0.98, gz:  0.24, OX: -0.00
1745417321.1919882 N:   49, t: 43964439, dt: 18370, ENC_DEG: 29.22, REF:  0.00, VEL_RAW: -3.59, VEL_AVG: -0.04, I: -8.30, D:  0.12, VEL_OUT: -15.81, MS_MPC: 26977.19, ax:  0.00, ay: -0.00, az:  1.00, gx:  0.06, gy:  0.98, gz:  0.61, OX: -0.00
1745417321.2423491 N:   50, t: 43985806, dt: 21367, ENC_DEG: 29.25, REF:  0.00, VEL_RAW:  1.03, VEL_AVG: -0.20, I: -8.50, D: -0.16, VEL_OUT: -20.57, MS_MPC: 26980.74, ax:  0.00, ay:  0.00, az:  1.00, gx: -0.18, gy:  0.67, gz:  0.79, OX:  0.03
1745417321.24825   N:   51, t: 44004824, dt: 19018, ENC_DEG: 29.22, REF:  0.00, VEL_RAW: -1.16, VEL_AVG: -0.19, I: -8.69, D:  0.01, VEL_OUT: -19.15, MS_MPC: 26977.19, ax:  0.00, ay:  0.01, az:  1.00, gx: -0.18, gy:  0.85, gz:  0.92, OX:  0.09
1745417321.2542565 N:   52, t: 44024369, dt: 19545, ENC_DEG: 29.22, REF:  0.00, VEL_RAW:  0.00, VEL_AVG: -0.01, I: -8.69, D:  0.18, VEL_OUT: -15.62, MS_MPC: 26977.19, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.06, gy:  0.49, gz:  0.79, OX:  0.06
