1745417419.5983245 N:   34, t: 32874790, dt: 22597, ENC_DEG: 31.88, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.44, I: -7.34, D: -0.09, VEL_OUT: -19.92, MS_MPC: 27393.90, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.12, gy:  0.18, gz:  0.27, OX:  0.02
1745417419.604381  N:   36, t: 32912171, dt: 18308, ENC_DEG: 31.88, REF:  0.00, VEL_RAW:  1.20, VEL_AVG:  0.56, I: -8.14, D: -0.33, VEL_OUT: -25.13, MS_MPC: 27393.90, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.49, gy:  0.00, gz:  0.09, OX: -0.04
1745417419.6460876 N:   37, t: 32931413, dt: 19242, ENC_DEG: 31.82, REF:  0.00, VEL_RAW: -3.43, VEL_AVG: -0.53, I: -8.67, D:  0.03, VEL_OUT: -22.37, MS_MPC: 27383.89, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.24, gy: -0.06, gz: -0.03, OX:  0.00
1745417419.6523986 N:   38, t: 32953244, dt: 21831, ENC_DEG: 31.88, REF:  0.00, VEL_RAW:  3.02, VEL_AVG: -0.10, I: -8.77, D:  0.43, VEL_OUT: -14.21, MS_MPC: 27393.90, ax:  0.01, ay:  0.01, az:  1.00, gx:  0.06, gy: -0.12, gz: -0.21, OX:  0.00
1745417419.658276  N:   39, t: 32971424, dt: 18180, ENC_DEG: 31.84, REF:  0.00, VEL_RAW: -2.42, VEL_AVG: -0.13, I: -8.90, D: -0.03, VEL_OUT: -19.39, MS_MPC: 27387.23, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.06, gy: -0.18, gz: -0.27, OX: -0.02
1745417419.7058873 N:   40, t: 32990661, dt: 19237, ENC_DEG: 31.88, REF:  0.00, VEL_RAW:  2.28, VEL_AVG:  0.16, I: -9.06, D: -0.03, VEL_OUT: -20.08, MS_MPC: 27393.90, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.24, gy: -0.18, gz: -0.03, OX:  0.01
1745417419.7134545 N:   41, t: 33012004, dt: 21343, ENC_DEG: 31.86, REF:  0.00, VEL_RAW: -1.03, VEL_AVG: -0.08, I: -9.14, D:  0.08, VEL_OUT: -18.27, MS_MPC: 27390.57, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.31, gy: -0.12, gz: -0.15, OX:  0.01
1745417419.7194152 N:   42, t: 33033290, dt: 21286, ENC_DEG: 31.91, REF:  0.00, VEL_RAW:  2.06, VEL_AVG: -0.12, I: -9.26, D: -0.04, VEL_OUT: -20.17, MS_MPC: 27397.23, ax:  0.01, ay:  0.01, az:  1.00, gx: -0.18, gy: -0.12, gz: -0.34, OX: -0.00
1745417419.766123  N:   43, t: 33051017, dt: 17727, ENC_DEG: 31.86, REF:  0.00, VEL_RAW: -2.48, VEL_AVG: -0.17, I: -9.44, D: -0.05, VEL_OUT: -21.13, MS_MPC: 27390.57, ax:  0.01, ay:  0.00, az:  1.00, gx: -0.18, gy: -0.18, gz: -0.46, OX: -0.03
1745417419.8258626 N:   44, t: 33074485, dt: 23468, ENC_DEG: 31.86, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.03, I: -9.47, D:  0.14, VEL_OUT: -17.78, MS_MPC: 27390.57, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.06, gy: -0.06, gz: -0.34, OX: -0.02
1745417419.8319283 N:   45, t: 33091706, dt: 17221, ENC_DEG: 31.91, REF:  0.00, VEL_RAW:  2.55, VEL_AVG:  0.05, I: -9.52, D: -0.02, VEL_OUT: -19.77, MS_MPC: 27397.23, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.00, gy:  0.06, gz: -0.27, OX: -0.02
1745417419.83791   N:   46, t: 33115454, dt: 23748, ENC_DEG: 31.86, REF:  0.00, VEL_RAW: -1.85, VEL_AVG: -0.10, I: -9.62, D: -0.05, VEL_OUT: -20.78, MS_MPC: 27390.57, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.31, gy:  0.00, gz:  0.09, OX:  0.00
1745417419.8443928 N:   48, t: 33156806, dt: 25379, ENC_DEG: 31.86, REF:  0.00, VEL_RAW: -0.87, VEL_AVG: -0.06, I: -9.79, D:  0.04, VEL_OUT: -19.79, MS_MPC: 27390.57, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.43, gy:  0.06, gz:  0.03, OX:  0.00
1745417419.9428213 N:   49, t: 33171790, dt: 14984, ENC_DEG: 31.88, REF:  0.00, VEL_RAW:  1.47, VEL_AVG:  0.34, I: -10.14, D: -0.28, VEL_OUT: -26.50, MS_MPC: 27393.90, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.55, gy:  0.31, gz:  0.15, OX:  0.02
1745417419.9494848 N:   50, t: 33193575, dt: 21785, ENC_DEG: 31.88, REF:  0.00, VEL_RAW:  0.00, VEL_AVG:  0.09, I: -10.23, D:  0.25, VEL_OUT: -18.86, MS_MPC: 27393.90, ax:  0.01, ay:  0.00, az:  1.00, gx:  0.43, gy:  0.06, gz:  0.15, OX:  0.00
